Field	Condition	Plant_score	Plant_percentage	Worst_leaf	Leaf_percentage		
1	Healthy	0	100	0	100		
1	Healthy	1	0	0	0		
1	Healthy	2	0	0	0		
1	Healthy	3	0	0	0		
1	Healthy	4	0	0	0		
1	Infected	0	0	0	0		
1	Infected	1	47	1	10		
1	Infected	2	27	2	20		
1	Infected	3	23	3	57		
1	Infected	4	3	4	13		
2	Healthy	0	100	0	100		
2	Healthy	1	0	0	0		
2	Healthy	2	0	0	0		
2	Healthy	3	0	0	0		
2	Healthy	4	0	0	0		
2	Infected	0	0	0	0		
2	Infected	1	37	1	17		
2	Infected	2	40	2	33		
2	Infected	3	13	3	37		
2	Infected	4	10	4	13		
3	Healthy	0	100	0	100		
3	Healthy	1	0	0	0		
3	Healthy	2	0	0	0		
3	Healthy	3	0	0	0		
3	Healthy	4	0	0	0		
3	Infected	0	0	0	0		
3	Infected	1	29	1	0		
3	Infected	2	43	2	21		
3	Infected	3	14	3	61		
3	Infected	4	14	4	18		
