ID	meandiff	sterr	pval	qval	struczero	method
6a29be087f3bef324a0738b50789aad4	NA	NA	NA	NA	NA	ANCOM
47b1c7e6965dafecab1a219f15ef8d35	NA	NA	NA	NA	NA	ANCOM
1c91f67c19fc362b767c850bb7b5580f	NA	NA	NA	NA	NA	ANCOM
0f6143a2ac559b627ec43ce9259ed296	NA	NA	NA	NA	NA	ANCOM
7d12ce0be13a684e9f8b914e62166dd1	NA	NA	NA	NA	NA	ANCOM
d27247b8890de4eb04da833a2072efb4	NA	NA	NA	NA	NA	ANCOM
ad9800c670db0e6e724765a2ec559b75	NA	NA	NA	NA	NA	ANCOM
9c7cd4b8af8d381bbd57eabf3fb6d80c	NA	NA	NA	NA	NA	ANCOM
d02d5dba8f5b36561009dc2570bb4869	NA	NA	NA	NA	NA	ANCOM
ddc5ab37daaa3669f4483b5b856b175b	NA	NA	NA	NA	NA	ANCOM
180b2c6eb80fcb7741e16b0221a32066	NA	NA	NA	NA	NA	ANCOM
1413f231fe855c7e07d948fc8417451e	NA	NA	NA	NA	NA	ANCOM
eecae9d67648963cda48064adc0cffae	NA	NA	NA	NA	NA	ANCOM
479eaec6570aa41ac1a9803b338eafec	NA	NA	NA	NA	NA	ANCOM
14ffdd2a3162d5cdc6788770a53b95b7	NA	NA	NA	NA	NA	ANCOM
e5b6c9506f2be294e352cc69e34409d7	NA	NA	NA	NA	NA	ANCOM
eadd3b510ccc0c5a6443d08687a0bf7e	NA	NA	NA	NA	NA	ANCOM
abe74228e1f3f83e6d1e8adebeeb48ac	NA	NA	NA	NA	NA	ANCOM
b1efafea7a41654a9b9671490397936f	NA	NA	NA	NA	NA	ANCOM
14f8afb640ff016f60d4f6484c71bb4e	NA	NA	NA	NA	NA	ANCOM
04aa8ccb61a99c4f06baeeae81dcf3e8	NA	NA	NA	NA	NA	ANCOM
75f92387c815f70849698926bfdcfc93	NA	NA	NA	NA	NA	ANCOM
59685594056d6f41025808dcac3db175	NA	NA	NA	NA	NA	ANCOM
e7c96da862411a8c839d6c290026b806	NA	NA	NA	NA	NA	ANCOM
093e34378531c66fd56ffdcba34644b1	NA	NA	NA	NA	NA	ANCOM
bf1019ed285210f849a94e96bc231692	NA	NA	NA	NA	NA	ANCOM
10c568040bf06e35583d9838171c3c10	NA	NA	NA	NA	NA	ANCOM
0bae6b5dc095a6d2f25ab49c1a6a9b31	NA	NA	NA	NA	NA	ANCOM
cc190f6d2f3d5e8bceb7203359834eae	NA	NA	NA	NA	NA	ANCOM
167faa4d028c4ae6ad8faeec76faf937	NA	NA	NA	NA	NA	ANCOM
9460adb6fb7f2d993e506453e227a0d3	NA	NA	NA	NA	NA	ANCOM
87e2f901c859229f799f1c5403e9c59c	NA	NA	NA	NA	NA	ANCOM
ea17706e0995c1f8c41d3d86d04fbb52	NA	NA	NA	NA	NA	ANCOM
5e2c10522c2473d7707abf416caf8c94	NA	NA	NA	NA	NA	ANCOM
42be1811716b7a82c6a1c03a3c7640a3	NA	NA	NA	NA	NA	ANCOM
c6e45636776b37bc3a1a965ca2620432	NA	NA	NA	NA	NA	ANCOM
57364e4fcbdc58c6bbbb8b8f93eec11a	NA	NA	NA	NA	NA	ANCOM
428ff0bf895fc17a12d80144d162a5b9	NA	NA	NA	NA	NA	ANCOM
