ID	pval	padj	R2	method
8888c9b2d3933081f63651b9bfdbe480	0.012	1.000	0.385	Spearman
116156fee4dfb6a544121c9b98a23c74	0.032	1.000	0.319	Spearman
a158cb84cd379842d99cf6726247efcd	0.059	1.000	0.291	Spearman
bdf8ede33b2c7001840621a6f72229dd	0.111	1.000	0.244	Spearman
4be810915c915c3f6f34bb4fedab9ad0	0.112	1.000	0.252	Spearman
99d56121b201885e2327e1aaefee27e0	0.130	1.000	-0.232	Spearman
a135d244d0364d5d06535e56882a84a5	0.143	1.000	0.236	Spearman
77d225e6605a71a9a33a9aeb33bdb890	0.184	1.000	0.201	Spearman
abb48f98cc76cbfd884b85cb99cf2af1	0.186	1.000	0.205	Spearman
a4e3412f19bae543184b7ee353711e30	0.220	1.000	0.197	Spearman
d75885b537a312c667e41d5afe3bee27	0.226	1.000	0.197	Spearman
17211eba768f47a1041935f3ee102e20	0.268	1.000	0.177	Spearman
b53ede99325c8616840fa8e938464d7e	0.269	1.000	0.169	Spearman
ca8c1cc094272e70ff21f563a2af81c3	0.279	1.000	0.169	Spearman
461c2b20bd5c233dcac34fc89ce1a66f	0.308	1.000	0.157	Spearman
a692aae1c416358d582103d64b3774f2	0.319	1.000	0.146	Spearman
643e1fe5e4374e56b15854c0ab8bd517	0.328	1.000	0.157	Spearman
4673065a2d04c05374a89d2cfdcf68c2	0.328	1.000	0.157	Spearman
1b0539acdc7399feee3aaebdd5e61067	0.331	1.000	0.165	Spearman
2bc5d4320e54797a39359dc0676cf450	0.334	1.000	0.157	Spearman
79a7291065adc3f595551e420369acde	0.338	1.000	0.153	Spearman
3d6595ba0dd3b1779363e84e947fc1c4	0.338	1.000	0.149	Spearman
e3eb7f52eef0ad7aec4db88af12eb3cd	0.338	1.000	0.157	Spearman
a7f842cf2e6b177dd52becebda1de83a	0.342	1.000	0.153	Spearman
18922236506583e7320e776be6c2463a	0.352	1.000	0.149	Spearman
8512a0ed11476e591ffa9a713b8d9df3	0.357	1.000	0.146	Spearman
78e3be9fa222d3a314799a1a883f6b66	0.357	1.000	0.153	Spearman
481b5086d4014f57b2ff1517825ee7d1	0.359	1.000	0.149	Spearman
66784a97073d9affb5b9dd057c7d5195	0.363	1.000	0.146	Spearman
e5750ae962ff61732a057356b169fd21	0.369	1.000	0.138	Spearman
b0155a887805143545218ffe760eda06	0.374	1.000	0.146	Spearman
0c5de29041b1bcfe2010ba9bde32f320	0.375	1.000	0.142	Spearman
cca78c21045111a15b3ccadddf52b971	0.390	1.000	0.146	Spearman
db7d937668dd436e5a4c657b8cd5329f	0.393	1.000	0.142	Spearman
7815ca3b2d75f9ff6a3589a9dea5b8c6	0.401	1.000	0.130	Spearman
af7a6845c73f4a26d0abf34aef9a2a64	0.412	1.000	0.126	Spearman
3e0f023636975b57382d70fe0a52bf1e	0.419	1.000	0.122	Spearman
1cc1bac06496093e1f4903bb981b67a4	0.423	1.000	0.126	Spearman
7d2ea1f51c60d58d0660446d4774a59a	0.425	1.000	0.122	Spearman
a4bbfb428c8d35739d668a60656037fc	0.425	1.000	0.122	Spearman
325f464ad49685c1e5420d17aa147d15	0.429	1.000	0.126	Spearman
5d5ed43144a7e9922f567567cca6edb7	0.430	1.000	0.130	Spearman
e87dc9cc994d0c5c48a42ee91aae6eae	0.430	1.000	0.126	Spearman
b84ffd3d3404ece823346fd8ed2df099	0.430	1.000	0.130	Spearman
31415f8d3595a43846a89317548511ce	0.441	1.000	0.126	Spearman
371805a0d32985ff210ca9f1a7acad48	0.451	1.000	0.126	Spearman
2e3c54c72de596f4c4009971b90895d7	0.452	1.000	0.122	Spearman
760b5cda1cd383fa43af2dd6f6b06672	0.460	1.000	0.114	Spearman
c1f96ac17ac6c32cbf88341fce4c8d9d	0.461	1.000	0.114	Spearman
2ffde79d725e60b058bde836132af683	0.462	1.000	0.118	Spearman
b2b2ae51b868a14c0e2efb9693ed8f75	0.462	1.000	0.118	Spearman
939f95ffa67d45b18f810411c9e35571	0.474	1.000	0.122	Spearman
cf16828665dee40dfa4b6bade4cf21ef	0.478	1.000	0.114	Spearman
b88919456fa9bc9afe13c91708403a1b	0.493	1.000	0.102	Spearman
33be679a5c7b7bff076243989c33712f	0.499	1.000	0.110	Spearman
071be45c44bec0f49b498f73b15dd3d2	0.513	1.000	0.106	Spearman
2ea15125b3c28f70f4e9b2011fb1b32e	0.516	1.000	0.106	Spearman
8886b2b13e2ddffa6f24c3ba02bde095	0.521	1.000	0.102	Spearman
c1c7dac2c6665e89f90cda95c53e086e	0.524	1.000	0.102	Spearman
9e6878f45a5eb2ea642bc92e840afdf7	0.526	1.000	0.102	Spearman
b7b6c3fd8f90372ec9ab4e7bd7df8507	0.527	1.000	0.102	Spearman
3afe92f292286577802cddba507f140e	0.529	1.000	0.102	Spearman
596153e78a4c251da43033285b61a7b3	0.532	1.000	0.094	Spearman
579e5bbf5706c28209744c33484c4b8c	0.536	1.000	0.106	Spearman
9880373d82d00984bcfd9dddced13e34	0.538	1.000	0.098	Spearman
890b0fb43b36350b30ca02829f3e91ad	0.538	1.000	0.102	Spearman
e36a239a30b387e78c09e274444e016c	0.538	1.000	0.106	Spearman
ea4f3d7471d698fb962e28a5f213caf2	0.542	1.000	0.098	Spearman
8d3e983e728259a88863f948e5dbe94b	0.543	1.000	-0.106	Spearman
da230b788ed11070ab619cf95eec6577	0.543	1.000	0.102	Spearman
7f6f04cff14b6c730f64324e546e2d6b	0.554	1.000	0.090	Spearman
59788ef0375e4756a83b5a60f29a3303	0.561	1.000	0.094	Spearman
5e317160f53054af730b0a3123e7e9b6	0.562	1.000	0.090	Spearman
08d77d3861ee0c24205b9a999144495f	0.562	1.000	0.098	Spearman
4446d2a211e0a41b6b526dd4940fe073	0.565	1.000	0.094	Spearman
369977194325fa77afd733d37c92c63d	0.580	1.000	0.087	Spearman
86a9b8a55479938e1b6b804cd653155b	0.585	1.000	0.090	Spearman
9e58e4736ae679b38ae8de9b3fc3d7ee	0.605	1.000	0.087	Spearman
