ID	meandiff	sterr	pval	qval	struczero	method
116156fee4dfb6a544121c9b98a23c74	1.925	0.980	0.049	0.289	No	ANCOM
d40cb52e5d7086fee99ae0907fd334f9	-1.164	0.949	0.220	0.606	No	ANCOM
4be810915c915c3f6f34bb4fedab9ad0	2.028	1.046	0.052	0.289	No	ANCOM
a158cb84cd379842d99cf6726247efcd	0.788	1.048	0.452	0.829	No	ANCOM
abb48f98cc76cbfd884b85cb99cf2af1	0.146	0.493	0.767	0.969	No	ANCOM
b53ede99325c8616840fa8e938464d7e	0.119	0.579	0.837	0.969	No	ANCOM
77d225e6605a71a9a33a9aeb33bdb890	0.237	0.969	0.807	0.969	No	ANCOM
4673065a2d04c05374a89d2cfdcf68c2	-0.020	0.523	0.969	0.969	No	ANCOM
8d3e983e728259a88863f948e5dbe94b	-0.993	0.571	0.082	0.301	No	ANCOM
872b2757f7ef15b1ef26b3f9936bcf31	-0.628	0.589	0.286	0.629	No	ANCOM
643e1fe5e4374e56b15854c0ab8bd517	0.036	0.641	0.955	0.969	No	ANCOM
f7b11f46a4c69e77e82476e16e9df760	-2.078	0.000	0.000	0.000	Yes	ANCOM
99d56121b201885e2327e1aaefee27e0	-2.480	0.000	0.000	0.000	Yes	ANCOM
8888c9b2d3933081f63651b9bfdbe480	0.833	0.000	0.000	0.000	Yes	ANCOM
a135d244d0364d5d06535e56882a84a5	0.847	0.000	0.000	0.000	Yes	ANCOM
bdf8ede33b2c7001840621a6f72229dd	1.041	0.000	0.000	0.000	Yes	ANCOM
e3eb7f52eef0ad7aec4db88af12eb3cd	1.199	0.000	0.000	0.000	Yes	ANCOM
17211eba768f47a1041935f3ee102e20	0.630	0.000	0.000	0.000	Yes	ANCOM
ca8c1cc094272e70ff21f563a2af81c3	0.821	0.000	0.000	0.000	Yes	ANCOM
76dc3809d214159c017b2f987364f7e0	0.000	0.000	0.000	0.000	Yes	ANCOM
2ea15125b3c28f70f4e9b2011fb1b32e	0.000	0.000	0.000	0.000	Yes	ANCOM
97e3be015d0ad3c9c56ccbd57f9c0feb	0.000	0.000	0.000	0.000	Yes	ANCOM
78e3be9fa222d3a314799a1a883f6b66	NA	NA	NA	NA	NA	ANCOM
d75885b537a312c667e41d5afe3bee27	NA	NA	NA	NA	NA	ANCOM
596153e78a4c251da43033285b61a7b3	NA	NA	NA	NA	NA	ANCOM
a7f842cf2e6b177dd52becebda1de83a	NA	NA	NA	NA	NA	ANCOM
939f95ffa67d45b18f810411c9e35571	NA	NA	NA	NA	NA	ANCOM
a692aae1c416358d582103d64b3774f2	NA	NA	NA	NA	NA	ANCOM
18922236506583e7320e776be6c2463a	NA	NA	NA	NA	NA	ANCOM
04fee52d3a95545eea1c45e2e63ce362	NA	NA	NA	NA	NA	ANCOM
8886b2b13e2ddffa6f24c3ba02bde095	NA	NA	NA	NA	NA	ANCOM
4bdc300e2a73d2456d8f5f301cd79b24	NA	NA	NA	NA	NA	ANCOM
5bf5a35fbf5c2c129b31a4aaa02679bd	NA	NA	NA	NA	NA	ANCOM
b2b2ae51b868a14c0e2efb9693ed8f75	NA	NA	NA	NA	NA	ANCOM
89ca3ef7f9011b78e1e0a3895fb3ff7f	NA	NA	NA	NA	NA	ANCOM
ea4f3d7471d698fb962e28a5f213caf2	NA	NA	NA	NA	NA	ANCOM
3d6595ba0dd3b1779363e84e947fc1c4	NA	NA	NA	NA	NA	ANCOM
b84ffd3d3404ece823346fd8ed2df099	NA	NA	NA	NA	NA	ANCOM
369977194325fa77afd733d37c92c63d	NA	NA	NA	NA	NA	ANCOM
5e317160f53054af730b0a3123e7e9b6	NA	NA	NA	NA	NA	ANCOM
5d5ed43144a7e9922f567567cca6edb7	NA	NA	NA	NA	NA	ANCOM
8512a0ed11476e591ffa9a713b8d9df3	NA	NA	NA	NA	NA	ANCOM
223bd77c5c34f4e9e40c3dfd53dffafc	NA	NA	NA	NA	NA	ANCOM
1760e66b93ff7aa728b6898fa572bc2d	NA	NA	NA	NA	NA	ANCOM
481b5086d4014f57b2ff1517825ee7d1	NA	NA	NA	NA	NA	ANCOM
ea16290abb78a15048ba32ff78200ec5	NA	NA	NA	NA	NA	ANCOM
4446d2a211e0a41b6b526dd4940fe073	NA	NA	NA	NA	NA	ANCOM
3a12705bdb700b87026ea27254e8fa89	NA	NA	NA	NA	NA	ANCOM
542b8274cc0abe38ef023b02b57dbf9b	NA	NA	NA	NA	NA	ANCOM
a4e3412f19bae543184b7ee353711e30	NA	NA	NA	NA	NA	ANCOM
319412737efae4ec36f93f4db011de0e	NA	NA	NA	NA	NA	ANCOM
da513503b2ff56009fc8a578c819ebcb	NA	NA	NA	NA	NA	ANCOM
7c4c61a0c83567367786e514df40a21b	NA	NA	NA	NA	NA	ANCOM
a418705a2b62c68553ceec65922142a4	NA	NA	NA	NA	NA	ANCOM
511bd796069111a3a3e99c2d13907211	NA	NA	NA	NA	NA	ANCOM
fe69850846e2271a5906e8d2d8c09040	NA	NA	NA	NA	NA	ANCOM
135cd9f50ac1631b9e504edeb830d683	NA	NA	NA	NA	NA	ANCOM
9bfd7d6705ff77f170d74bd7d21e15c7	NA	NA	NA	NA	NA	ANCOM
e5750ae962ff61732a057356b169fd21	NA	NA	NA	NA	NA	ANCOM
22aea799615e8e1467f7b56605053545	NA	NA	NA	NA	NA	ANCOM
760b5cda1cd383fa43af2dd6f6b06672	NA	NA	NA	NA	NA	ANCOM
9880373d82d00984bcfd9dddced13e34	NA	NA	NA	NA	NA	ANCOM
0c0cca5bec99fb78e2bb61c3935b025d	NA	NA	NA	NA	NA	ANCOM
de7864dafea9b68a565a62c31bc8339e	NA	NA	NA	NA	NA	ANCOM
2b59d468bbdb1f86c22fcebd61f5d5cb	NA	NA	NA	NA	NA	ANCOM
2bc5d4320e54797a39359dc0676cf450	NA	NA	NA	NA	NA	ANCOM
33be679a5c7b7bff076243989c33712f	NA	NA	NA	NA	NA	ANCOM
cf16828665dee40dfa4b6bade4cf21ef	NA	NA	NA	NA	NA	ANCOM
5cce1abb68c73f8fd159aaf92e2afde9	NA	NA	NA	NA	NA	ANCOM
1cc1bac06496093e1f4903bb981b67a4	NA	NA	NA	NA	NA	ANCOM
31415f8d3595a43846a89317548511ce	NA	NA	NA	NA	NA	ANCOM
fd6ff46f1b85f9ed17f80fe98868119c	NA	NA	NA	NA	NA	ANCOM
0c5de29041b1bcfe2010ba9bde32f320	NA	NA	NA	NA	NA	ANCOM
1b0539acdc7399feee3aaebdd5e61067	NA	NA	NA	NA	NA	ANCOM
e71fb4db708f786a39f0bf2bd9b6e50b	NA	NA	NA	NA	NA	ANCOM
62da65200185b257193a5e6d38677242	NA	NA	NA	NA	NA	ANCOM
0df685ffc0887a530be9364c346bad5e	NA	NA	NA	NA	NA	ANCOM
bb33b229f3d1ca9a24f2615fab635d38	NA	NA	NA	NA	NA	ANCOM
da230b788ed11070ab619cf95eec6577	NA	NA	NA	NA	NA	ANCOM
bd26e97e57ceb47cf6ab7d5b5e947f62	NA	NA	NA	NA	NA	ANCOM
