ID	log2fc	sterr	pval	padj	method
f7b11f46a4c69e77e82476e16e9df760	-0.919	0.345	0.000	0.000	DESeq2
78e3be9fa222d3a314799a1a883f6b66	2.137	0.347	0.000	0.000	DESeq2
99d56121b201885e2327e1aaefee27e0	-1.665	0.343	0.000	0.000	DESeq2
d75885b537a312c667e41d5afe3bee27	2.538	0.351	0.000	0.000	DESeq2
596153e78a4c251da43033285b61a7b3	2.381	0.350	0.000	0.000	DESeq2
116156fee4dfb6a544121c9b98a23c74	1.380	0.334	0.000	0.000	DESeq2
8888c9b2d3933081f63651b9bfdbe480	4.265	0.347	0.000	0.000	DESeq2
d40cb52e5d7086fee99ae0907fd334f9	-0.740	0.330	0.000	0.000	DESeq2
4be810915c915c3f6f34bb4fedab9ad0	-0.122	0.335	0.000	0.000	DESeq2
a7f842cf2e6b177dd52becebda1de83a	0.633	0.350	0.000	0.000	DESeq2
939f95ffa67d45b18f810411c9e35571	1.401	0.342	0.000	0.002	DESeq2
a692aae1c416358d582103d64b3774f2	0.597	0.324	0.001	0.004	DESeq2
a135d244d0364d5d06535e56882a84a5	1.040	0.341	0.002	0.011	DESeq2
18922236506583e7320e776be6c2463a	4.281	0.318	0.003	0.011	DESeq2
bdf8ede33b2c7001840621a6f72229dd	0.933	0.328	0.005	0.019	DESeq2
e3eb7f52eef0ad7aec4db88af12eb3cd	-2.164	0.265	0.005	0.020	DESeq2
04fee52d3a95545eea1c45e2e63ce362	-0.905	0.332	0.007	0.027	DESeq2
8886b2b13e2ddffa6f24c3ba02bde095	0.447	0.298	0.013	0.044	DESeq2
4bdc300e2a73d2456d8f5f301cd79b24	-7.658	0.262	0.041	0.100	DESeq2
5bf5a35fbf5c2c129b31a4aaa02679bd	-7.963	0.264	0.035	0.100	DESeq2
b2b2ae51b868a14c0e2efb9693ed8f75	0.679	0.327	0.039	0.100	DESeq2
89ca3ef7f9011b78e1e0a3895fb3ff7f	-7.467	0.283	0.034	0.100	DESeq2
ea4f3d7471d698fb962e28a5f213caf2	0.677	0.327	0.040	0.100	DESeq2
3d6595ba0dd3b1779363e84e947fc1c4	0.694	0.322	0.033	0.100	DESeq2
b84ffd3d3404ece823346fd8ed2df099	1.984	0.339	0.040	0.100	DESeq2
369977194325fa77afd733d37c92c63d	0.647	0.321	0.045	0.107	DESeq2
5e317160f53054af730b0a3123e7e9b6	3.488	0.283	0.049	0.111	DESeq2
5d5ed43144a7e9922f567567cca6edb7	0.661	0.340	0.053	0.111	DESeq2
8512a0ed11476e591ffa9a713b8d9df3	4.572	0.266	0.054	0.111	DESeq2
223bd77c5c34f4e9e40c3dfd53dffafc	-0.628	0.323	0.055	0.111	DESeq2
1760e66b93ff7aa728b6898fa572bc2d	-0.615	0.328	0.063	0.121	DESeq2
481b5086d4014f57b2ff1517825ee7d1	1.446	0.310	0.063	0.121	DESeq2
a158cb84cd379842d99cf6726247efcd	0.468	0.338	0.067	0.123	DESeq2
ea16290abb78a15048ba32ff78200ec5	-0.593	0.327	0.073	0.130	DESeq2
abb48f98cc76cbfd884b85cb99cf2af1	0.575	0.332	0.084	0.147	DESeq2
b53ede99325c8616840fa8e938464d7e	0.538	0.344	0.119	0.201	DESeq2
77d225e6605a71a9a33a9aeb33bdb890	0.355	0.338	0.129	0.213	DESeq2
4446d2a211e0a41b6b526dd4940fe073	0.484	0.324	0.137	0.220	DESeq2
17211eba768f47a1041935f3ee102e20	0.443	0.316	0.162	0.253	DESeq2
3a12705bdb700b87026ea27254e8fa89	-0.440	0.335	0.191	0.291	DESeq2
542b8274cc0abe38ef023b02b57dbf9b	0.527	0.318	0.206	0.292	DESeq2
