ID	log2fc	sterr	pval	padj	method
c43f0b0f6ce6c9927698fc85f369076c	-0.169	0.556	0.761	NA	DESeq2
6a29be087f3bef324a0738b50789aad4	0.051	0.369	0.889	NA	DESeq2
0b71fbf2702679d24eb46d1a27f943e3	-0.400	0.417	0.337	0.995	DESeq2
a4050e1eb380bf26b4f3457a328e0a42	-0.524	0.514	0.292	NA	DESeq2
47b1c7e6965dafecab1a219f15ef8d35	-0.065	0.483	0.892	NA	DESeq2
1c91f67c19fc362b767c850bb7b5580f	0.010	0.369	0.982	NA	DESeq2
030174e70c450584bbc3747edc20356c	-1.044	0.552	0.057	NA	DESeq2
a05117c509e6aaf1ea35b2923fce133f	-0.243	0.555	0.661	NA	DESeq2
ac8234d05394debc4da51b32c6ca34df	-0.108	0.518	0.835	0.995	DESeq2
0b1d1119845da6b23a7f665cdeace7d2	-0.979	0.459	0.033	0.668	DESeq2
0f6143a2ac559b627ec43ce9259ed296	-0.346	0.485	0.465	NA	DESeq2
d1c82034e8f89e5c1a848af71a5688d6	0.599	0.439	0.212	NA	DESeq2
7d12ce0be13a684e9f8b914e62166dd1	-0.251	0.371	0.668	NA	DESeq2
d8bb06a7df60d426737787df83322059	-0.375	0.364	0.302	NA	DESeq2
4da322815b8ba1ff89be16a3ab70f155	-0.114	0.537	0.832	0.995	DESeq2
a202ebca9f43fa5461da4bfbc4b3e59d	-0.140	0.547	0.794	NA	DESeq2
d27247b8890de4eb04da833a2072efb4	0.112	0.369	0.759	NA	DESeq2
ad9800c670db0e6e724765a2ec559b75	0.088	0.369	0.812	NA	DESeq2
22bf14ba7d96ffe2b5d7caa681eb3b3a	-0.056	0.428	0.895	0.995	DESeq2
09bb70b6815c305297178513d6b198be	0.543	0.556	0.327	NA	DESeq2
a9e5f2f91b451f1ae94628343a3ca70f	0.145	0.498	0.719	NA	DESeq2
9c7cd4b8af8d381bbd57eabf3fb6d80c	-0.072	0.389	0.813	NA	DESeq2
3e0cc877ffbbec1e698a30dfff8407d5	-0.225	0.511	0.658	NA	DESeq2
d02d5dba8f5b36561009dc2570bb4869	-0.187	0.483	0.697	NA	DESeq2
c83d5c88d4c3b4fff52e5d806fbac33f	-0.258	0.554	0.640	NA	DESeq2
b5e31e0564b0f30ab2af9e61b1e9389c	-1.110	0.522	0.033	NA	DESeq2
ae96c231c18c5cb17ed4ad093b8d5c52	0.046	0.556	0.934	NA	DESeq2
ddc5ab37daaa3669f4483b5b856b175b	-0.228	0.369	0.600	NA	DESeq2
4a2739b3acd1eb053ab8838528cd30cf	-0.207	0.400	0.604	0.995	DESeq2
180b2c6eb80fcb7741e16b0221a32066	-0.220	0.369	0.997	NA	DESeq2
37883c9eaead558bdd7be3006224b111	0.113	0.546	0.836	NA	DESeq2
38231a7186f8af3aac3c528c479dc389	-0.637	0.410	0.120	0.995	DESeq2
3cd569c2845d64d49e718bf0f51f40cf	0.304	0.554	0.582	NA	DESeq2
80837c53563c6967cc81306e11df9838	0.814	0.502	0.105	0.982	DESeq2
1413f231fe855c7e07d948fc8417451e	-0.264	0.373	0.424	NA	DESeq2
eecae9d67648963cda48064adc0cffae	0.072	0.383	0.837	NA	DESeq2
479eaec6570aa41ac1a9803b338eafec	0.170	0.439	0.689	NA	DESeq2
14ffdd2a3162d5cdc6788770a53b95b7	0.076	0.369	0.838	NA	DESeq2
2c086881266f4b9314ffda3b7fc89acc	0.112	0.554	0.840	NA	DESeq2
665b86b4801f25b4065fb892543274b0	0.055	0.554	0.921	NA	DESeq2
f2a7fe87a53801323a407fcd8d818041	0.294	0.497	0.554	0.995	DESeq2
e5b6c9506f2be294e352cc69e34409d7	-0.048	0.369	0.894	NA	DESeq2
efb38024b5809c80f6a448338c25b324	-0.658	0.471	0.162	0.995	DESeq2
eadd3b510ccc0c5a6443d08687a0bf7e	-0.039	0.370	0.845	NA	DESeq2
abe74228e1f3f83e6d1e8adebeeb48ac	-0.077	0.369	0.836	NA	DESeq2
50761adbbe9ebf60a1b6d0bf64de893b	-0.037	0.536	0.945	NA	DESeq2
77f94cfb07fddf148eccc2db4457223d	-0.374	0.556	0.500	NA	DESeq2
77e73d34a43c279888c04db2b05aed96	-0.209	0.544	0.701	NA	DESeq2
ee64a599c00b057f67feb4af4f7aa1f7	-0.715	0.466	0.124	0.995	DESeq2
0a7dccd640f53aeb41557705c14b6933	-0.150	0.532	0.392	NA	DESeq2
de06357461a2f4b6719dc6b177c2abae	0.074	0.540	0.892	NA	DESeq2
689c44cf8243ad1733062422e13bb30c	0.366	0.527	0.486	NA	DESeq2
d076b9fc2d7c82cabae0784de6e1d37c	0.167	0.485	0.730	NA	DESeq2
865206fbb45f7791076eb6603d446d20	0.825	0.553	0.134	NA	DESeq2
6457ce7701f8545b420b4e827004ff57	0.027	0.348	0.939	0.995	DESeq2
c6157a9943c8abfa7057fd44bcabaaa6	0.189	0.551	0.731	NA	DESeq2
b1efafea7a41654a9b9671490397936f	0.079	0.417	0.861	NA	DESeq2
d6e9500411aeb7595d6cc34591322dc9	-0.779	0.556	0.152	NA	DESeq2
14f8afb640ff016f60d4f6484c71bb4e	-0.085	0.369	0.817	NA	DESeq2
7853b29321816183d5cda073d5710b12	0.257	0.509	0.610	NA	DESeq2
04aa8ccb61a99c4f06baeeae81dcf3e8	0.050	0.495	0.920	NA	DESeq2
6026a3c735407aee1c80bdca89f97a03	-0.163	0.541	0.768	NA	DESeq2
83ea79c156b48ac26b9cfaf604d2749d	-0.719	0.548	0.176	NA	DESeq2
75f92387c815f70849698926bfdcfc93	-0.150	0.433	0.760	NA	DESeq2
59685594056d6f41025808dcac3db175	-0.060	0.369	0.872	NA	DESeq2
e7c96da862411a8c839d6c290026b806	-0.107	0.369	0.830	NA	DESeq2
093e34378531c66fd56ffdcba34644b1	-0.069	0.464	0.883	NA	DESeq2
bf1019ed285210f849a94e96bc231692	-0.388	0.395	0.456	NA	DESeq2
70645cb5397bc6a24f03bafcc26eb4ea	-0.251	0.530	0.638	NA	DESeq2
10c568040bf06e35583d9838171c3c10	-0.214	0.369	0.616	NA	DESeq2
0bae6b5dc095a6d2f25ab49c1a6a9b31	-0.138	0.498	0.782	NA	DESeq2
6190444efcb88a9186908fb46a8417df	0.110	0.483	0.819	NA	DESeq2
