sampleid	feature_count	names	condition	field	root_weight	GPSN	GPSW	severity_plant	severity_leaf	nodules	comment	batch	sample_control
NS.1671.002.FLD_ill_113_i7...IDT_i5_9.F1B1_ITS2_L001_R1_001.fastq.gz	13413	F1B1	Soil	1	NA	37652087	-87942938	NA	NA	NA	NA	6	sample
NS.1671.002.FLD_ill_114_i7...IDT_i5_9.F1B3_ITS2_L001_R1_001.fastq.gz	84235	F1B3	Soil	1	NA	NA	NA	NA	NA	NA	NA	6	sample
NS.1671.002.FLD_ill_115_i7...IDT_i5_9.F1B7_ITS2_L001_R1_001.fastq.gz	103131	F1B7	Soil	1	NA	NA	NA	NA	NA	NA	NA	6	sample
NS.1671.002.FLD_ill_116_i7...IDT_i5_9.F1B10_ITS2_L001_R1_001.fastq.gz	117022	F1B10	Soil	1	NA	NA	NA	NA	NA	NA	NA	6	sample
NS.1671.002.FLD_ill_117_i7...IDT_i5_9.F2B1_ITS2_L001_R1_001.fastq.gz	53375	F2B1	Soil	2	NA	37736775	-87945451	NA	NA	NA	NA	6	sample
NS.1671.002.FLD_ill_118_i7...IDT_i5_9.F2B4_ITS2_L001_R1_001.fastq.gz	150894	F2B4	Soil	2	NA	37735938	-87946994	NA	NA	NA	NA	6	sample
NS.1671.002.FLD_ill_119_i7...IDT_i5_9.F2B6_ITS2_L001_R1_001.fastq.gz	105466	F2B6	Soil	2	NA	3773643	-87946181	NA	NA	NA	NA	6	sample
NS.1671.002.FLD_ill_120_i7...IDT_i5_9.F2B8_ITS2_L001_R1_001.fastq.gz	110226	F2B8	Soil	2	NA	37736642	-87947127	NA	NA	NA	NA	6	sample
NS.1671.002.FLD_ill_121_i7...IDT_i5_10.F3B2_ITS2_L001_R1_001.fastq.gz	129211	F3B2	Soil	3	NA	37650195	-87937868	NA	NA	Unknown	NA	6	sample
NS.1671.002.FLD_ill_122_i7...IDT_i5_10.F3B4_ITS2_L001_R1_001.fastq.gz	163914	F3B4	Soil	3	NA	37650267	-87939255	NA	NA	Unknown	NA	6	sample
