ID	meandiff	sterr	pval	qval	struczero	method
de7864dafea9b68a565a62c31bc8339e	NA	NA	NA	NA	NA	ANCOM
b47360a961b32fd49a797faf00c4d3de	NA	NA	NA	NA	NA	ANCOM
5f3b8380fd0ae0e537a43b002c4e7a67	NA	NA	NA	NA	NA	ANCOM
4a1a4c83702a6c44562e2daa13bf3514	NA	NA	NA	NA	NA	ANCOM
22c4ee4deafd2a50e123031f9e973ddd	NA	NA	NA	NA	NA	ANCOM
18922236506583e7320e776be6c2463a	NA	NA	NA	NA	NA	ANCOM
a7f842cf2e6b177dd52becebda1de83a	NA	NA	NA	NA	NA	ANCOM
481b5086d4014f57b2ff1517825ee7d1	NA	NA	NA	NA	NA	ANCOM
cca78c21045111a15b3ccadddf52b971	NA	NA	NA	NA	NA	ANCOM
3d0a205de99f5295bc4b374649c57575	NA	NA	NA	NA	NA	ANCOM
8cb3b318760da2e5f9815653cbc4bf83	NA	NA	NA	NA	NA	ANCOM
a4bbfb428c8d35739d668a60656037fc	NA	NA	NA	NA	NA	ANCOM
c8d5fdc244ae17e9558f5025b812d6eb	NA	NA	NA	NA	NA	ANCOM
b77627ad049c7569beb5e5bb351b9a50	NA	NA	NA	NA	NA	ANCOM
369977194325fa77afd733d37c92c63d	NA	NA	NA	NA	NA	ANCOM
dfaaa901a526111d492d3d2f61435275	NA	NA	NA	NA	NA	ANCOM
2ffde79d725e60b058bde836132af683	NA	NA	NA	NA	NA	ANCOM
b5f3ca43eee20152738a029642f31149	NA	NA	NA	NA	NA	ANCOM
8e6ecb2cb834391984e82c3a076e43c2	NA	NA	NA	NA	NA	ANCOM
a4e3412f19bae543184b7ee353711e30	NA	NA	NA	NA	NA	ANCOM
4bdc300e2a73d2456d8f5f301cd79b24	NA	NA	NA	NA	NA	ANCOM
7f088cac1fcdba8c0195c47096264049	NA	NA	NA	NA	NA	ANCOM
9e58e4736ae679b38ae8de9b3fc3d7ee	NA	NA	NA	NA	NA	ANCOM
30526a7a4d826edd9b043b56bd8e847a	NA	NA	NA	NA	NA	ANCOM
539265e101086f2e7d8aa51c05152c1b	NA	NA	NA	NA	NA	ANCOM
5bf5a35fbf5c2c129b31a4aaa02679bd	NA	NA	NA	NA	NA	ANCOM
5d5ed43144a7e9922f567567cca6edb7	NA	NA	NA	NA	NA	ANCOM
1a3bb25b7d08acf0c021cca6623e477e	NA	NA	NA	NA	NA	ANCOM
c1f96ac17ac6c32cbf88341fce4c8d9d	NA	NA	NA	NA	NA	ANCOM
4f39ef900d88365c3eac06f13c776b8f	NA	NA	NA	NA	NA	ANCOM
d6992915e0c28999e8d466f1592d8b7a	NA	NA	NA	NA	NA	ANCOM
b2b2ae51b868a14c0e2efb9693ed8f75	NA	NA	NA	NA	NA	ANCOM
41155fc81ea0571a02817ce0e39861e2	NA	NA	NA	NA	NA	ANCOM
8512a0ed11476e591ffa9a713b8d9df3	NA	NA	NA	NA	NA	ANCOM
2b59d468bbdb1f86c22fcebd61f5d5cb	NA	NA	NA	NA	NA	ANCOM
db927f3e3abb74321d0262b8624b01c7	NA	NA	NA	NA	NA	ANCOM
983cf9a4e7016105283f24743d919f25	NA	NA	NA	NA	NA	ANCOM
543d211dd0ff4f6d0066ec3850ed5082	NA	NA	NA	NA	NA	ANCOM
e5750ae962ff61732a057356b169fd21	NA	NA	NA	NA	NA	ANCOM
21902ca1010f0f956e2e1b1e786ea973	NA	NA	NA	NA	NA	ANCOM
59788ef0375e4756a83b5a60f29a3303	NA	NA	NA	NA	NA	ANCOM
93dc6bb121df4cf4164c024ac00012b4	NA	NA	NA	NA	NA	ANCOM
54936af7fc659bb8a76615f1ae6f6993	NA	NA	NA	NA	NA	ANCOM
5cce1abb68c73f8fd159aaf92e2afde9	NA	NA	NA	NA	NA	ANCOM
273881ea7601aa7c034c59b7f40b5736	NA	NA	NA	NA	NA	ANCOM
319412737efae4ec36f93f4db011de0e	NA	NA	NA	NA	NA	ANCOM
97e3be015d0ad3c9c56ccbd57f9c0feb	NA	NA	NA	NA	NA	ANCOM
79211df1215da97e2f8277d6b2222fe2	NA	NA	NA	NA	NA	ANCOM
60ae902a3e046edce4cc5f9cc1ac73ea	NA	NA	NA	NA	NA	ANCOM
596153e78a4c251da43033285b61a7b3	NA	NA	NA	NA	NA	ANCOM
92e7c471bf50233a39a459ff5b204b3e	NA	NA	NA	NA	NA	ANCOM
e87dc9cc994d0c5c48a42ee91aae6eae	NA	NA	NA	NA	NA	ANCOM
4a8dbbec00787fa2cc2ee08274f8ce4c	NA	NA	NA	NA	NA	ANCOM
c50d9f53af04313b5497bb9c55275c7c	NA	NA	NA	NA	NA	ANCOM
cf16828665dee40dfa4b6bade4cf21ef	NA	NA	NA	NA	NA	ANCOM
9b05f9d3b68356c051503c00d6b3d333	NA	NA	NA	NA	NA	ANCOM
bd26e97e57ceb47cf6ab7d5b5e947f62	NA	NA	NA	NA	NA	ANCOM
b4b232f214f775bcc3308653d7741f1a	NA	NA	NA	NA	NA	ANCOM
5e317160f53054af730b0a3123e7e9b6	NA	NA	NA	NA	NA	ANCOM
8dcb1c66dadcbfce80141ab20ccf1ea1	NA	NA	NA	NA	NA	ANCOM
d61038bd0af574cc1fb1f9ecef204bbf	NA	NA	NA	NA	NA	ANCOM
f8549988d995f078ce28eccc60deff7b	NA	NA	NA	NA	NA	ANCOM
3123b5aa3c0f158260f64b2832af8167	NA	NA	NA	NA	NA	ANCOM
fe1557e7eea603d3e9a1356de4c894f1	NA	NA	NA	NA	NA	ANCOM
135cd9f50ac1631b9e504edeb830d683	NA	NA	NA	NA	NA	ANCOM
223bd77c5c34f4e9e40c3dfd53dffafc	NA	NA	NA	NA	NA	ANCOM
409649957a882957ee87339338a7c07f	NA	NA	NA	NA	NA	ANCOM
7be672ff862684f33384d4e038bb89c0	NA	NA	NA	NA	NA	ANCOM
7e3a3bdd9958e1b458ec4e0db97683ea	NA	NA	NA	NA	NA	ANCOM
22aea799615e8e1467f7b56605053545	NA	NA	NA	NA	NA	ANCOM
511bd796069111a3a3e99c2d13907211	NA	NA	NA	NA	NA	ANCOM
a135d244d0364d5d06535e56882a84a5	NA	NA	NA	NA	NA	ANCOM
5efce6b21a9c05541f7e777341156e96	NA	NA	NA	NA	NA	ANCOM
7c4c61a0c83567367786e514df40a21b	NA	NA	NA	NA	NA	ANCOM
c10027370c67bc9ee9b945c53d20ab5c	NA	NA	NA	NA	NA	ANCOM
f9fd90420aaf24633adee0901df06f08	NA	NA	NA	NA	NA	ANCOM
6915ce702b5bac12f5018e69a2bca72e	NA	NA	NA	NA	NA	ANCOM
1760e66b93ff7aa728b6898fa572bc2d	NA	NA	NA	NA	NA	ANCOM
3a12705bdb700b87026ea27254e8fa89	NA	NA	NA	NA	NA	ANCOM
08d77d3861ee0c24205b9a999144495f	NA	NA	NA	NA	NA	ANCOM
9d066026ffeef60c8c0e44158075b186	NA	NA	NA	NA	NA	ANCOM
0c0cca5bec99fb78e2bb61c3935b025d	NA	NA	NA	NA	NA	ANCOM
299a98fef4b37a7f125b41049760c6d7	NA	NA	NA	NA	NA	ANCOM
a692aae1c416358d582103d64b3774f2	NA	NA	NA	NA	NA	ANCOM
fd7880a6988b84aaaf0c433708c2efa6	NA	NA	NA	NA	NA	ANCOM
33be679a5c7b7bff076243989c33712f	NA	NA	NA	NA	NA	ANCOM
da513503b2ff56009fc8a578c819ebcb	NA	NA	NA	NA	NA	ANCOM
31415f8d3595a43846a89317548511ce	NA	NA	NA	NA	NA	ANCOM
542b8274cc0abe38ef023b02b57dbf9b	NA	NA	NA	NA	NA	ANCOM
fd6ff46f1b85f9ed17f80fe98868119c	NA	NA	NA	NA	NA	ANCOM
