ID	contribution	stdev	pval	padj	method
b663b0cd551ba980221251a789b6e206	0.084	0.139	0.002	0.350	Simper
77d225e6605a71a9a33a9aeb33bdb890	0.041	0.126	0.052	1	Simper
9d066026ffeef60c8c0e44158075b186	0.005	0.015	0.106	1	Simper
5f3b8380fd0ae0e537a43b002c4e7a67	0.003	0.012	0.109	1	Simper
8886b2b13e2ddffa6f24c3ba02bde095	0.000	0.000	0.129	1	Simper
2ea15125b3c28f70f4e9b2011fb1b32e	0.000	0.001	0.132	1	Simper
8cb3b318760da2e5f9815653cbc4bf83	0.003	0.013	0.133	1	Simper
a418705a2b62c68553ceec65922142a4	0.000	0.000	0.138	1	Simper
8888c9b2d3933081f63651b9bfdbe480	0.051	0.118	0.200	1	Simper
22aea799615e8e1467f7b56605053545	0.000	0.000	0.213	1	Simper
79211df1215da97e2f8277d6b2222fe2	0.000	0.001	0.216	1	Simper
b47360a961b32fd49a797faf00c4d3de	0.013	0.060	0.220	1	Simper
1b0539acdc7399feee3aaebdd5e61067	0.001	0.004	0.224	1	Simper
d6992915e0c28999e8d466f1592d8b7a	0.000	0.002	0.224	1	Simper
7f088cac1fcdba8c0195c47096264049	0.000	0.000	0.225	1	Simper
5e317160f53054af730b0a3123e7e9b6	0.000	0.000	0.238	1	Simper
481b5086d4014f57b2ff1517825ee7d1	0.000	0.002	0.320	1	Simper
8dcb1c66dadcbfce80141ab20ccf1ea1	0.000	0.001	0.354	1	Simper
760b5cda1cd383fa43af2dd6f6b06672	0.000	0.001	0.391	1	Simper
21902ca1010f0f956e2e1b1e786ea973	0.000	0.000	0.402	1	Simper
a7f842cf2e6b177dd52becebda1de83a	0.005	0.023	0.427	1	Simper
116156fee4dfb6a544121c9b98a23c74	0.082	0.146	0.436	1	Simper
bdf8ede33b2c7001840621a6f72229dd	0.000	0.001	0.447	1	Simper
ee121b5310faf3d1c9e119e3ac6048ba	0.000	0.001	0.454	1	Simper
539265e101086f2e7d8aa51c05152c1b	0.000	0.001	0.454	1	Simper
2b59d468bbdb1f86c22fcebd61f5d5cb	0.000	0.000	0.458	1	Simper
f5dfda847d1a6546186467acbca7459a	0.000	0.000	0.458	1	Simper
d75885b537a312c667e41d5afe3bee27	0.011	0.052	0.467	1	Simper
da513503b2ff56009fc8a578c819ebcb	0.005	0.025	0.467	1	Simper
2bf8231073721bfc54aa8ebeb6912a20	0.003	0.015	0.467	1	Simper
db927f3e3abb74321d0262b8624b01c7	0.000	0.000	0.469	1	Simper
33be679a5c7b7bff076243989c33712f	0.006	0.018	0.473	1	Simper
f159675a1296aa9d383e4ab3f9407619	0.004	0.016	0.473	1	Simper
6b6c4cf41b7f49acaa5081bc5f234029	0.001	0.005	0.474	1	Simper
f5a2b8967fd8d135803af8c0601cd4e0	0.000	0.000	0.474	1	Simper
8512a0ed11476e591ffa9a713b8d9df3	0.011	0.050	0.476	1	Simper
fd6ff46f1b85f9ed17f80fe98868119c	0.008	0.037	0.476	1	Simper
0c0cca5bec99fb78e2bb61c3935b025d	0.003	0.013	0.476	1	Simper
ee0d28cca895e4a213be07178c2fefba	0.002	0.008	0.476	1	Simper
939f95ffa67d45b18f810411c9e35571	0.001	0.003	0.476	1	Simper
d61038bd0af574cc1fb1f9ecef204bbf	0.001	0.002	0.476	1	Simper
8e2824f6a1b188b220b9361c612674b6	0.000	0.001	0.477	1	Simper
c1f96ac17ac6c32cbf88341fce4c8d9d	0.000	0.000	0.477	1	Simper
b7b6c3fd8f90372ec9ab4e7bd7df8507	0.000	0.000	0.477	1	Simper
e0db0916d5f4bc79913c096d6f7f23e0	0.028	0.103	0.482	1	Simper
0fa5da88bc26c3d497597b2ecbf33634	0.006	0.021	0.482	1	Simper
325f464ad49685c1e5420d17aa147d15	0.001	0.004	0.482	1	Simper
461c2b20bd5c233dcac34fc89ce1a66f	0.000	0.001	0.482	1	Simper
d9b3a569d44a34c6a764a5a298219d08	0.000	0.000	0.482	1	Simper
2e3c54c72de596f4c4009971b90895d7	0.000	0.000	0.482	1	Simper
526fa77d5328b0a41df33317dfe135e2	0.000	0.000	0.482	1	Simper
b4b232f214f775bcc3308653d7741f1a	0.000	0.000	0.482	1	Simper
633743f58b6a9fabc8612a844746d9aa	0.000	0.000	0.482	1	Simper
