ID	meandiff	sterr	pval	qval	struczero	method
bfc944f138bc72864c9d8ab1c190b667	NA	NA	NA	NA	NA	ANCOM
bf82856908a925b827cf558cebc3aa4a	NA	NA	NA	NA	NA	ANCOM
c1f580a523886683962bb9e9dfba8780	NA	NA	NA	NA	NA	ANCOM
6cf3e2a72db97b414c1a8b3a7eed7bc3	NA	NA	NA	NA	NA	ANCOM
2e3de5fa3272fabfbca23e739325a37d	NA	NA	NA	NA	NA	ANCOM
5c317d644c303a11536d4e4c61b552e1	NA	NA	NA	NA	NA	ANCOM
c964077417801418834e18fa3f2f8d33	NA	NA	NA	NA	NA	ANCOM
697e690bf337bac01414dc87e17f7881	NA	NA	NA	NA	NA	ANCOM
94b640a6127d03d14fa80308089e1af7	NA	NA	NA	NA	NA	ANCOM
7e904736efa16257914f1bde1fb4fedc	NA	NA	NA	NA	NA	ANCOM
7379acd5ea70366d6c8a4563dffe2e68	NA	NA	NA	NA	NA	ANCOM
0e968972532625b04be0b0e81d101f9f	NA	NA	NA	NA	NA	ANCOM
1aedb59113666612dd2dc280a96317b6	NA	NA	NA	NA	NA	ANCOM
e8fcfb4b9909609ba2dc14876fc630d9	NA	NA	NA	NA	NA	ANCOM
a60b1975ef99848910e72687c4ed73b9	NA	NA	NA	NA	NA	ANCOM
0b55020f4a2fdde734ab59299228cd15	NA	NA	NA	NA	NA	ANCOM
8c19c1b5dfaee0504ddbaa9652fc4441	NA	NA	NA	NA	NA	ANCOM
6d4b2748dc42c55139700bb8f50a7bdf	NA	NA	NA	NA	NA	ANCOM
4f6780da5d88c874004d5dd5ab996106	NA	NA	NA	NA	NA	ANCOM
d6fcc24d96a62713914c5affaf8b81ca	NA	NA	NA	NA	NA	ANCOM
5cf31f502ddd0eabc3970adcd2a6adb1	NA	NA	NA	NA	NA	ANCOM
c25732fc697269490de001e6d928548d	NA	NA	NA	NA	NA	ANCOM
8f54dde4ac3508da162a0414a4ba4cb0	NA	NA	NA	NA	NA	ANCOM
f7a9f52fd89c0315d4e74b999e3a89e3	NA	NA	NA	NA	NA	ANCOM
cf3c642af178fc5a89fb9db973525cb0	NA	NA	NA	NA	NA	ANCOM
a6003f82fb2fe064af1bf8028ea07496	NA	NA	NA	NA	NA	ANCOM
896f10b635fb812ac7cb3afbaab4947e	NA	NA	NA	NA	NA	ANCOM
7abbbd9b525bce87a535ca5b8628fceb	NA	NA	NA	NA	NA	ANCOM
f7421520559300aec6236e6f603c6f00	NA	NA	NA	NA	NA	ANCOM
01f23f6a9fe3327a04cde425a1011c0c	NA	NA	NA	NA	NA	ANCOM
27bfb0f8d0241b47cb7386579458ef7d	NA	NA	NA	NA	NA	ANCOM
77e1de6dcd80f0f0ca0c101e18d15b4b	NA	NA	NA	NA	NA	ANCOM
396f2e96c25796585587386684f21653	NA	NA	NA	NA	NA	ANCOM
bbd309ab809cd4b4c1032d2dabda989b	NA	NA	NA	NA	NA	ANCOM
4375684412e6fad900326e6553947116	NA	NA	NA	NA	NA	ANCOM
e89ca7bcda55695257bfe3e2b3beef53	NA	NA	NA	NA	NA	ANCOM
b1efafea7a41654a9b9671490397936f	NA	NA	NA	NA	NA	ANCOM
24da2a1b290e8ceefcde4e4876e2d73a	NA	NA	NA	NA	NA	ANCOM
1dd08b5782c4f68e60b4c076f272f54a	NA	NA	NA	NA	NA	ANCOM
9fe8060e25b509049240bf41f1c90c4d	NA	NA	NA	NA	NA	ANCOM
3232805757f0f2946a81fc38eae14e11	NA	NA	NA	NA	NA	ANCOM
487d1c7eb08fec28b132b9a3aa2bf808	NA	NA	NA	NA	NA	ANCOM
5f4980ffa371b1cf73b8f4dd096cb98e	NA	NA	NA	NA	NA	ANCOM
2825e771740c2228d0011fee74fe3ec7	NA	NA	NA	NA	NA	ANCOM
f9ae18dfd7b55c1bd392be5124f36453	NA	NA	NA	NA	NA	ANCOM
1ddb8d109aea8f26a23e0687e1b281bd	NA	NA	NA	NA	NA	ANCOM
b8c9d28bce51717652562e9c709059ba	NA	NA	NA	NA	NA	ANCOM
1fc8e1a41cee23027e9391644ff57a44	NA	NA	NA	NA	NA	ANCOM
c209af5914d3c112a3df4921bdfee196	NA	NA	NA	NA	NA	ANCOM
ee106feaf69b8fb5221d0770936c3663	NA	NA	NA	NA	NA	ANCOM
983b71059a8f78f7e8ad5b36482789e4	NA	NA	NA	NA	NA	ANCOM
ef95941ec445f384c2e412700e1b43c2	NA	NA	NA	NA	NA	ANCOM
858b6aad8593ca72027697eab870fa68	NA	NA	NA	NA	NA	ANCOM
4322a4005ed1617479567be87d04d188	NA	NA	NA	NA	NA	ANCOM
84436864121e88433aee04162ab522df	NA	NA	NA	NA	NA	ANCOM
d0493a3fd6acf34119757696bd8c16f0	NA	NA	NA	NA	NA	ANCOM
9e7ba093cb5746ae366105e8705eefde	NA	NA	NA	NA	NA	ANCOM
ac8cdbd75e44a9d6e6841b211bff8398	NA	NA	NA	NA	NA	ANCOM
8eee124893df84d742e2466e3129faee	NA	NA	NA	NA	NA	ANCOM
139560f8583ff87f347ea27f0d30c7cd	NA	NA	NA	NA	NA	ANCOM
77a1be56413b28396632ba0e5459d2e2	NA	NA	NA	NA	NA	ANCOM
16d103b36a8fd30b2b36fb32d6d09c50	NA	NA	NA	NA	NA	ANCOM
15af0fce0834be67a3fa25786b5a90e1	NA	NA	NA	NA	NA	ANCOM
a8827a2104fcc149de49d2ac93f63320	NA	NA	NA	NA	NA	ANCOM
fadabbde414ae556263e64c59a92f622	NA	NA	NA	NA	NA	ANCOM
58bb1ff1c3fff4003a49bdf5b4422f5b	NA	NA	NA	NA	NA	ANCOM
8ff87a3c033862a98cec868811fcd732	NA	NA	NA	NA	NA	ANCOM
b5807811e5140b32d9dba7a9640f1bab	NA	NA	NA	NA	NA	ANCOM
964bbda21c2a0cd14255131072a6b8d8	NA	NA	NA	NA	NA	ANCOM
f1462fbd7e243e10b889f0c22c5e2dea	NA	NA	NA	NA	NA	ANCOM
2ce123e0dd54d9ef2f23050dd553ab81	NA	NA	NA	NA	NA	ANCOM
a7f2ed23727b5ad15c9ff563ac356ef7	NA	NA	NA	NA	NA	ANCOM
c7731886c8a338a5c6100510829d613c	NA	NA	NA	NA	NA	ANCOM
2451dc91ae6f95b3ec0a55597986a1e8	NA	NA	NA	NA	NA	ANCOM
96291f37a0f0f5cad7cf452365ae998a	NA	NA	NA	NA	NA	ANCOM
74f9642a5cc905836ed1ebd2b4b0e3b6	NA	NA	NA	NA	NA	ANCOM
b698c6ceabf5e7700d1a7f78ed1d36d3	NA	NA	NA	NA	NA	ANCOM
4d506410b819dfe0dfedfa7e55aaae19	NA	NA	NA	NA	NA	ANCOM
1f130081cba9e4376a1acbda9c27e3e1	NA	NA	NA	NA	NA	ANCOM
8d86ccbcd2ceda54b7c8d4a86e2d4ba1	NA	NA	NA	NA	NA	ANCOM
3df18ba02ce2d2ebaea7483a763bdb52	NA	NA	NA	NA	NA	ANCOM
87e658bb01d0bb5b52a8c9de8a54907f	NA	NA	NA	NA	NA	ANCOM
4d8603d0181c52078102d550d0693263	NA	NA	NA	NA	NA	ANCOM
3e59d7257ca9bb68fd9126d80541f697	NA	NA	NA	NA	NA	ANCOM
166916d0441c251bd590ab055dde7301	NA	NA	NA	NA	NA	ANCOM
9c174b3e3a0325a850c8ff0cf8159166	NA	NA	NA	NA	NA	ANCOM
b29de74506c8ffdc73c16fcdd7019ed8	NA	NA	NA	NA	NA	ANCOM
5f04b2edae692e865f5ced6a20992d57	NA	NA	NA	NA	NA	ANCOM
e0ae91c7fbd6042a64c256f1e098a334	NA	NA	NA	NA	NA	ANCOM
fe76df7670e47fae044ddfd02f3c918d	NA	NA	NA	NA	NA	ANCOM
73a70d795b9dfb48c8ba9d9c5e95b631	NA	NA	NA	NA	NA	ANCOM
fb5e135b1f4ce52885bb9751b9490222	NA	NA	NA	NA	NA	ANCOM
8714f8364c0c68299ad920b9bfa92190	NA	NA	NA	NA	NA	ANCOM
972ad70372a7f2ebe11ba110f61380f0	NA	NA	NA	NA	NA	ANCOM
ed3a5fe69ac39c2857a7d294bd8ccc7e	NA	NA	NA	NA	NA	ANCOM
dbd3fc3f373553bb19e2b52089492e81	NA	NA	NA	NA	NA	ANCOM
f7846951ac9c4acd9237c2a4b9d3e1bb	NA	NA	NA	NA	NA	ANCOM
c7fb10d9538d5090a1b43eb5afe2aa5a	NA	NA	NA	NA	NA	ANCOM
88c668f1d66ff8a43bbd8e13a67d6058	NA	NA	NA	NA	NA	ANCOM
91167897c81a0adac725e54201e5f0b7	NA	NA	NA	NA	NA	ANCOM
fd7c595c0426076d2a7382826eaaa0fb	NA	NA	NA	NA	NA	ANCOM
ad485e2aaa23344038247283fe541a39	NA	NA	NA	NA	NA	ANCOM
8101bbc3e718554fefb9bbfc380326ab	NA	NA	NA	NA	NA	ANCOM
93d0a970318e2faf1db29e06f93f84d4	NA	NA	NA	NA	NA	ANCOM
2e17e59f12aa5d7556edd8d1f753dd6f	NA	NA	NA	NA	NA	ANCOM
604dacec8b37a4f3cdca80555e713024	NA	NA	NA	NA	NA	ANCOM
d76cd84fcfd7790780c446c4fe5926b6	NA	NA	NA	NA	NA	ANCOM
6a00214ae43f45acc4f54dea68566b7a	NA	NA	NA	NA	NA	ANCOM
d8e377a468c170625fd2e89d562f94ef	NA	NA	NA	NA	NA	ANCOM
1ae3f07fc4c0401ed258f6d01746f1cd	NA	NA	NA	NA	NA	ANCOM
471f47a32866255d7e93660881b2423c	NA	NA	NA	NA	NA	ANCOM
2b90ecebae8647137fc4bf42a84e03f9	NA	NA	NA	NA	NA	ANCOM
91f35622b28a66597f3f95a6ff38b530	NA	NA	NA	NA	NA	ANCOM
5d5e8164a2ddf096ac8822aab23d161f	NA	NA	NA	NA	NA	ANCOM
3301d717341f20fa4263962cc728e83b	NA	NA	NA	NA	NA	ANCOM
4639384c7b7375d21e15eae0ca84d15f	NA	NA	NA	NA	NA	ANCOM
4284835e4636a5dbc95e8039513de815	NA	NA	NA	NA	NA	ANCOM
dc6036cf6fca2abf03b0e30e2778d109	NA	NA	NA	NA	NA	ANCOM
11afb943f889f074808f707072b06852	NA	NA	NA	NA	NA	ANCOM
66a976fe155dd7493a081f00f00155a3	NA	NA	NA	NA	NA	ANCOM
33ab1a47eebed834d626988e52a953e2	NA	NA	NA	NA	NA	ANCOM
8ed2171ff86eca8e5549df0f5f43be19	NA	NA	NA	NA	NA	ANCOM
abf913646306275d44c2257d422fff3f	NA	NA	NA	NA	NA	ANCOM
ca4157a4f8ef180dc4a2f99383c70976	NA	NA	NA	NA	NA	ANCOM
101eff913646617a3683b05f1769b166	NA	NA	NA	NA	NA	ANCOM
b80cba458726fe3d384d78ae779ddb24	NA	NA	NA	NA	NA	ANCOM
8dd5b097858030fe2c262b7c136d1ebb	NA	NA	NA	NA	NA	ANCOM
028110593bf849753e4f72a74ac9dcd3	NA	NA	NA	NA	NA	ANCOM
2510eb5fff36cd52de23fea9324957e0	NA	NA	NA	NA	NA	ANCOM
6fba66668be5f55dae6101a3362ab216	NA	NA	NA	NA	NA	ANCOM
98a9b3a60c3d399ebbd250ecce2fb2df	NA	NA	NA	NA	NA	ANCOM
eef60c88a2f7e490df9569c15febd9c8	NA	NA	NA	NA	NA	ANCOM
207a3d0a06dd823d5c6b1c9ed7ba8882	NA	NA	NA	NA	NA	ANCOM
eee61e48c36178aeb4908186be39f51f	NA	NA	NA	NA	NA	ANCOM
8914af15f7057c682323bfb35e7f85e3	NA	NA	NA	NA	NA	ANCOM
18329d9bb61473eb49eb8814b2582af4	NA	NA	NA	NA	NA	ANCOM
160429fb8a85f42593374368a078b001	NA	NA	NA	NA	NA	ANCOM
a16d2d572306ec1804d44970919c8cd0	NA	NA	NA	NA	NA	ANCOM
2ead039f225ef298ce5c02cc97486cf8	NA	NA	NA	NA	NA	ANCOM
e7c96da862411a8c839d6c290026b806	NA	NA	NA	NA	NA	ANCOM
9b8eebb09f9119bca7cb04047a31d67c	NA	NA	NA	NA	NA	ANCOM
d7958fa719f85d0024292b9621a8d69e	NA	NA	NA	NA	NA	ANCOM
23ead3b292d42edae6fb724772281bec	NA	NA	NA	NA	NA	ANCOM
6fc977e78cc7a6570fef573d5304b38f	NA	NA	NA	NA	NA	ANCOM
2773670201eec795d40b535ceddce383	NA	NA	NA	NA	NA	ANCOM
fe5efc520112618bbcd42567a6a22724	NA	NA	NA	NA	NA	ANCOM
96ebe86204c8735980a5be07cfe379f4	NA	NA	NA	NA	NA	ANCOM
56221556af1bfcdd26ebe1310e083204	NA	NA	NA	NA	NA	ANCOM
c5aff64cd8647566da4c56b4ece0079d	NA	NA	NA	NA	NA	ANCOM
5ba47360a89540916521cf6be8f3ef9e	NA	NA	NA	NA	NA	ANCOM
2a995cd5a65a6d8d8f7afce2d11225ff	NA	NA	NA	NA	NA	ANCOM
07265506f56410b68c8c8d6b41e23c4d	NA	NA	NA	NA	NA	ANCOM
a5e59d3c7a5f72470cc2fcd562020c05	NA	NA	NA	NA	NA	ANCOM
180b2c6eb80fcb7741e16b0221a32066	NA	NA	NA	NA	NA	ANCOM
b0ce8c0098f25119bf2fe04ad54022f9	NA	NA	NA	NA	NA	ANCOM
c0dd19f3317a808d2747dbfad7d2ca77	NA	NA	NA	NA	NA	ANCOM
0668037261e6f4b0139e129ee43dbfcd	NA	NA	NA	NA	NA	ANCOM
9c22ca06d2d68678bea26083a4595a35	NA	NA	NA	NA	NA	ANCOM
58a8d67355b22b834bcc14126eb0d9bb	NA	NA	NA	NA	NA	ANCOM
9411bbe3ce22b7626a00a899ce93d80f	NA	NA	NA	NA	NA	ANCOM
b0078504e512f3ed7fe8ae60cd5f0b89	NA	NA	NA	NA	NA	ANCOM
839749a2ae38c48e12806540071e6ae1	NA	NA	NA	NA	NA	ANCOM
025d5ef0bcdbc28f9c3d79f976e4204c	NA	NA	NA	NA	NA	ANCOM
99a79fa5c40815a35e56955115780a60	NA	NA	NA	NA	NA	ANCOM
a04e0d0a45de5bc7221ba5b104b2e1fc	NA	NA	NA	NA	NA	ANCOM
f15d30c515f23db6a2bd24bd6815dcf9	NA	NA	NA	NA	NA	ANCOM
4040478be7eae96b8cfabf000fc4ab48	NA	NA	NA	NA	NA	ANCOM
bc2c1d4471070531fcc23c396974812a	NA	NA	NA	NA	NA	ANCOM
01cd36d86cbb2d3abebbb9258a0a86ca	NA	NA	NA	NA	NA	ANCOM
f28f7a92e7a2e44a0856e087bb89e193	NA	NA	NA	NA	NA	ANCOM
e556c0c87d838e6fd8a99b7e0d78cb90	NA	NA	NA	NA	NA	ANCOM
53870fcd313d6422afc424cb8c94bdba	NA	NA	NA	NA	NA	ANCOM
8514d1910d1c8104a81461b695127227	NA	NA	NA	NA	NA	ANCOM
14a0d632fb7a0a6d2c6e6f669ff731ae	NA	NA	NA	NA	NA	ANCOM
da0e51fd120f4e69e3e504c88aa2797b	NA	NA	NA	NA	NA	ANCOM
f82914de00efa046f3247596441d66eb	NA	NA	NA	NA	NA	ANCOM
af9b4e6dd563850ee5437d06c9a9f1f6	NA	NA	NA	NA	NA	ANCOM
6db7752bf39382795a9d0bff35fef573	NA	NA	NA	NA	NA	ANCOM
aad1d0c281ef5b93c75983f0b5020328	NA	NA	NA	NA	NA	ANCOM
9ea4295e1bc7f703c73dafe969076dcd	NA	NA	NA	NA	NA	ANCOM
aeb6a795630ad2104506fb0a1e8c1814	NA	NA	NA	NA	NA	ANCOM
34b4dfe806344bf4b7bf6f1a5c2ce56d	NA	NA	NA	NA	NA	ANCOM
d800e4e0b85355ff4a27511e77630219	NA	NA	NA	NA	NA	ANCOM
75f7c9ad3d7609b2a52b9c2499649921	NA	NA	NA	NA	NA	ANCOM
675b6eae08f3a7cba10e78c9f6f98bf2	NA	NA	NA	NA	NA	ANCOM
fedc641aad182a0c85aa8bf63f7c0a61	NA	NA	NA	NA	NA	ANCOM
8054b6d7d84413b3f2ea12ee49f8a420	NA	NA	NA	NA	NA	ANCOM
231954ddb61784f2f06b569ce2d2675e	NA	NA	NA	NA	NA	ANCOM
31e625c893cf7de8375789e559244b29	NA	NA	NA	NA	NA	ANCOM
b1f5626b166b4ced05de8e0c0e0fe29a	NA	NA	NA	NA	NA	ANCOM
54c9f33a94042db46070f620bcea336a	NA	NA	NA	NA	NA	ANCOM
f64c87bb014ce9dab832b67084b6a2dc	NA	NA	NA	NA	NA	ANCOM
99452eac47759fa1f7f9fea99e0779f5	NA	NA	NA	NA	NA	ANCOM
b559eb7a65bd7a4a905a8ef652ea27fa	NA	NA	NA	NA	NA	ANCOM
2b1376891499a952249c806feba50a48	NA	NA	NA	NA	NA	ANCOM
db3bd008ebcf2285862b7a993d874e18	NA	NA	NA	NA	NA	ANCOM
899ef3d101a5840642fab5a4e1b18fa2	NA	NA	NA	NA	NA	ANCOM
9916154be42823743d00521b257100a8	NA	NA	NA	NA	NA	ANCOM
10c568040bf06e35583d9838171c3c10	NA	NA	NA	NA	NA	ANCOM
a35f302cd8294879b917e75737ce4f03	NA	NA	NA	NA	NA	ANCOM
