ID	padj	R2	method
e402ca6cf9c21c2894f0b3bb48f36c70	0.124	0.508	Spearman
d8d5e11749406d95a041f3ef5a58883c	0.124	-0.515	Spearman
d1400c3fb5f795bf73de3175e8668c0a	0.124	-0.493	Spearman
bcfc88f3a8cdb5ef30681956feea4cc0	0.124	-0.409	Spearman
aa78e7b32ebae83f1f83f828c843feed	0.124	0.491	Spearman
8b67e9a17f0191340a7965f40e1e455c	0.618	-0.402	Spearman
6710169f0a78d6963eb957666faa6f9e	0.618	0.466	Spearman
38ba7660069b1696ed03889d20e69a70	0.618	-0.393	Spearman
35cf7900898adde1b2dd43ee55a1d998	0.618	0.460	Spearman
35063d5a8b75df89fa4a988d54d7dac6	0.618	0.411	Spearman
00dfb76300edb9f88ba7e2572813f3ed	0.618	-0.449	Spearman
833e85aa078f656056e61119a61199cd	0.811	0.387	Spearman
7f7fb1d4262f8ac0ec086d26b46ae819	0.811	0.400	Spearman
37efce74f2b3002ca5cc6323d732cfe5	0.811	0.400	Spearman
2cd926d5bb857bf063154f153008c556	0.811	0.398	Spearman
d4699a1c6305055c2caab45b0e797027	0.811	-0.426	Spearman
51a5ac9dd07be71ba1612424b2f7566a	1	-0.373	Spearman
2bd7b4c9a9a529e598fb7fda58b3630e	1	-0.382	Spearman
060f1a9c302f5478153dde201c22eb7d	1	-0.373	Spearman
860316c7bf0951c78ea68d86876bef42	1	-0.349	Spearman
1fb1ec48b4a18ba9637d173a27a495e8	1	-0.376	Spearman
198700b8055e1e87f938d800ef0cceee	1	0.329	Spearman
0b1c6513335076fb633530a3e04a8d43	1	-0.358	Spearman
03d74c928fe49e29dc594a3e9a4a09ac	1	0.351	Spearman
fb1232e8c3cac86c121108eee0066f39	1	0.411	Spearman
e328e8fb5613e62430c67d8f484f6e0d	1	-0.351	Spearman
67e18e74d93261953cbd51b20cb8d980	1	-0.354	Spearman
d0566d7177499d5cacdb330361254a8d	1	-0.334	Spearman
5f55c5f79c2d6c8648355001b8dab4c4	1	-0.345	Spearman
4a4c89922910bba7bf26c73d1252609a	1	-0.362	Spearman
19cfe6d8aff7cb35bcc5137e84a5e28c	1	0.362	Spearman
09dfa3f16a610b2816449743821233d7	1	0.345	Spearman
d22c8d80f6f971974e9ec29b91f9a8ff	1	0.358	Spearman
a77cf8bb99d7e1b5d9df12b0b29d941a	1	0.365	Spearman
73d4bd01729d32db3ad23b84906751dc	1	0.369	Spearman
eb9fbb77997c441505926bd7a4b090c1	1	0.369	Spearman
7f38d1a3ab40e038afca947a93bbf92a	1	-0.347	Spearman
6948e5160a37b07a249529f7bf52e7d9	1	-0.340	Spearman
623e2ad69c7eb007c393f30000296af3	1	-0.340	Spearman
32f8a31c5641b22cce115db1f466f3bc	1	-0.329	Spearman
712d5e67ccc5704d776e9374c73cfe01	1	0.329	Spearman
13b8bdad20cbfb128283a486f8e4a9d4	1	0.318	Spearman
06a41880b59092d03e0f06eef52d7d39	1	0.345	Spearman
a1c0dee298c97cda2af872800f7d5dc2	1	0.329	Spearman
588997d435dcd23a4d0e8ef1907f916f	1	-0.316	Spearman
1a652db8f4e2b5af0e7019866b7ebbb7	1	-0.338	Spearman
d70c03b575ce9be62b01c5cf5d6638b0	1	-0.323	Spearman
c86c38ca26b8cd1403a3a1e90cb6feeb	1	-0.303	Spearman
acc9e28eeb3bcf05ebebccfc755c8eeb	1	-0.318	Spearman
611b7f9cd5c4491a90a2089afbeb7620	1	-0.305	Spearman
22be92ccf641c31a8b009003b16d8d9b	1	-0.340	Spearman
c23b9f84cc585c36196063bd38c9f385	1	-0.331	Spearman
aceaa3aebda540a0db2a8c12a729206a	1	0.329	Spearman
92029bdf9673ca396f605686df3c91a3	1	-0.325	Spearman
689da902c40278e70c2a8805a2ab89ac	1	0.325	Spearman
b977fe6e401b6fc6012c57052139f2c1	1	-0.312	Spearman
7a1bdc86e3995e2e3d52c2940011f279	1	0.325	Spearman
4c0128ac5941162494b7b1086f28a439	1	-0.318	Spearman
4743c45e95ab5061d67b1afb121be38a	1	-0.327	Spearman
fd5e178a1eb8c7da0ce0f236f0ecfe97	1	-0.303	Spearman
ec4d827e745bc93fda0b01e9aa9fbdd3	1	-0.323	Spearman
e543c44523f3a5a8de550275a4c1d622	1	-0.318	Spearman
e035d5b63fb172e9fe07b58ad505defb	1	-0.329	Spearman
1805e393f56dc746e3f87437bc8216bb	1	0.305	Spearman
082d9f2f1b2d226a26913973d1ccd0cb	1	-0.327	Spearman
f1fbdee4cd6e8c976e9ba044be173ed8	1	-0.314	Spearman
d070a8250a0fe6d2777b80cf8298b67b	1	-0.323	Spearman
48e5f9afb2f67a30ef5bc0c4d21d108c	1	0.309	Spearman
1e5c97c0302c9de060fd6aa8c76078df	1	0.307	Spearman
06076f56f2c84efff8fb1d12868a92ae	1	-0.323	Spearman
f922fe24bda317b6b3e05a2c4b4118d3	1	-0.312	Spearman
3b7355b48aa7cdea6d101e3905b9aa07	1	0.314	Spearman
30ff45c20227f2313ecbac648718b30d	1	-0.314	Spearman
2e905a3098e64af93f0c9f738db64ebf	1	-0.296	Spearman
f52f444bf99b8b3bf80fe5186d342738	1	0.289	Spearman
b115239cd81380e5edf33380f5d22278	1	-0.316	Spearman
b04f6ecd08b52eeeb9c15e04066438b1	1	-0.312	Spearman
73c6f95b9cd4f2f55bfab94e59e16a52	1	-0.292	Spearman
a7449445ba18fe39e5192dadc0e7494c	1	-0.305	Spearman
90fc7b5e2ab975d8d639430e12aaec4a	1	-0.325	Spearman
860022717d6ac507fe6d4b0dc6863294	1	-0.305	Spearman
7dbbad6a8babddb62e5586560c32cf93	1	-0.281	Spearman
45d6b79cdc482340318332c2d203705f	1	-0.294	Spearman
