ID	pval	padj	R2	method
b663b0cd551ba980221251a789b6e206	0.018	1.000	0.333	Spearman
bb33b229f3d1ca9a24f2615fab635d38	0.077	1.000	-0.244	Spearman
X99d56121b201885e2327e1aaefee27e0	0.090	1.000	-0.241	Spearman
X273881ea7601aa7c034c59b7f40b5736	0.125	1.000	-0.216	Spearman
X2ea15125b3c28f70f4e9b2011fb1b32e	0.149	1.000	-0.211	Spearman
X369977194325fa77afd733d37c92c63d	0.234	1.000	-0.172	Spearman
X9bfd7d6705ff77f170d74bd7d21e15c7	0.259	1.000	-0.164	Spearman
efef4e897400bf9054e9c2a7eda09a78	0.285	1.000	-0.155	Spearman
X116156fee4dfb6a544121c9b98a23c74	0.299	1.000	0.155	Spearman
X22c4ee4deafd2a50e123031f9e973ddd	0.346	1.000	-0.136	Spearman
X3d0a205de99f5295bc4b374649c57575	0.349	1.000	-0.133	Spearman
X17211eba768f47a1041935f3ee102e20	0.364	1.000	-0.130	Spearman
a7f842cf2e6b177dd52becebda1de83a	0.372	1.000	-0.128	Spearman
a158cb84cd379842d99cf6726247efcd	0.383	1.000	-0.119	Spearman
dfaaa901a526111d492d3d2f61435275	0.385	1.000	-0.128	Spearman
X97e3be015d0ad3c9c56ccbd57f9c0feb	0.397	1.000	-0.122	Spearman
X4a1a4c83702a6c44562e2daa13bf3514	0.401	1.000	-0.122	Spearman
e74ee435c566d594cc9526383adf5792	0.421	1.000	-0.125	Spearman
X4673065a2d04c05374a89d2cfdcf68c2	0.428	1.000	-0.111	Spearman
b53ede99325c8616840fa8e938464d7e	0.438	1.000	0.114	Spearman
X8e6ecb2cb834391984e82c3a076e43c2	0.441	1.000	-0.105	Spearman
X92e7c471bf50233a39a459ff5b204b3e	0.447	1.000	-0.111	Spearman
X59788ef0375e4756a83b5a60f29a3303	0.466	1.000	-0.103	Spearman
a4bbfb428c8d35739d668a60656037fc	0.467	1.000	-0.108	Spearman
X4f39ef900d88365c3eac06f13c776b8f	0.468	1.000	-0.108	Spearman
X450fb80a8aa341cdf33eee2dac5fe23b	0.473	1.000	-0.105	Spearman
f7b11f46a4c69e77e82476e16e9df760	0.475	1.000	-0.108	Spearman
cca78c21045111a15b3ccadddf52b971	0.480	1.000	-0.105	Spearman
a4e3412f19bae543184b7ee353711e30	0.486	1.000	-0.100	Spearman
X175a157b503cdbac0149f491726d55a0	0.492	1.000	-0.103	Spearman
ca8c1cc094272e70ff21f563a2af81c3	0.495	1.000	-0.100	Spearman
a4977746f215ec32e61883e81da46126	0.503	1.000	-0.094	Spearman
X99bf847cdf4b42889ec796b79dff8c25	0.512	1.000	-0.089	Spearman
de7864dafea9b68a565a62c31bc8339e	0.516	1.000	-0.094	Spearman
X54936af7fc659bb8a76615f1ae6f6993	0.523	1.000	-0.089	Spearman
X543d211dd0ff4f6d0066ec3850ed5082	0.532	1.000	-0.094	Spearman
a767696bf9e2e1a5f9e63fd6d39e88f3	0.537	1.000	-0.086	Spearman
d40cb52e5d7086fee99ae0907fd334f9	0.550	1.000	-0.092	Spearman
X596153e78a4c251da43033285b61a7b3	0.550	1.000	-0.083	Spearman
abb48f98cc76cbfd884b85cb99cf2af1	0.559	1.000	-0.092	Spearman
X8888c9b2d3933081f63651b9bfdbe480	0.562	1.000	0.083	Spearman
X21902ca1010f0f956e2e1b1e786ea973	0.567	1.000	-0.080	Spearman
X8c6d27c2bc40b12979bd9d5544237b81	0.571	1.000	-0.083	Spearman
b77627ad049c7569beb5e5bb351b9a50	0.572	1.000	-0.080	Spearman
e5750ae962ff61732a057356b169fd21	0.574	1.000	-0.086	Spearman
X79211df1215da97e2f8277d6b2222fe2	0.577	1.000	-0.078	Spearman
X5f3b8380fd0ae0e537a43b002c4e7a67	0.579	1.000	0.080	Spearman
X9e58e4736ae679b38ae8de9b3fc3d7ee	0.582	1.000	-0.083	Spearman
X135cd9f50ac1631b9e504edeb830d683	0.584	1.000	-0.075	Spearman
X511bd796069111a3a3e99c2d13907211	0.585	1.000	-0.086	Spearman
X223bd77c5c34f4e9e40c3dfd53dffafc	0.587	1.000	-0.080	Spearman
X60ae902a3e046edce4cc5f9cc1ac73ea	0.588	1.000	-0.075	Spearman
X872b2757f7ef15b1ef26b3f9936bcf31	0.596	1.000	-0.080	Spearman
X77d225e6605a71a9a33a9aeb33bdb890	0.609	1.000	0.072	Spearman
X22aea799615e8e1467f7b56605053545	0.618	1.000	-0.067	Spearman
X7e3a3bdd9958e1b458ec4e0db97683ea	0.627	1.000	-0.072	Spearman
X7ff01134216b54c40a3d44f59c565338	0.631	1.000	-0.075	Spearman
X4bdc300e2a73d2456d8f5f301cd79b24	0.639	1.000	-0.064	Spearman
bdf8ede33b2c7001840621a6f72229dd	0.650	1.000	-0.067	Spearman
X8dcb1c66dadcbfce80141ab20ccf1ea1	0.655	1.000	-0.064	Spearman
f9fd90420aaf24633adee0901df06f08	0.659	1.000	-0.067	Spearman
adba26ac34bc5a82de3fd3fb5efbd33e	0.659	1.000	-0.055	Spearman
e71fb4db708f786a39f0bf2bd9b6e50b	0.664	1.000	-0.067	Spearman
c2cf452e2e4b142723e0654f167ee870	0.665	1.000	-0.061	Spearman
X6915ce702b5bac12f5018e69a2bca72e	0.666	1.000	-0.064	Spearman
X7c4c61a0c83567367786e514df40a21b	0.673	1.000	-0.061	Spearman
X409649957a882957ee87339338a7c07f	0.675	1.000	-0.067	Spearman
X5ae8bbf464d292ab3b75086ef4ff2fb1	0.678	1.000	-0.061	Spearman
X33be679a5c7b7bff076243989c33712f	0.683	1.000	-0.061	Spearman
c1c7dac2c6665e89f90cda95c53e086e	0.683	1.000	-0.058	Spearman
X299a98fef4b37a7f125b41049760c6d7	0.686	1.000	-0.061	Spearman
d8fc54bcadbf7fcc5cd3d7c2bf678f8f	0.686	1.000	-0.053	Spearman
X93dc6bb121df4cf4164c024ac00012b4	0.689	1.000	-0.058	Spearman
X187ab8462b8b440e1def5212412d9e06	0.692	1.000	-0.055	Spearman
X8cb3b318760da2e5f9815653cbc4bf83	0.696	1.000	0.058	Spearman
c8d5fdc244ae17e9558f5025b812d6eb	0.701	1.000	-0.061	Spearman
e36a239a30b387e78c09e274444e016c	0.701	1.000	-0.055	Spearman
X542b8274cc0abe38ef023b02b57dbf9b	0.702	1.000	-0.055	Spearman
X5cce1abb68c73f8fd159aaf92e2afde9	0.709	1.000	-0.055	Spearman
ea4f3d7471d698fb962e28a5f213caf2	0.713	1.000	-0.055	Spearman
fb4b6d91dda35da5c766e6747c71efdb	0.716	1.000	-0.053	Spearman
X643e1fe5e4374e56b15854c0ab8bd517	0.717	1.000	0.055	Spearman
X8512a0ed11476e591ffa9a713b8d9df3	0.721	1.000	-0.055	Spearman
X7be672ff862684f33384d4e038bb89c0	0.726	1.000	-0.053	Spearman
X9e6878f45a5eb2ea642bc92e840afdf7	0.729	1.000	-0.053	Spearman
X79a7291065adc3f595551e420369acde	0.729	1.000	-0.050	Spearman
X96e8d503a1148ba899683ec5ab9b05d9	0.731	1.000	-0.050	Spearman
X9d066026ffeef60c8c0e44158075b186	0.732	1.000	0.047	Spearman
X30526a7a4d826edd9b043b56bd8e847a	0.732	1.000	-0.050	Spearman
X0fa5da88bc26c3d497597b2ecbf33634	0.735	1.000	-0.050	Spearman
e0db0916d5f4bc79913c096d6f7f23e0	0.739	1.000	-0.044	Spearman
X5d5ed43144a7e9922f567567cca6edb7	0.747	1.000	-0.047	Spearman
X2ffde79d725e60b058bde836132af683	0.748	1.000	0.047	Spearman
e87dc9cc994d0c5c48a42ee91aae6eae	0.751	1.000	-0.044	Spearman
b2b2ae51b868a14c0e2efb9693ed8f75	0.752	1.000	-0.047	Spearman
X18922236506583e7320e776be6c2463a	0.755	1.000	-0.047	Spearman
X22358af799b12718b2413db582b1a6af	0.760	1.000	0.044	Spearman
X45c35d69f417bd7d4cbe61dd5a0f083e	0.762	1.000	-0.044	Spearman
f159675a1296aa9d383e4ab3f9407619	0.766	1.000	-0.042	Spearman
a692aae1c416358d582103d64b3774f2	0.768	1.000	-0.044	Spearman
X53c621cb35a1c35186d82a7c60de1bf0	0.776	1.000	-0.047	Spearman
X75e58ea69a10ad870d4811cf0d4fdb61	0.779	1.000	-0.044	Spearman
X78e3be9fa222d3a314799a1a883f6b66	0.779	1.000	-0.044	Spearman
X481b5086d4014f57b2ff1517825ee7d1	0.783	1.000	0.039	Spearman
ccba5d69de041201ee8e163c1c4b23bb	0.784	1.000	-0.044	Spearman
X4be810915c915c3f6f34bb4fedab9ad0	0.787	1.000	-0.042	Spearman
a135d244d0364d5d06535e56882a84a5	0.790	1.000	-0.039	Spearman
ee121b5310faf3d1c9e119e3ac6048ba	0.790	1.000	-0.036	Spearman
c0c4bc43d1ba371268726299b45b754a	0.794	1.000	-0.042	Spearman
X0c0cca5bec99fb78e2bb61c3935b025d	0.798	1.000	-0.036	Spearman
c10027370c67bc9ee9b945c53d20ab5c	0.798	1.000	-0.039	Spearman
fd6ff46f1b85f9ed17f80fe98868119c	0.799	1.000	-0.036	Spearman
X539265e101086f2e7d8aa51c05152c1b	0.805	1.000	-0.036	Spearman
d6992915e0c28999e8d466f1592d8b7a	0.807	1.000	0.036	Spearman
d61038bd0af574cc1fb1f9ecef204bbf	0.808	1.000	-0.039	Spearman
X08d77d3861ee0c24205b9a999144495f	0.815	1.000	-0.033	Spearman
c50d9f53af04313b5497bb9c55275c7c	0.818	1.000	-0.036	Spearman
X66784a97073d9affb5b9dd057c7d5195	0.828	1.000	-0.028	Spearman
fd7880a6988b84aaaf0c433708c2efa6	0.832	1.000	-0.031	Spearman
X76dc3809d214159c017b2f987364f7e0	0.837	1.000	-0.031	Spearman
X5e317160f53054af730b0a3123e7e9b6	0.837	1.000	0.031	Spearman
X2130ca17584e2024351e25847b07de48	0.838	1.000	-0.031	Spearman
de3ca8116321fa3b3ecaa5fc40c08cc5	0.838	1.000	-0.028	Spearman
X1a3bb25b7d08acf0c021cca6623e477e	0.842	1.000	-0.031	Spearman
X7f088cac1fcdba8c0195c47096264049	0.847	1.000	0.028	Spearman
X8d3e983e728259a88863f948e5dbe94b	0.852	1.000	0.025	Spearman
X633743f58b6a9fabc8612a844746d9aa	0.867	1.000	-0.025	Spearman
f5dfda847d1a6546186467acbca7459a	0.871	1.000	-0.025	Spearman
X9b05f9d3b68356c051503c00d6b3d333	0.882	1.000	-0.019	Spearman
b6d488bfbf30ff5ee3e75bbefccb6032	0.896	1.000	-0.019	Spearman
X8886b2b13e2ddffa6f24c3ba02bde095	0.898	1.000	-0.022	Spearman
X6b6c4cf41b7f49acaa5081bc5f234029	0.905	1.000	-0.019	Spearman
e3eb7f52eef0ad7aec4db88af12eb3cd	0.908	1.000	0.022	Spearman
f342e124ffe9a9d3e0e492ff00ed674e	0.912	1.000	-0.019	Spearman
cf16828665dee40dfa4b6bade4cf21ef	0.916	1.000	-0.019	Spearman
f8549988d995f078ce28eccc60deff7b	0.917	1.000	-0.017	Spearman
b5f3ca43eee20152738a029642f31149	0.921	1.000	-0.017	Spearman
b7b6c3fd8f90372ec9ab4e7bd7df8507	0.926	1.000	-0.014	Spearman
b47360a961b32fd49a797faf00c4d3de	0.927	1.000	0.014	Spearman
X31415f8d3595a43846a89317548511ce	0.931	1.000	-0.014	Spearman
X1b0539acdc7399feee3aaebdd5e61067	0.931	1.000	0.014	Spearman
bd26e97e57ceb47cf6ab7d5b5e947f62	0.933	1.000	-0.014	Spearman
X5efce6b21a9c05541f7e777341156e96	0.934	1.000	-0.014	Spearman
d3ab276830b02edd6977f850f0ef8caa	0.934	1.000	0.014	Spearman
X2b59d468bbdb1f86c22fcebd61f5d5cb	0.938	1.000	-0.011	Spearman
X3a12705bdb700b87026ea27254e8fa89	0.938	1.000	-0.014	Spearman
X3123b5aa3c0f158260f64b2832af8167	0.943	1.000	-0.011	Spearman
X18ff3ee57c402652b7156ed14071d0ab	0.944	1.000	0.014	Spearman
b4b232f214f775bcc3308653d7741f1a	0.953	1.000	-0.008	Spearman
db927f3e3abb74321d0262b8624b01c7	0.955	1.000	0.011	Spearman
X2bf8231073721bfc54aa8ebeb6912a20	0.955	1.000	-0.008	Spearman
X319412737efae4ec36f93f4db011de0e	0.958	1.000	0.011	Spearman
d75885b537a312c667e41d5afe3bee27	0.960	1.000	-0.008	Spearman
X4a8dbbec00787fa2cc2ee08274f8ce4c	0.961	1.000	-0.008	Spearman
X7d2ea1f51c60d58d0660446d4774a59a	0.962	1.000	-0.008	Spearman
da513503b2ff56009fc8a578c819ebcb	0.964	1.000	-0.008	Spearman
X983cf9a4e7016105283f24743d919f25	0.974	1.000	-0.006	Spearman
X2e3c54c72de596f4c4009971b90895d7	0.983	1.000	0.006	Spearman
X1760e66b93ff7aa728b6898fa572bc2d	0.983	1.000	-0.006	Spearman
X526fa77d5328b0a41df33317dfe135e2	0.986	1.000	0.003	Spearman
X325f464ad49685c1e5420d17aa147d15	0.990	1.000	0.003	Spearman
c1f96ac17ac6c32cbf88341fce4c8d9d	0.991	1.000	0.003	Spearman
X8e2824f6a1b188b220b9361c612674b6	0.992	1.000	0.003	Spearman
X344a99c4890ae9d218c68b7173d0389c	0.992	1.000	0.003	Spearman
d9b3a569d44a34c6a764a5a298219d08	0.992	1.000	0.003	Spearman
X461c2b20bd5c233dcac34fc89ce1a66f	0.992	1.000	0.003	Spearman
X5ae1f1acc18efc7823c3415d779b0385	0.992	1.000	0.003	Spearman
X939f95ffa67d45b18f810411c9e35571	0.994	1.000	0.003	Spearman
ee0d28cca895e4a213be07178c2fefba	0.994	1.000	0.003	Spearman
a418705a2b62c68553ceec65922142a4	0.995	1.000	-0.003	Spearman
f5a2b8967fd8d135803af8c0601cd4e0	0.995	1.000	0.003	Spearman
X5bf5a35fbf5c2c129b31a4aaa02679bd	1	1.000	0	Spearman
X760b5cda1cd383fa43af2dd6f6b06672	1	1.000	0	Spearman
X41155fc81ea0571a02817ce0e39861e2	1	1.000	0	Spearman
fe1557e7eea603d3e9a1356de4c894f1	1	1.000	0	Spearman
