ID	log2fc	sterr	pval	padj	method
d0663dc6e98d4272e5c13d317fed72cc	-3.095	0.438	0.000	0.000	DESeq2
461c2b20bd5c233dcac34fc89ce1a66f	3.351	0.436	0.000	0.000	DESeq2
2ffde79d725e60b058bde836132af683	4.533	0.425	0.000	0.000	DESeq2
a294a6334e4208490c478e9073d7270c	3.573	0.435	0.000	0.000	DESeq2
fd7880a6988b84aaaf0c433708c2efa6	-4.136	0.430	0.000	0.000	DESeq2
c8d5fdc244ae17e9558f5025b812d6eb	-3.430	0.434	0.000	0.000	DESeq2
8512a0ed11476e591ffa9a713b8d9df3	2.259	0.429	0.000	0.000	DESeq2
d6992915e0c28999e8d466f1592d8b7a	-4.412	0.426	0.000	0.000	DESeq2
8c6d27c2bc40b12979bd9d5544237b81	-2.465	0.430	0.000	0.000	DESeq2
1b0539acdc7399feee3aaebdd5e61067	-2.902	0.414	0.000	0.000	DESeq2
b4b232f214f775bcc3308653d7741f1a	4.129	0.418	0.000	0.000	DESeq2
dc47c740766072a818fc135fbbb85402	-3.928	0.410	0.000	0.000	DESeq2
034aaec3b477baaaad7676a87004e735	3.941	0.416	0.000	0.000	DESeq2
4a1a4c83702a6c44562e2daa13bf3514	4.828	0.407	0.000	0.000	DESeq2
71d1bd285cdf78ebfd3ef9d9c9a40241	3.653	0.405	0.000	0.000	DESeq2
e4a8d89e330d04f29688c61cc275c501	0.031	0.404	0.000	0.000	DESeq2
de3ca8116321fa3b3ecaa5fc40c08cc5	4.223	0.407	0.000	0.000	DESeq2
e74ee435c566d594cc9526383adf5792	3.966	0.400	0.000	0.000	DESeq2
5bf5a35fbf5c2c129b31a4aaa02679bd	-2.412	0.398	0.000	0.000	DESeq2
e87dc9cc994d0c5c48a42ee91aae6eae	3.545	0.390	0.000	0.000	DESeq2
e3eb7f52eef0ad7aec4db88af12eb3cd	-0.827	0.437	0.000	0.000	DESeq2
8888c9b2d3933081f63651b9bfdbe480	0.843	0.438	0.000	0.000	DESeq2
b84ffd3d3404ece823346fd8ed2df099	3.421	0.368	0.000	0.000	DESeq2
8dcb1c66dadcbfce80141ab20ccf1ea1	0.007	0.349	0.000	0.001	DESeq2
b53ede99325c8616840fa8e938464d7e	1.167	0.381	0.002	0.009	DESeq2
f5f092fdfbb1dcc0827bf409ad96e634	-4.068	0.397	0.003	0.013	DESeq2
4be810915c915c3f6f34bb4fedab9ad0	1.177	0.424	0.005	0.019	DESeq2
3afe92f292286577802cddba507f140e	6.075	0.336	0.005	0.019	DESeq2
59788ef0375e4756a83b5a60f29a3303	2.794	0.346	0.005	0.019	DESeq2
760b5cda1cd383fa43af2dd6f6b06672	1.057	0.388	0.007	0.023	DESeq2
2c18fa52b1be278e8fbf731b531e3174	-0.857	0.329	0.010	0.033	DESeq2
08d77d3861ee0c24205b9a999144495f	-0.463	0.373	0.010	0.033	DESeq2
5efce6b21a9c05541f7e777341156e96	-7.337	0.254	0.016	0.050	DESeq2
ba01d82683535dedddbe18c540d309be	-0.808	0.334	0.016	0.050	DESeq2
325f464ad49685c1e5420d17aa147d15	-1.629	0.274	0.018	0.053	DESeq2
9a8798b380171e379eb66ee08e76ece1	1.512	0.344	0.018	0.053	DESeq2
319412737efae4ec36f93f4db011de0e	-0.726	0.323	0.026	0.072	DESeq2
1760e66b93ff7aa728b6898fa572bc2d	0.733	0.331	0.028	0.075	DESeq2
