"","feature.pa.pos","feature.pa.neg","contaminant"
"c09a4c88d1847df27d88e3961f8b62d4",100,5,TRUE
"0de3ca52aed5c5882ee5d602b8b13d3b",144,8,TRUE
"2bd476ca2f49f79ac0b65f9bf13ce00d",5,1,TRUE
"8776186e7b72f14cae6d16ba0a24901e",15,1,TRUE
"a4d5f2c400e719a6551bb5da4cfdb048",61,3,TRUE
"e24c32583128e39194a44aa170badaf8",111,6,TRUE
"876c9c92bca425a703734915403ff651",58,6,TRUE
"b8accf0554ddabd191a1bf7deb368c9d",22,1,TRUE
"3352517f6bfa47a7e045529f25be1e21",41,2,TRUE
"9d6db8507e481c92a14ad51e1245822d",18,1,TRUE
"820a09eeca142ea5519ebc12880a181e",63,5,TRUE
"b24bad376329a34f344f972b009776a5",71,8,TRUE
"61661e910876703f014d0d9ab9611653",33,2,TRUE
"87c028132536788fce75cc537feb5c44",42,6,TRUE
"e872dfbe57844a3a5cee0aac395b0165",53,4,TRUE
"cdcdb3f000a3df90e919550ba0ad7efb",19,1,TRUE
"393e405e3326ad85740c95ebe6cafd39",75,7,TRUE
"0b4360ac22f0eca3515ffae73f4d80e2",17,1,TRUE
"fd9ec1bd479fb802b8cdb9b94f217f89",1,1,TRUE
"5f1cfa6a20d0431f0dd638110b1b0d95",35,2,TRUE
"4d77672b0665edb43fa8132614032129",34,3,TRUE
"2812dc0d6f6f25aa929e9ead79d5bd46",58,4,TRUE
"84bbc445eb738a776c36e132930771f3",40,2,TRUE
"640bd3759c45123b0def6470efe17fbf",4,1,TRUE
"aeb6a795630ad2104506fb0a1e8c1814",29,4,TRUE
"65f1ab84c36da72b2ef70f388efb9eea",38,2,TRUE
"c30f095b824225ed8995fbf9f2f1b4a7",27,2,TRUE
"f690bf64590c5f4e12ac1c7a3a63251c",19,1,TRUE
"2a1ec6140e61017f34725b2b4d1845fc",14,1,TRUE
"f1e9b98f3719fa190393cb42097fe7b2",43,4,TRUE
"ded568f1d51c9fb4a38b7407b27ea08e",44,2,TRUE
"d4e17247dd69d69215117dfd5fb04c2d",16,1,TRUE
"81a1aa3a5399570f1e127734206f9011",20,1,TRUE
"7b7e2f947f12a3f842d7364b7c665f51",18,1,TRUE
"c9ef924196d997d0be81f4680ceed201",50,3,TRUE
"94a135690d083de7b2bfaba7b80c5870",13,1,TRUE
"7d3b18283336398cf402cab7cb7dd592",20,1,TRUE
"fa79ebdb3e959582391865cb30beba04",28,5,TRUE
"24d5dbad94929525a00c8e0c645f90fb",19,1,TRUE
"65a5674e294ff40760af1f1124e009f1",23,1,TRUE
"8cc15911fc7b96fe8441ecb4db8dba40",19,1,TRUE
"3e49e9eb22d42f6b2c5aed50af3fbb65",41,2,TRUE
"cc511d83b6d5761c33c399679fb09b7c",23,1,TRUE
"f037787eafdc7224f0339d52535294de",18,1,TRUE
"267368b6f1cbb3b8654526f6c6114e85",18,1,TRUE
"7c1736224feb31c61a59d6ee218603b6",37,5,TRUE
"c59c495c486a5810f563e2bf2e2e68d5",31,2,TRUE
"1c29c53c3266f2389f9f8e0142dbf12b",18,1,TRUE
"a7a343c08c654baa7908caca1f89841f",23,1,TRUE
"69334a62e82ef9e1e555cf246bb9940d",21,1,TRUE
"610a9b4b36ae835d014d8287d08c9a79",17,3,TRUE
"b94676c08bb7d1a0de7b2e8705a2ebd6",41,5,TRUE
"ceb40c00099d1e91cc7eb67d30a3e8c1",11,1,TRUE
"2d73384f30dd88c022af9485bdf0ad33",40,2,TRUE
"df8d5dd747f249b1a79fd5503aa8d9df",17,1,TRUE
"bc90b620ef5b2f5af6e3c9c4f3774c23",16,1,TRUE
"1630904b0ad32ae23dfa99f8611af802",23,1,TRUE
"ec1914e3b25a0760ed684fcc8dbc70cb",22,1,TRUE
"9756ab2e8cb31a2935f1fd2c450e9846",23,1,TRUE
"eaa11dd450f4d091fb44df9c6005d14d",18,1,TRUE
"7f7759254d2ef1af07d8cbe9eb7f7b78",13,1,TRUE
"e722bc7384171e69d0f374f15c3281e1",41,2,TRUE
