sampleid	Sample_Name	Feature_count	Condition	Field	Root_weight	GPSN	GPSW	Severity_plant	Severity_leaf	Nodules	Comments	Batch	Sample_or_control
NS.1671.002.FLD_ill_120_i7...IDT_i5_5.blank1_16S_L001_R1_001.fastq.gz	blank1	6616	Blank	NA	NA	NA	NA	NA	NA	NA	NA	1	Control
NS.1671.002.FLD_ill_022_i7...IDT_i5_4.blank10_16S_L001_R1_001.fastq.gz	blank10	913	Blank	NA	NA	NA	NA	NA	NA	NA	NA	10	Control
NS.1671.002.FLD_ill_047_i7...IDT_i5_7.blank11_16S_L001_R1_001.fastq.gz	blank11	3206	Blank	NA	NA	NA	NA	NA	NA	NA	NA	11	Control
NS.1671.002.FLD_ill_071_i7...IDT_i5_10.blank12_16S_L001_R1_001.fastq.gz	blank12	3873	Blank	NA	NA	NA	NA	NA	NA	NA	NA	12	Control
NS.1671.002.FLD_ill_095_i7...IDT_i5_1.blank13_16S_L001_R1_001.fastq.gz	blank13	1087	Blank	NA	NA	NA	NA	NA	NA	NA	NA	13	Control
NS.1671.002.FLD_ill_144_i7...IDT_i5_8.blank2_16S_L001_R1_001.fastq.gz	blank2	6070	Blank	NA	NA	NA	NA	NA	NA	NA	NA	2	Control
NS.1671.002.FLD_ill_168_i7...IDT_i5_11.blank3_16S_L001_R1_001.fastq.gz	blank3	8291	Blank	NA	NA	NA	NA	NA	NA	NA	NA	3	Control
NS.1671.002.FLD_ill_192_i7...IDT_i5_2.blank4_16S_L001_R1_001.fastq.gz	blank4	88807	Blank	NA	NA	NA	NA	NA	NA	NA	NA	4	Control
NS.1671.002.FLD_ill_016_i7...IDT_i5_2.blank5_16S_L001_R1_001.fastq.gz	blank5	3438	Blank	NA	NA	NA	NA	NA	NA	NA	NA	5	Control
NS.1671.002.FLD_ill_034_i7...IDT_i5_5.blank6_16S_L001_R1_001.fastq.gz	blank6	6286	Blank	NA	NA	NA	NA	NA	NA	NA	NA	6	Control
NS.1671.002.FLD_ill_058_i7...IDT_i5_8.blank7_16S_L001_R1_001.fastq.gz	blank7	1550	Blank	NA	NA	NA	NA	NA	NA	NA	NA	7	Control
