"","ID","structural.zero..Healthy.","structural.zero..Infected."
"c43f0b0f6ce6c9927698fc85f369076c","c43f0b0f6ce6c9927698fc85f369076c",0,0
"0b71fbf2702679d24eb46d1a27f943e3","0b71fbf2702679d24eb46d1a27f943e3",0,0
"a4050e1eb380bf26b4f3457a328e0a42","a4050e1eb380bf26b4f3457a328e0a42",0,1
"030174e70c450584bbc3747edc20356c","030174e70c450584bbc3747edc20356c",0,0
"a05117c509e6aaf1ea35b2923fce133f","a05117c509e6aaf1ea35b2923fce133f",0,0
"ac8234d05394debc4da51b32c6ca34df","ac8234d05394debc4da51b32c6ca34df",0,0
"0b1d1119845da6b23a7f665cdeace7d2","0b1d1119845da6b23a7f665cdeace7d2",0,0
"d1c82034e8f89e5c1a848af71a5688d6","d1c82034e8f89e5c1a848af71a5688d6",1,0
"d8bb06a7df60d426737787df83322059","d8bb06a7df60d426737787df83322059",0,0
"4da322815b8ba1ff89be16a3ab70f155","4da322815b8ba1ff89be16a3ab70f155",0,0
"a202ebca9f43fa5461da4bfbc4b3e59d","a202ebca9f43fa5461da4bfbc4b3e59d",0,0
"22bf14ba7d96ffe2b5d7caa681eb3b3a","22bf14ba7d96ffe2b5d7caa681eb3b3a",0,0
"09bb70b6815c305297178513d6b198be","09bb70b6815c305297178513d6b198be",0,0
"a9e5f2f91b451f1ae94628343a3ca70f","a9e5f2f91b451f1ae94628343a3ca70f",0,0
"3e0cc877ffbbec1e698a30dfff8407d5","3e0cc877ffbbec1e698a30dfff8407d5",0,1
"c83d5c88d4c3b4fff52e5d806fbac33f","c83d5c88d4c3b4fff52e5d806fbac33f",0,0
"b5e31e0564b0f30ab2af9e61b1e9389c","b5e31e0564b0f30ab2af9e61b1e9389c",0,0
"ae96c231c18c5cb17ed4ad093b8d5c52","ae96c231c18c5cb17ed4ad093b8d5c52",0,0
"4a2739b3acd1eb053ab8838528cd30cf","4a2739b3acd1eb053ab8838528cd30cf",0,0
"37883c9eaead558bdd7be3006224b111","37883c9eaead558bdd7be3006224b111",0,0
"38231a7186f8af3aac3c528c479dc389","38231a7186f8af3aac3c528c479dc389",0,0
