"","taxon","mean;difference (Infected - Healthy)","se (Infected - Healthy)","W","p;val","q;val","diff;abn"
"c43f0b0f6ce6c9927698fc85f369076c","c43f0b0f6ce6c9927698fc85f369076c"," 0;0238515649","0;23951087"," 0;0995844772","0;920674217984","0;997926688","FALSE"
"0b71fbf2702679d24eb46d1a27f943e3","0b71fbf2702679d24eb46d1a27f943e3","-0;2907564730","0;37287460","-0;7797701145","0;435526200199","0;981194343","FALSE"
"030174e70c450584bbc3747edc20356c","030174e70c450584bbc3747edc20356c","-0;7827217628","0;30666072","-2;5524030883","0;010698266730","0;312772911","FALSE"
"a05117c509e6aaf1ea35b2923fce133f","a05117c509e6aaf1ea35b2923fce133f","-0;2392847651","0;29716570","-0;8052233707","0;420690792429","0;981194343","FALSE"
"ac8234d05394debc4da51b32c6ca34df","ac8234d05394debc4da51b32c6ca34df"," 0;0121188819","0;47129385"," 0;0257140675","0;979485403336","0;997926688","FALSE"
"d8bb06a7df60d426737787df83322059","d8bb06a7df60d426737787df83322059","-0;1535457670","0;18635678","-0;8239344238","0;409976819432","0;981194343","FALSE"
"4da322815b8ba1ff89be16a3ab70f155","4da322815b8ba1ff89be16a3ab70f155","-0;1894152298","0;35771582","-0;5295131470","0;596449526800","0;997240708","FALSE"
"a202ebca9f43fa5461da4bfbc4b3e59d","a202ebca9f43fa5461da4bfbc4b3e59d"," 0;0918013762","0;19140559"," 0;4796170099","0;631499748904","0;997240708","FALSE"
"22bf14ba7d96ffe2b5d7caa681eb3b3a","22bf14ba7d96ffe2b5d7caa681eb3b3a","-0;1959093904","0;34880451","-0;5616595685","0;574347986372","0;997240708","FALSE"
"09bb70b6815c305297178513d6b198be","09bb70b6815c305297178513d6b198be"," 0;4263973778","0;30925588"," 1;3787850138","0;167961048601","0;835600380","FALSE"
"a9e5f2f91b451f1ae94628343a3ca70f","a9e5f2f91b451f1ae94628343a3ca70f"," 0;0083903976","0;21076030"," 0;0398101430","0;968244489735","0;997926688","FALSE"
"c83d5c88d4c3b4fff52e5d806fbac33f","c83d5c88d4c3b4fff52e5d806fbac33f"," 0;1838593233","0;25224951"," 0;7288788075","0;466075799309","0;981194343","FALSE"
"b5e31e0564b0f30ab2af9e61b1e9389c","b5e31e0564b0f30ab2af9e61b1e9389c","-0;9938869135","0;29619458","-3;3555202704","0;000792158509","0;084651697","FALSE"
"ae96c231c18c5cb17ed4ad093b8d5c52","ae96c231c18c5cb17ed4ad093b8d5c52"," 0;2147933951","0;34785474"," 0;6174801416","0;536918075722","0;996352764","FALSE"
"4a2739b3acd1eb053ab8838528cd30cf","4a2739b3acd1eb053ab8838528cd30cf","-0;1459132482","0;37757222","-0;3864512253","0;699162518686","0;997240708","FALSE"
"37883c9eaead558bdd7be3006224b111","37883c9eaead558bdd7be3006224b111"," 0;1400641433","0;39082054"," 0;3583848083","0;720055358855","0;997240708","FALSE"
"38231a7186f8af3aac3c528c479dc389","38231a7186f8af3aac3c528c479dc389","-0;6456107509","0;35732981","-1;8067643300","0;070799032562","0;660862054","FALSE"
"3cd569c2845d64d49e718bf0f51f40cf","3cd569c2845d64d49e718bf0f51f40cf","-0;1264601419","0;27384324","-0;4617975665","0;644226496194","0;997240708","FALSE"
"80837c53563c6967cc81306e11df9838","80837c53563c6967cc81306e11df9838"," 0;6796053000","0;37865945"," 1;7947665197","0;072690907183","0;664510682","FALSE"
"2c086881266f4b9314ffda3b7fc89acc","2c086881266f4b9314ffda3b7fc89acc"," 0;1535054003","0;31557334"," 0;4864333664","0;626659938308","0;997240708","FALSE"
