"","average","sd","ratio","ava","avb","cumsum","p","padj"
"c7b464a3ec12b70a836aba7a5a00d0ad",0;0517902789374413,0;0610754612435115,0;847971965875958,0;0653166592432241,0;115189822341244,0;0844648080914441,0;066,0;793723107569721
"917f430f3e5287364bb26f11e9e28af4",0;0157027087260598,0;0136975744388814,1;14638608434839,0;0304402857113085,0;0380757950478294,0;110074368539353,0;203,0;890725501113586
"c032c09a505693009ccdd604646c0c75",0;0150585818789826,0;0201771289106217,0;746319357213175,0;0312776436443889,0;0256930018650671,0;134633421987857,0;286,0;905938959660297
"cc06fd3b8a4060a0a9b143b67440332f",0;0102015232923064,0;0162359143656173,0;628330690996385,0;0031690037083072,0;0210798274413975,0;151271094632291,0;008,0;421026548672566
"aa78e7b32ebae83f1f83f828c843feed",0;0100633419605639,0;014302072218099,0;703628244012708,0;00386226332446201,0;0219802469357761,0;167683407230266,0;001,0;258565217391304
"45379022879ddfb128693484004bb82d",0;00478879274340792,0;00785779405357501,0;609432203333097,0;00898608363544337,0;00489730269325887,0;175493453214962,0;22,0;890725501113586
"6710169f0a78d6963eb957666faa6f9e",0;00469676321651622,0;0129133532118598,0;363713679898622,0;000774114175131963,0;00962422816086634,0;183153408169312,0;054,0;753845070422535
"bbc52ecf29f12fbb93c09da1ee624f78",0;00446236795730346,0;00404568387686996,1;10299472057512,0;0111881237798351,0;0142898381921366,0;190431087704545,0;436,0;94732601299103
"e8c056b04da8c7a1620dbfc8b9a4c626",0;00411227759077347,0;0117919597641781,0;348735721034756,0;00421258385559507,0;00484185625291433,0;197137804575929,0;777,1
"7f7fb1d4262f8ac0ec086d26b46ae819",0;00364053852116811,0;00671809768494704,0;541900206263048,0;00394559117164957,0;0083495571862614,0;203075161814561,0;317,0;935582630272953
"7de317a40dd2edbe0d93b2d915cf7f8c",0;00344462129826297,0;00314072042182841,1;09676151825626,0;00898650341712735,0;0042301910289595,0;208692997494823,0;003,0;318589285714286
"b0b2e87aa1ff3b73ccc246a78e29390f",0;00314238530155769,0;00514952616417963,0;61022804843993,0;00577416063274744,0;00199053379007576,0;21381791624195,0;063,0;78876
"6a4e1673de6c39f133ffc855d363a076",0;00296062260428797,0;00652402520895477,0;45380306014518,0;00536803573449594,0;000896602761950537,0;218646398058093,0;052,0;750592233009709
"a8b6f4d37a6d9d2a09eac583e2639adc",0;00286713288342495,0;00305930929822229,0;937183071058225,0;00703584971169538,0;00229459538724276,0;223322407412352,0;001,0;258565217391304
"4ca08ec0d6761aeb9d3c44e5763e42af",0;00280770964705273,0;00441930029207037,0;635329002668286,0;000691949068401624,0;00579002799865219,0;227901503362023,0;003,0;318589285714286
"19a781246ffe8af93fa424f173156459",0;00272489691524518,0;00340174189025615,0;801029885027518,0;00611761394777112,0;00114669179496427,0;232345539959956,0;001,0;258565217391304
"d22c8d80f6f971974e9ec29b91f9a8ff",0;00262280293806312,0;00605283256938123,0;433318270082472,0;000239501281494441,0;00529065324395615,0;236623071407369,0;003,0;318589285714286
"9fb7493f0e30ebc519e54aaac312d03a",0;00260190976643307,0;0114289578995975,0;227659405983524,0;00440215777606544,0;000880065543297562,0;240866528164157,0;394,0;94732601299103
"c6aff154bd68a14d36c7817b98c32b49",0;00252722264508537,0;00258733835129391,0;976765425295661,0;00350419535896102,0;007234970807171,0;244988177633922,0;005,0;358253012048193
"84f4c96f9512fcaf82a426f937b83fa4",0;00235895223743518,0;00293156870560702,0;80467233564179,0;00316794792287553,0;00376343155806193,0;248835394758829,0;315,0;933385650224215
"bb3d4ad27dcb75f21c9d232b683da879",0;00227759369700548,0;00165660027578519,1;3748601459854,0;00803201350600487,0;00594828198758258,0;2525499241739,0;026,0;633696721311475
"aad6c49abbd36a6cb1be843c334533ae",0;00225238580211983,0;00228358848344023,0;986336118986994,0;00417131948708859,0;00351598521769038,0;256223342012675,0;796,1
"db8552ec57994b474025d1f081008cb2",0;00224283683434214,0;00275542612992822,0;813970953523825,0;0045721462275904,0;00405040096569007,0;259881186432126,0;412,0;94732601299103
"3987f04305f66790cf5390f5a0418c29",0;00212645821261908,0;00234805610685578,0;90562495777265,0;00507320921821847,0;00494739309368186,0;263349228862643,0;131,0;851428415300546
"825b31824070ac279ba4792a7b5bf57c",0;0020609576657179,0;0042754169236366,0;482048348156157,0;00113727935320918,0;00368711730368082,0;266710446397882,0;436,0;94732601299103
"eb9fbb77997c441505926bd7a4b090c1",0;00176129277882081,0;00352933949587823,0;499043172490987,0;00189357732609074,0;00432739000161855,0;269582940225066,0;078,0;823114186851211
"57e45e1a4cca36765103a43cbea312a1",0;00156923271909054,0;0052243793439912,0;300367300260344,0;00102304823128229,0;00257403526881488,0;272142203144444,0;73,1
"1aec68e175b364035a76cc7b727ed8f1",0;00146012497949919,0;00109890602356444,1;32870777681525,0;00492258548672408,0;00511538019757831,0;274523522162476,0;775,1
"b837acad5018efbd5b5e1439b756ba9d",0;00142148074023173,0;00126862479293964,1;1204894844739,0;00398350649028638,0;00437002850951159,0;276841816259219,0;929,1
"cd68cca6aced0549f580ad2b2fdbdaee",0;00141233819763358,0;0010638527515489,1;32756924826045,0;00418854801473163,0;00511571634610163,0;279145199775794,0;262,0;890725501113586
