"","cnth","unobh","cntd","unobd","fisher_p_both","padj"
"0004276b152c892ebc666f7270a5d0ae",14,16,14,16,1,1
"000708962306e4b5de0877c332929813",10,20,5,25,0;232598470393837,1
"0007347862927683dfa9de8b1460ce92",10,20,16,14,0;192316886243639,1
"00087f2618e5da649e1d3b783adf4dd1",3,27,4,26,1,1
"0025d8e1fb8e446593e2d948182f545f",4,26,2,28,0;670748519990268,1
"0028e01743d647dceae841f1b8cf952b",5,25,4,26,1,1
"00302fa1f841da5a81ad09be76ca7c3f",4,26,3,27,1,1
"003125fbbb99d118c37e694c70f19297",10,20,12,18,0;789170351739782,1
"003302e0628aeccd0e4742e8f409b4ea",10,20,8,22,0;778715677094583,1
"00402a1b53052da169b53cf33513c496",30,0,28,2,0;491525423728814,1
"004852195e450fc2391c67efd48f2f33",3,27,2,28,1,1
"005eb7fc04c6aab9b026e84bd49cd567",0,30,1,29,1,1
"00608a56499c76b2ce7bd30041785c6c",1,29,1,29,1,1
"00636261b2c2829ba5630c127adc4251",1,29,1,29,1,1
"0063d20b9365b0623c9c60fd2ce1adaf",5,25,2,28,0;42380990998297,1
"0066fe795883e9a1690a968ff491cc9c",12,18,11,19,1,1
"0070d76015d2a0fa8aabf7b1f36e0dbb",11,19,9,21,0;784652573562777,1
"0079cb6efa8f91a9a96ccff40c9c190e",2,28,4,26,0;670748519990268,1
"007f6f64250509effa016dac479b5e74",8,22,9,21,1,1
"008895443d9b78e5d80d89887c7415c2",4,26,3,27,1,1
"0096a1d980072a26847a56ec1e66bc98",3,27,1,29,0;611953612845674,1
"009ee35c00fa3f10643ce26a819b6258",12,18,9,21,0;588882185892575,1
"00a407bf5ced685c1e6d768471c412c3",1,29,0,30,1,1
"00b5ced2d56bde827ffed4bc7cf926f9",6,24,8,22,0;761068496728027,1
"00b7234765b6e2735aaeb08f7bbe5f87",9,21,12,18,0;588882185892575,1
"00c2039c76ec1ab418bed415481fee19",4,26,3,27,1,1
"00c30f0b77058958057353b36eae3b17",0,30,1,29,1,1
"00c8d1c8dd9832a2e9bf9ae7a0a04473",3,27,5,25,0;706469199425287,1
"00cd3c98e49c833ce4627c1a330b075d",24,6,20,10,0;38165411884707,1
"00d313638e903c510d1d28046dce5b52",13,17,13,17,1,1
"00d5fd789e7744134cfafd38ae4319fb",3,27,3,27,1,1
"00dfb76300edb9f88ba7e2572813f3ed",23,7,16,14,0;103335117172073,1
"00e7f31dd37ced43d2e12d9c9c047955",14,16,14,16,1,1
"00f6c1dd186ebce467b84e4876ffa9d0",8,22,7,23,1,1
"00fa7e0d0e90df8036942a972279a47a",2,28,0,30,0;491525423728814,1
"01065651b9722d413f76780e003cc9ad",24,6,25,5,1,1
"01079edac71920706cf7ad62d92c0b41",5,25,4,26,1,1
"01214955c71181efa482abdd4998fac2",6,24,2,28,0;25421433631758,1
"0122dff4494d6d1d8a9c4442beea16c1",30,0,28,2,0;491525423728814,1
"012a53ebe302289439c1aedd521f4620",2,28,0,30,0;491525423728814,1
"013475ada5f4ae55f8efaeed16a6f703",6,24,7,23,1,1
"0139e0981f7d63894b7758b2fb159a90",11,19,17,13,0;195356224551557,1
"014f67c7e91c68c99c5046b25429c9c0",12,18,12,18,1,1
"017448f9922bf9770289ccecb01deb43",0,30,3,27,0;23728813559322,1
"0181d637a1744a04ab947bb23f009557",1,29,1,29,1,1
"0188a0e417279ddf786e1469bfca9960",0,30,1,29,1,1
"018fa05c2ec3408d8abe4a5e30396892",1,29,4,26,0;353256021409456,1
"0191c4275cb0e64769aa172c6db55c07",14,16,15,15,1,1
"01998f2dc0c7c7ef6a264a0a50e1dd55",2,28,2,28,1,1
"01a2eb53044bfcc09fb5ec7e5842c5d5",3,27,4,26,1,1
"01afa3632bdc5c23cf313be972de6046",20,10,18,12,0;789170351739782,1
"01b3a8ddaf7029d66ccaf0e5769c0841",9,21,12,18,0;588882185892575,1
"01b3c870a41c651cb4c94e393aef37e5",12,18,12,18,1,1
"01b5225878865b91a190a4882549ec2e",30,0,26,4,0;112399643175736,1
"01b8c2a6b83647c069fb02c418e47465",8,22,9,21,1,1
"01cd36d86cbb2d3abebbb9258a0a86ca",4,26,7,23,0;506177594327247,1
"01eea946b194327d77977babcef5c9af",20,10,22,8,0;778715677094583,1
"01f23f6a9fe3327a04cde425a1011c0c",8,22,8,22,1,1
"01f856d466d5176ef0445b647163811f",5,25,2,28,0;42380990998297,1
"01fb9882985b9d4dcb8829c9436c44af",1,29,2,28,1,1
"01fd93ea2ede51ae2f09617f4ab401bd",9,21,8,22,1,1
"02149a65a8ee2a93ed3e0a2d99f45841",13,17,13,17,1,1
"022c6aa00ab4dd12ae5e993818f489ca",6,24,3,27,0;471644558965516,1
"022d80a84eab6bec9151e73b3ec71040",14,16,11,19,0;600950466520637,1
"022f57de4afb55022de16633bdac83d3",14,16,11,19,0;600950466520637,1
"0234f49e2f04e95e6b3ee10104ba728f",1,29,1,29,1,1
"023d740e5bf0375dfe24faf72549b220",7,23,11,19,0;398508976829821,1
