"","average","sd","ratio","ava","avb","cumsum","p","padj"
"c7b464a3ec12b70a836aba7a5a00d0ad",0;0367605613454052,0;0352445460125694,1;04301418245805,0;0891055394987347,0;0769629034641598,0;0653208651327076,0;752,1
"aa78e7b32ebae83f1f83f828c843feed",0;013423820142681,0;0353506123026976,0;379733737784694,0;0218608183001544,0;013050688965048,0;0891740249598055,0;872,1
"cc06fd3b8a4060a0a9b143b67440332f",0;00940986857346444,0;0235960841884869,0;398789413459363,0;0191024311788978,0;00451830922186779,0;105894682466321,0;038,1
"917f430f3e5287364bb26f11e9e28af4",0;00897392011909898,0;00908416701353954,0;987863841090081,0;0211166194280355,0;0161732280533139,0;121840691024338,0;554,1
"c032c09a505693009ccdd604646c0c75",0;00801052523247084,0;00796306450827462,1;00596010796433,0;0201931511457921,0;024698671282634,0;136074816380473,0;395,1
"9ed1f25f7f3a02c1e58a1b68b237cb9f",0;00488794651077595,0;0137283375480377,0;356047955090863,0;00625018643622506,0;00433892539077392,0;144760344651009,0;639,1
"45379022879ddfb128693484004bb82d",0;00445968865258917,0;00453844449832435,0;982646951887534,0;0105595498737511,0;0119928974686289,0;152684889607558,0;653,1
"1f610dfe8a4f7cc60d971ed834128a0b",0;00334694403634403,0;00274872914207,1;21763326372111,0;0106627594543154,0;013068748176464,0;158632167668699,0;188,1
"8672475e707b21eb0e084329e98ad6d4",0;0031982645143501,0;00944300671336867,0;338691331207278,0;00503589192314015,0;00167958300833119,0;164315252946903,0;51,1
"28c10dce1d3243bcc6bf510e1aee5730",0;00305324420180291,0;00336693063914584,0;906833115688269,0;00192678394089791,0;00703218897986714,0;169740647593335,0;001,0;978333333333333
"b0b2e87aa1ff3b73ccc246a78e29390f",0;00257311472070026,0;00276390566821298,0;930970528514427,0;00578494732526411,0;00676756787962887,0;174312886794542,0;477,1
"34d5297863714241e968eb0f00c5390a",0;00238177115003919,0;00308816869028255,0;771256815579357,0;00120463300796975,0;00484666150358525,0;178545122276662,0;004,1
"6710169f0a78d6963eb957666faa6f9e",0;00233173155156136,0;00336536210928801,0;692862008853685,0;00459951180735803,0;00203389460483373,0;182688441002786,0;111,1
"c6aff154bd68a14d36c7817b98c32b49",0;00224458017728957,0;00232308088597557,0;96620836185261,0;00334584848265261,0;00540117632259727,0;186676898025045,0;015,1
"34cb22587871bb8c09901fe627a85e2e",0;00218068890469782,0;00361377723094016,0;60343755725377,0;00215649274749916,0;00317105714204027,0;190551824865844,0;373,1
"19a781246ffe8af93fa424f173156459",0;00207361234398654,0;00165210661717736,1;25513227925285,0;00429061535490615,0;00466575786069168,0;194236484384135,0;229,1
"4c03903dc8253da0d623a494dfa9278e",0;00203955925281193,0;00570911705425068,0;357246003792021,0;00351162018407482,0;00106221540304034,0;197860634016435,0;471,1
"84f4c96f9512fcaf82a426f937b83fa4",0;00170038438176603,0;00144749666723419,1;17470694078699,0;00815553496179007,0;00703848256705257,0;200882094375309,0;273,1
"7de317a40dd2edbe0d93b2d915cf7f8c",0;00167674514231369,0;00157788041118659,1;06265666930534,0;00332127724989025,0;00334008075853768,0;203861549511314,0;841,1
"cd68cca6aced0549f580ad2b2fdbdaee",0;00166142367009109,0;00130010163324208,1;27791830085466,0;00639051425916864,0;00618903050656476,0;206813779496667,0;901,1
"835540a7ad121ca505a0f177722eb244",0;00164962609122606,0;00214430592716446,0;769305382374919,0;00203143501085074,0;00231189957923613,0;209745046035605,0;893,1
"a8b6f4d37a6d9d2a09eac583e2639adc",0;00154215404511425,0;00191418286144809,0;805646146025775,0;00140441519808391,0;00292476745669389,0;212485342503014,0;096,1
"03c4a4f510cf1cbf5f4898e0c2eb5209",0;00149465769605033,0;00106624293433099,1;4017984531716,0;00443576464071631,0;00575340511109839,0;215141241385131,0;047,1
"e8c056b04da8c7a1620dbfc8b9a4c626",0;00146599290501269,0;0032242822795809,0;454672630339068,0;0027795418359818,0;000789919710637364,0;21774620500182,0;067,1
"ec25b5a6ba907a4447e44dce517000e1",0;00143785160706017,0;00121010835831204,1;18820070713817,0;00215877757487616,0;00272301128893406,0;220301163562521,0;361,1
