sampleid	Sample_Name	Feature_count	Condition	Field	Root_weight	GPSN	GPSW	Severity_plant	Severity_leaf	Nodules	Comments	Batch	Sample_or_control
F1H10	F1H10	106581	Healthy	1	8,889475	37,652203	-87,94332	NA	NA	Unknown	NA	10	Sample
F1H11	F1H11	82418	Healthy	1	7,782175	37,652203	-87,94332	NA	NA	Unknown	NA	9	Sample
F1H12	F1H12	82101	Healthy	1	15,539375	37,652139	-87,943053	NA	NA	Yes	NA	2	Sample
F1H13	F1H13	55559	Healthy	1	4,715475	37,652139	-87,943053	NA	NA	Unknown	NA	7	Sample
F1H14	F1H14	96995	Healthy	1	18,596375	37,652333	-87,94305	NA	NA	Yes	NA	3	Sample
F1H15	F1H15	59729	Healthy	1	11,479275	37,652333	-87,94305	NA	NA	Unknown	NA	11	Sample
F1H16	F1H16	56031	Healthy	1	4,675075	37,652333	-87,94305	NA	NA	Unknown	NA	7	Sample
F1H17	F1H17	89900	Healthy	1	17,595875	37,652333	-87,94305	NA	NA	Yes	NA	2	Sample
F1H18	F1H18	48168	Healthy	1	8,002875	37,652333	-87,94305	NA	NA	Unknown	NA	8	Sample
F1H19	F1H19	62116	Healthy	1	18,857775	37,652263	-87,942768	NA	NA	Yes	NA	2	Sample
F1H2	F1H2	75653	Healthy	1	4,252075	37,652203	-87,94332	NA	NA	Unknown	NA	11	Sample
F1H20	F1H20	90450	Healthy	1	16,856875	37,652263	-87,942768	NA	NA	Yes	NA	2	Sample
F1H21	F1H21	66998	Healthy	1	10,786975	37,652158	-87,941629	NA	NA	Unknown	NA	7	Sample
F1H22	F1H22	72687	Healthy	1	9,663075	37,652158	-87,941629	NA	NA	Unknown	NA	8	Sample
F1H23	F1H23	93617	Healthy	1	15,229375	37,652158	-87,941629	NA	NA	Yes	NA	3	Sample
F1H24	F1H24	50300	Healthy	1	11,017075	37,652158	-87,941629	NA	NA	Unknown	NA	8	Sample
F1H25	F1H25	51728	Healthy	1	10,362975	37,652182	-87,940915	NA	NA	Unknown	Feces	7	Sample
F1H26	F1H26	91340	Healthy	1	15,065975	37,652182	-87,940915	NA	NA	Yes	Feces	3	Sample
F1H27	F1H27	84114	Healthy	1	7,486575	37,652182	-87,940915	NA	NA	Unknown	NA	13	Sample
F1H28	F1H28	92438	Healthy	1	10,271275	37,652005	-87,940043	NA	NA	Unknown	NA	1	Sample
F1H29	F1H29	91412	Healthy	1	16,424175	37,652054	-87,939619	NA	NA	Yes	NA	2	Sample
F1H3	F1H3	50944	Healthy	1	6,017475	37,652203	-87,94332	NA	NA	Unknown	NA	8	Sample
F1H30	F1H30	79817	Healthy	1	7,663475	37,652202	-87,940276	NA	NA	Unknown	Mushrooms	7	Sample
F1H4	F1H4	96005	Healthy	1	4,414275	37,652203	-87,94332	NA	NA	Unknown	NA	11	Sample
F1H5	F1H5	69339	Healthy	1	10,108575	37,652203	-87,94332	NA	NA	Unknown	NA	11	Sample
F1H6	F1H6	92605	Healthy	1	3,981275	37,652203	-87,94332	NA	NA	Unknown	NA	1	Sample
F1H7	F1H7	84702	Healthy	1	4,372475	37,652203	-87,94332	NA	NA	Unknown	NA	10	Sample
F1H8	F1H8	93350	Healthy	1	9,780275	37,652203	-87,94332	NA	NA	Unknown	NA	10	Sample
F1H9	F1H9	74595	Healthy	1	10,641875	37,652203	-87,94332	NA	NA	Unknown	NA	11	Sample
F2H1	F2H1	66958	Healthy	2	3,851575	37,736775	-87,945451	NA	NA	Unknown	NA	7	Sample
F2H10	F2H10	87512	Healthy	2	7,211775	37,735598	-87,946161	NA	NA	Unknown	Intertwined	5	Sample
F2H11	F2H11	63340	Healthy	2	9,344875	37,736278	-87,947569	NA	NA	Unknown	NA	8	Sample
