"","ID","structural.zero..Healthy.","structural.zero..Infected."
"6a29be087f3bef324a0738b50789aad4","6a29be087f3bef324a0738b50789aad4",0,0
"0b71fbf2702679d24eb46d1a27f943e3","0b71fbf2702679d24eb46d1a27f943e3",0,0
"a4050e1eb380bf26b4f3457a328e0a42","a4050e1eb380bf26b4f3457a328e0a42",0,0
"1c91f67c19fc362b767c850bb7b5580f","1c91f67c19fc362b767c850bb7b5580f",0,0
"030174e70c450584bbc3747edc20356c","030174e70c450584bbc3747edc20356c",0,0
"a05117c509e6aaf1ea35b2923fce133f","a05117c509e6aaf1ea35b2923fce133f",0,0
"ac8234d05394debc4da51b32c6ca34df","ac8234d05394debc4da51b32c6ca34df",0,0
"d1c82034e8f89e5c1a848af71a5688d6","d1c82034e8f89e5c1a848af71a5688d6",0,0
"d8bb06a7df60d426737787df83322059","d8bb06a7df60d426737787df83322059",0,0
"ad9800c670db0e6e724765a2ec559b75","ad9800c670db0e6e724765a2ec559b75",0,0
"22bf14ba7d96ffe2b5d7caa681eb3b3a","22bf14ba7d96ffe2b5d7caa681eb3b3a",0,0
"a9e5f2f91b451f1ae94628343a3ca70f","a9e5f2f91b451f1ae94628343a3ca70f",0,0
"9c7cd4b8af8d381bbd57eabf3fb6d80c","9c7cd4b8af8d381bbd57eabf3fb6d80c",0,0
"4a2739b3acd1eb053ab8838528cd30cf","4a2739b3acd1eb053ab8838528cd30cf",0,0
"180b2c6eb80fcb7741e16b0221a32066","180b2c6eb80fcb7741e16b0221a32066",0,0
"37883c9eaead558bdd7be3006224b111","37883c9eaead558bdd7be3006224b111",0,0
"3cd569c2845d64d49e718bf0f51f40cf","3cd569c2845d64d49e718bf0f51f40cf",0,0
"80837c53563c6967cc81306e11df9838","80837c53563c6967cc81306e11df9838",0,0
"eecae9d67648963cda48064adc0cffae","eecae9d67648963cda48064adc0cffae",0,0
"479eaec6570aa41ac1a9803b338eafec","479eaec6570aa41ac1a9803b338eafec",0,0
"14ffdd2a3162d5cdc6788770a53b95b7","14ffdd2a3162d5cdc6788770a53b95b7",0,0
"2c086881266f4b9314ffda3b7fc89acc","2c086881266f4b9314ffda3b7fc89acc",0,0
"e5b6c9506f2be294e352cc69e34409d7","e5b6c9506f2be294e352cc69e34409d7",0,0
"efb38024b5809c80f6a448338c25b324","efb38024b5809c80f6a448338c25b324",0,0
"eadd3b510ccc0c5a6443d08687a0bf7e","eadd3b510ccc0c5a6443d08687a0bf7e",0,0
"abe74228e1f3f83e6d1e8adebeeb48ac","abe74228e1f3f83e6d1e8adebeeb48ac",0,0
"50761adbbe9ebf60a1b6d0bf64de893b","50761adbbe9ebf60a1b6d0bf64de893b",0,0
"77f94cfb07fddf148eccc2db4457223d","77f94cfb07fddf148eccc2db4457223d",0,0
"ee64a599c00b057f67feb4af4f7aa1f7","ee64a599c00b057f67feb4af4f7aa1f7",0,0
"0a7dccd640f53aeb41557705c14b6933","0a7dccd640f53aeb41557705c14b6933",0,0
"0518de9a345f49ce11f09b317c356545","0518de9a345f49ce11f09b317c356545",0,0
"d076b9fc2d7c82cabae0784de6e1d37c","d076b9fc2d7c82cabae0784de6e1d37c",0,0
"865206fbb45f7791076eb6603d446d20","865206fbb45f7791076eb6603d446d20",0,0
