"","taxon","mean;difference (Infected - Healthy)","se (Infected - Healthy)","W","p;val","q;val","diff;abn"
"c43f0b0f6ce6c9927698fc85f369076c","c43f0b0f6ce6c9927698fc85f369076c"," 0;2734759061","0;26135246"," 1;0463873463","0;29538223250","0;99933274","FALSE"
"0b71fbf2702679d24eb46d1a27f943e3","0b71fbf2702679d24eb46d1a27f943e3"," 0;0245283925","0;34276047"," 0;0715613219","0;94295102179","0;99933274","FALSE"
"a05117c509e6aaf1ea35b2923fce133f","a05117c509e6aaf1ea35b2923fce133f","-0;3180434992","0;34745681","-0;9153468623","0;36000956485","0;99933274","FALSE"
"0b1d1119845da6b23a7f665cdeace7d2","0b1d1119845da6b23a7f665cdeace7d2"," 0;2999415851","0;35557842"," 0;8435314601","0;39893127860","0;99933274","FALSE"
"0f6143a2ac559b627ec43ce9259ed296","0f6143a2ac559b627ec43ce9259ed296","-0;1764643887","0;26458136","-0;6669570017","0;50479959913","0;99933274","FALSE"
"7d12ce0be13a684e9f8b914e62166dd1","7d12ce0be13a684e9f8b914e62166dd1","-0;1355686925","0;48943028","-0;2769928605","0;78178558822","0;99933274","FALSE"
"d8bb06a7df60d426737787df83322059","d8bb06a7df60d426737787df83322059"," 0;1976034403","0;20977988"," 0;9419561215","0;34621510520","0;99933274","FALSE"
"a202ebca9f43fa5461da4bfbc4b3e59d","a202ebca9f43fa5461da4bfbc4b3e59d"," 0;1109319748","0;17096444"," 0;6488599285","0;51642891757","0;99933274","FALSE"
"d27247b8890de4eb04da833a2072efb4","d27247b8890de4eb04da833a2072efb4"," 0;0588040066","0;18892555"," 0;3112549188","0;75560683584","0;99933274","FALSE"
"22bf14ba7d96ffe2b5d7caa681eb3b3a","22bf14ba7d96ffe2b5d7caa681eb3b3a"," 0;0023542787","0;47885295"," 0;0049164963","0;99607721933","0;99962037","FALSE"
"d02d5dba8f5b36561009dc2570bb4869","d02d5dba8f5b36561009dc2570bb4869","-0;3678819650","0;33317302","-1;1041769485","0;26951638707","0;99933274","FALSE"
"b5e31e0564b0f30ab2af9e61b1e9389c","b5e31e0564b0f30ab2af9e61b1e9389c","-0;1046562313","0;27193826","-0;3848529125","0;70034639421","0;99933274","FALSE"
"ddc5ab37daaa3669f4483b5b856b175b","ddc5ab37daaa3669f4483b5b856b175b","-0;4745820904","0;33314427","-1;4245542435","0;15428609462","0;99933274","FALSE"
"4a2739b3acd1eb053ab8838528cd30cf","4a2739b3acd1eb053ab8838528cd30cf"," 0;4357872942","0;42019735"," 1;0371014733","0;29968856865","0;99933274","FALSE"
"37883c9eaead558bdd7be3006224b111","37883c9eaead558bdd7be3006224b111"," 0;6095479706","0;38637319"," 1;5776145706","0;11465418295","0;99933274","FALSE"
"38231a7186f8af3aac3c528c479dc389","38231a7186f8af3aac3c528c479dc389","-0;2446863477","0;49076435","-0;4985821566","0;61807377809","0;99933274","FALSE"
"3cd569c2845d64d49e718bf0f51f40cf","3cd569c2845d64d49e718bf0f51f40cf"," 0;6215271261","0;27600366"," 2;2518800066","0;02432985592","0;69111875","FALSE"
