"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"c43f0b0f6ce6c9927698fc85f369076c",2;57147937511593,0;433866195817254,0;452723581900441,0;967371221642291,0;333358491167042,0;999863537933897
"d5877514309e8ace22019751674c81d1",0;399659781612028,0;122563495518459,0;276795233183373,0;417173898842839,0;676551215219207,0;999863537933897
"6a29be087f3bef324a0738b50789aad4",0;103408010916576,-0;0527522222382393,0;25859310399342,-0;203997018573169,0;838355828757999,0;999863537933897
"0b71fbf2702679d24eb46d1a27f943e3",25;951958074703,-0;0962454279645181,0;365913745696512,-0;263049612246681,0;792512340137948,0;999863537933897
"a4050e1eb380bf26b4f3457a328e0a42",0,0,0,0,1,NA
"47b1c7e6965dafecab1a219f15ef8d35",1;82115531293674,-0;0427987164931252,0;383516854465075,-0;111507920853253,0;91121358484039,0;999863537933897
"1c91f67c19fc362b767c850bb7b5580f",0,0,0,0,1,NA
"030174e70c450584bbc3747edc20356c",2;22300477319919,0;224690109517032,0;382101908679764,0;598375384074266,0;549589486891619,0;999863537933897
"a05117c509e6aaf1ea35b2923fce133f",5;14927700540912,-0;26373411728271,0;455542673208348,-0;579356386319673,0;562348726036692,0;999863537933897
"ac8234d05394debc4da51b32c6ca34df",5;68252308685845,-0;0676417415799295,0;383294690043244,-0;176934967018331,0;859559472204916,0;999863537933897
"0b1d1119845da6b23a7f665cdeace7d2",9;67218405359373,0;560006173392569,0;446183228720607,1;25915529243457,0;207974246198704,0;999863537933897
"0f6143a2ac559b627ec43ce9259ed296",3;29077800006291,-0;225731071598177,0;423651834889755,-0;537570465523862,0;590873624788562,0;999863537933897
"d1c82034e8f89e5c1a848af71a5688d6",0;655569425501495,-0;0715681316586386,0;261836157952579,-0;974735555201962,0;329691451394229,0;999863537933897
"7d12ce0be13a684e9f8b914e62166dd1",13;4321096162243,-0;155710747868886,0;445699752274412,-0;349789791967354,0;726496460521248,0;999863537933897
"d8bb06a7df60d426737787df83322059",2;36828471875877,0;128395950955145,0;429208362872633,0;300277180348445,0;763965737999881,0;999863537933897
"a202ebca9f43fa5461da4bfbc4b3e59d",1;12845560169886,0;238717299429171,0;454582913100176,0;525647726110709,0;599132990008168,0;999863537933897
"d27247b8890de4eb04da833a2072efb4",1;01618486765996,0;0633515805834672,0;387926446158684,0;163871139809927,0;869832587030669,0;999863537933897
"ad9800c670db0e6e724765a2ec559b75",2;22331745726672,-0;0113754055094564,0;352750385988251,-0;0323184230346427,0;974218117421399,0;999863537933897
"22bf14ba7d96ffe2b5d7caa681eb3b3a",32;2073160392343,0;016856468310841,0;444181790950177,0;0379535740321073,0;969724697890082,0;999863537933897
"09bb70b6815c305297178513d6b198be",1;4932293912966,-0;300908088959688,0;409995454747765,-0;743847261246935,0;456968884294596,0;999863537933897
"a9e5f2f91b451f1ae94628343a3ca70f",2;38164685083522,-0;400873636017358,0;385886692639272,-1;10130403674514,0;270764354877352,0;999863537933897
"9c7cd4b8af8d381bbd57eabf3fb6d80c",1;76092935568553,0;0360324578108228,0;382616996861618,0;0943059742180516,0;924866104328469,0;999863537933897
"3e0cc877ffbbec1e698a30dfff8407d5",1;84065165383849,-0;133330180423945,0;382693686493753,-0;350805918584812,0;725733956669635,0;999863537933897
"d02d5dba8f5b36561009dc2570bb4869",3;77183015039548,-0;302592720536961,0;419181531231395,-0;729436328798901,0;465734802218911,0;999863537933897
"c83d5c88d4c3b4fff52e5d806fbac33f",1;04667988553132,0;00162360460942177,0;387464320754195,0;00417062458783552,0;996672332679432,0;999863537933897
"b5e31e0564b0f30ab2af9e61b1e9389c",2;5638006030773,-0;0516400469702575,0;411521540428268,-0;125548765172858,0;900089121388316,0;999863537933897
"ae96c231c18c5cb17ed4ad093b8d5c52",0;663064434529327,-0;276675947376286,0;350131149453221,-1;3981779021157,0;162059650895692,0;999863537933897
"ddc5ab37daaa3669f4483b5b856b175b",4;19942207812809,-0;426290968595784,0;420456703475088,-0;362272461688577,0;717148434910737,0;999863537933897
"4a2739b3acd1eb053ab8838528cd30cf",93;5250421220467,0;379065780459056,0;377636077332887,1;00382019444848,0;315465288710402,0;999863537933897
"180b2c6eb80fcb7741e16b0221a32066",0;50837494317521,-0;220649620061119,0;258817068662093,-0;847264719821186,0;396847586657958,0;999863537933897
"37883c9eaead558bdd7be3006224b111",9;41134191176424,0;519775546007327,0;447002556277606,1;16526943122663,0;243909948740792,0;999863537933897
"38231a7186f8af3aac3c528c479dc389",49;4896916653047,-0;433474036040962,0;426309550195318,-1;01731080023611,0;309005600371815,0;999863537933897
"3cd569c2845d64d49e718bf0f51f40cf",3;12078322102732,0;632306159222101,0;436666977107886,1;50520616589125,0;13227108043516,0;999863537933897
"80837c53563c6967cc81306e11df9838",9;52055977196829,0;10423973799302,0;445302978353363,0;233870110450194,0;81508581818032,0;999863537933897
"1413f231fe855c7e07d948fc8417451e",1;94043488183413,-0;357202797248339,0;339744534707933,0;260282039916797,0;794646225365194,0;999863537933897
"eecae9d67648963cda48064adc0cffae",0;652081312775362,0;0453877480866488,0;300348978232138,0;14129391193562,0;88763775893835,0;999863537933897
"479eaec6570aa41ac1a9803b338eafec",2;96261850746813,-0;212087546949041,0;454173935427959,-0;467922758364941,0;639839827829716,0;999863537933897
"14ffdd2a3162d5cdc6788770a53b95b7",0;0768894651070725,0;0199667577721349,0;259299745378066,0;0770026123358617,0;938621466796742,0;999863537933897
"2c086881266f4b9314ffda3b7fc89acc",3;56155033184556,-0;378641109460011,0;427072781390566,-0;901598905955052,0;367269972403197,0;999863537933897
"665b86b4801f25b4065fb892543274b0",2;06928669160875,-0;0257950815237936,0;414507299197002,-0;0622197844773878,0;950387807278978,0;999863537933897
"f2a7fe87a53801323a407fcd8d818041",14;6683903199935,-0;157177565684596,0;447731704549592,-0;351577734965741,0;725154965371001,0;999863537933897
"e5b6c9506f2be294e352cc69e34409d7",1;2536321409134,-0;011022471542192,0;440534199290915,-0;0249756320330123,0;980074400365147,0;999863537933897
"efb38024b5809c80f6a448338c25b324",10;046545359923,-0;13709892856648,0;442827834997925,-0;310114768838031,0;75647368163486,0;999863537933897
"eadd3b510ccc0c5a6443d08687a0bf7e",3;73761762246243,-0;0515603922402039,0;397654239229334,-0;129721690570836,0;896786620976669,0;999863537933897
"abe74228e1f3f83e6d1e8adebeeb48ac",1;30345210767091,-0;182586350331617,0;396183214947136,-0;466805851376962,0;640638789071439,0;999863537933897
"50761adbbe9ebf60a1b6d0bf64de893b",2;21983276446959,-0;146131208224769,0;442983833338242,-0;328979183375774,0;74217142234062,0;999863537933897
"77f94cfb07fddf148eccc2db4457223d",2;04560505570316,0;0753352103450624,0;455051075860596,0;166225371463631,0;867979593655871,0;999863537933897
"77e73d34a43c279888c04db2b05aed96",4;54649437325071,-0;222292855651498,0;447860920305746,-0;495644589847627,0;620145187231293,0;999863537933897
"ee64a599c00b057f67feb4af4f7aa1f7",14;1212449346561,-0;300512703339374,0;331229591764886,-0;907434934502299,0;364176842530598,0;999863537933897
"0a7dccd640f53aeb41557705c14b6933",7;96889437765112,0;730941197020812,0;394727382630559,1;07816816723078,0;280958715113109,0;999863537933897
"de06357461a2f4b6719dc6b177c2abae",3;64362123516174,-0;259627742025528,0;409301118789961,-0;641655830082127,0;52109667432304,0;999863537933897
"0518de9a345f49ce11f09b317c356545",0;115413028119001,0;0561458447011167,0;25859310399342,0;21951808282749,0;826246495302674,0;999863537933897
"689c44cf8243ad1733062422e13bb30c",8;58547310812382,-0;163500829320948,0;431943238294825,-0;378687741470822,0;704919757471447,0;999863537933897
"d076b9fc2d7c82cabae0784de6e1d37c",4;0939704573349,0;146906458826237,0;43359430580048,0;339234347888332,0;734433195874101,0;999863537933897
"865206fbb45f7791076eb6603d446d20",14;1245289262878,0;0348318619077631,0;418104152769127,0;0832936675424159,0;933618035368205,0;999863537933897
"6457ce7701f8545b420b4e827004ff57",2;13950317825355,0;274090880761786,0;436506831891501,0;628377629395341,0;529756588258288,0;999863537933897
"c6157a9943c8abfa7057fd44bcabaaa6",0;575340510543007,-0;102896098586227,0;299573553662165,-0;315085533514023,0;752696712099746,0;999863537933897
"b1efafea7a41654a9b9671490397936f",3;44613308819344,0;489057038287022,0;350578968323167,1;76231025839334,0;0780168916019421,0;999863537933897
"d6e9500411aeb7595d6cc34591322dc9",1;1863629469546,0;273813553337077,0;410827981024352,0;678738194593237,0;497303760842165,0;999863537933897
"14f8afb640ff016f60d4f6484c71bb4e",0;221003488920736,0;011206263618557,0;258599307809518,0;0440456684640576,0;964868000998175,0;999863537933897
"7853b29321816183d5cda073d5710b12",2;29532658146451,0;0346377084663253,0;414789243098297,0;0831477146473303,0;933734086366853,0;999863537933897
"04aa8ccb61a99c4f06baeeae81dcf3e8",7;63857417731808,-0;0522737133856355,0;450484560284569,-0;11610442909816,0;907569778643723,0;999863537933897
"6026a3c735407aee1c80bdca89f97a03",1;1069683720276,-0;293386968951503,0;455964831012994,-0;64206320736036,0;520832143824241,0;999863537933897
"83ea79c156b48ac26b9cfaf604d2749d",2;03893083231887,0;50525107989038,0;419412993599479,1;26185599864636,0;207000607622797,0;999863537933897
"75f92387c815f70849698926bfdcfc93",0;136321035287977,0;0373353043495699,0;339249391967547,0;111617632617528,0;911126590581888,0;999863537933897
"e7c96da862411a8c839d6c290026b806",1;19835882088533,-0;214055000313032,0;261443858371551,-1;27377938951606,0;202741611491843,0;999863537933897
"093e34378531c66fd56ffdcba34644b1",0;527393488085234,0;127347145224591,0;277716190178102,0;443324457743116,0;657531067686932,0;999863537933897
"bf1019ed285210f849a94e96bc231692",3;29048172106126,0;124826465030111,0;388716497654076,0;322563229630348,0;747026044802561,0;999863537933897
"70645cb5397bc6a24f03bafcc26eb4ea",1;11621414180247,-0;181094930455256,0;450142479329585,-0;402577243158079,0;687259253591119,0;999863537933897
"10c568040bf06e35583d9838171c3c10",0;172728619136753,-0;242753841094177,0;259006566074542,-0;411795807659914,0;680489094461261,0;999863537933897
"0bae6b5dc095a6d2f25ab49c1a6a9b31",1;23273215899912,0;145110719859914,0;388048463075454,0;374885094068486,0;707745925207443,0;999863537933897
"6190444efcb88a9186908fb46a8417df",4;26762271953215,0;206018912403768,0;450779860565337,0;457228226606885,0;647507011947397,0;999863537933897
"cc190f6d2f3d5e8bceb7203359834eae",1;35602105593671,-0;319541843888383,0;400264324008243,-0;81868030668356,0;412968835316043,0;999863537933897
"b56ff40e1445618708836570c19c4e45",0;173867272434754,0;0978121108146049,0;264325944527889,0;377217639628959,0;706011872414066,0;999863537933897
"d1400c3fb5f795bf73de3175e8668c0a",40;7134071359634,-0;472982394048584,0;296648489974735,-1;59441775491592,0;110842498322525,0;999863537933897
"167faa4d028c4ae6ad8faeec76faf937",5;08524463326205,-0;188603489563812,0;444255037490293,-0;425253629019637,0;670651793275761,0;999863537933897
"9460adb6fb7f2d993e506453e227a0d3",4;76538478564273,-0;711245352174924,0;42094240842274,-1;11310191273782,0;265664662302603,0;999863537933897
"87e2f901c859229f799f1c5403e9c59c",1;1022551041026,0;0849534666295503,0;322534518358974,0;266433823407676,0;789905119003648,0;999863537933897
