"","average","sd","ratio","ava","avb","cumsum","p","padj"
"c7b464a3ec12b70a836aba7a5a00d0ad",0;049319923905557,0;0459385153812738,1;07360726606462,0;101197343545948,0;105266413336364,0;0839109041447748,0;848,1
"917f430f3e5287364bb26f11e9e28af4",0;0279555478603643,0;0287023237640497,0;973982040275749,0;0457060800543166,0;0498976330678991,0;131473331477745,0;998,1
"c032c09a505693009ccdd604646c0c75",0;0079760038238955,0;0114463477893344,0;696816484235041,0;0163802056088481,0;0223453882698716,0;145043378617454,0;326,1
"aa78e7b32ebae83f1f83f828c843feed",0;00678716251261934,0;00826841136126731,0;820854480512815,0;00851068960094823,0;0155384472118153,0;156590779706352,0;004,0;8236
"cc06fd3b8a4060a0a9b143b67440332f",0;00387197646430284,0;00511848169044318,0;756469730375765,0;00481400506174089,0;0085735675311785,0;163178402318445,0;097,1
"bbc52ecf29f12fbb93c09da1ee624f78",0;0036550836780616,0;00348087626764451,1;05004699880785,0;0118632413935389,0;0104269252433841,0;169397012402643,0;601,1
"a26884287bf29630b42e7a709317f261",0;00353647291708701,0;00443092483213505,0;798134261145421,0;00305796672336661,0;00766243862622579,0;175413822982572,0;006,1
"aad6c49abbd36a6cb1be843c334533ae",0;00295985736488774,0;00269763446185853,1;09720475725556,0;00565434152816259,0;00442607139802498,0;180449603412869,0;261,1
"4ca08ec0d6761aeb9d3c44e5763e42af",0;00285746152737924,0;00802928358280701,0;35588001070206,0;000946843822803449,0;00578177643002799,0;185311171747411,0;07,1
"eabf0bdde67ffe40bfbf1a065df88354",0;00278233574636602,0;00754565015771426,0;368733732443388,0;00217655622943731,0;00371385732372794,0;190044924146522,0;779,1
"6710169f0a78d6963eb957666faa6f9e",0;00225763512579106,0;00384790094986326,0;586718617554667,0;00130419002172527,0;00502465241362462,0;193885972340288,0;004,0;8236
"84f4c96f9512fcaf82a426f937b83fa4",0;0020547829716331,0;00174116347206752,1;18012065184964,0;00390100490805418,0;00467212551007712,0;19738189616412,0;507,1
"db8552ec57994b474025d1f081008cb2",0;00204823148231548,0;00197372700166718,1;03774811845071,0;00360232117786907,0;00424005163343597,0;200866673551612,0;775,1
"45379022879ddfb128693484004bb82d",0;00199951365741107,0;00248495728755734,0;804647092898952,0;00455053666946548,0;00311628039262874,0;204268564421607,0;475,1
