"","average","sd","ratio","ava","avb","cumsum","p","padj"
"4be810915c915c3f6f34bb4fedab9ad0",0;10398616623206,0;155700289009604,0;66786109963897,0;11126847047773,0;137977346622453,0;109395857362479,0;579,1
"b663b0cd551ba980221251a789b6e206",0;084459670187331,0;138990270698829,0;607666060096697,0;0114313483002058,0;165244763454147,0;198249388245385,0;002,0;35
"116156fee4dfb6a544121c9b98a23c74",0;0816043976100295,0;146492080603307,0;557056717837258,0;0733359207160541,0;111272621665196,0;284099106189361,0;436,1
"8888c9b2d3933081f63651b9bfdbe480",0;0513040918623862,0;11821163956528,0;434002032719075,0;0319880379259396,0;0768300193338946,0;338072200100374,0;2,1
"77d225e6605a71a9a33a9aeb33bdb890",0;0408352159190915,0;125801276115588,0;324600967334954,0;00107972630553309,0;0809604893439685,0;381031793841735,0;052,1
"d40cb52e5d7086fee99ae0907fd334f9",0;0390966852816982,0;0742776351645856,0;526358778050313,0;0531375718541507,0;0352301432801903,0;422162413051964,0;936,1
"9e58e4736ae679b38ae8de9b3fc3d7ee",0;0293246398110193,0;106171981814461,0;276199420128232,0;0585718348260197,9;15256680224421e-05,0;453012613902847,0;85,1
"e0db0916d5f4bc79913c096d6f7f23e0",0;0279563591415142,0;103488888695791,0;270138751066241,0;0162615551163934,0;0410062927596678,0;482423351771519,0;482,1
"4f39ef900d88365c3eac06f13c776b8f",0;0268145814692775,0;101139530132615,0;265124639536271,0;0141456897128734,0;0406622807017544,0;510632913061637,0;495,1
"78e3be9fa222d3a314799a1a883f6b66",0;0232334470965835,0;0654827837637172,0;354802373405767,0;0292926780822696,0;0196144365420398,0;535075037977989,0;84,1
"22358af799b12718b2413db582b1a6af",0;0212003171130796,0;0913967719428351,0;231959145409857,0;0370853731293925,0;0058492410539738,0;557378263022041,0;582,1
"f342e124ffe9a9d3e0e492ff00ed674e",0;0204941878678798,0;0979486857558828,0;20923392396461,0;000174097132272037,0;0408287866978436,0;578938623731475,0;486,1
"e74ee435c566d594cc9526383adf5792",0;019605220856411,0;0749820889915558,0;261465386202015,0;0388891873952472,0;000472234674557199,0;599563770537845,0;602,1
"542b8274cc0abe38ef023b02b57dbf9b",0;0191267168640509,0;0957103060207769,0;199839679332953,0;0382534337281017,0,0;619685520052129,1,1
"22c4ee4deafd2a50e123031f9e973ddd",0;0174800274879878,0;0870270554185925,0;200857393185491,0;0349600549759755,0,0;638074914171158,0;76,1
"a767696bf9e2e1a5f9e63fd6d39e88f3",0;0151428906645605,0;075773516973065,0;199844104767412,0;0302857813291209,0,0;654005586175153,1,1
"efef4e897400bf9054e9c2a7eda09a78",0;0145431243170032,0;0540036357814859,0;269298985272932,0;0290862486340063,0,0;669305290078432,1,1
"a4bbfb428c8d35739d668a60656037fc",0;0140520842861762,0;06881859285967,0;204190229736754,0;0280995743944621,5;97243125731623e-06,0;684088408486562,0;749,1
"b2b2ae51b868a14c0e2efb9693ed8f75",0;013092022961724,0;0652286235383279,0;200709784317788,0;0260790553725975,0;000113739763421292,0;697861520126344,1,1
"b47360a961b32fd49a797faf00c4d3de",0;0127011484982454,0;0598701054580303,0;212145083110786,0,0;0254022969964908,0;711223422769749,0;22,1
"319412737efae4ec36f93f4db011de0e",0;0124802829245229,0;0624144103015575,0;19995835679972,0;0249494589911371,1;27373617390777e-05,0;724352969709749,0;667,1
"5ae1f1acc18efc7823c3415d779b0385",0;01238433391465,0;05944082694824,0;208347268207322,0,0;0247686678293,0;737381576067185,0;485,1
"ccba5d69de041201ee8e163c1c4b23bb",0;0121258448664306,0;0606778639102386,0;199839679332953,0;0242516897328613,0,0;750138245953901,1,1
"bb33b229f3d1ca9a24f2615fab635d38",0;0112140232670289,0;0512364963023865,0;218867878881613,0;0224280465340579,0,0;761935658381259,0;485,1
"8512a0ed11476e591ffa9a713b8d9df3",0;0108968250032942,0;0499800086036189,0;21802367201884,0;000992628995577478,0;0208837400939757,0;773399370882247,0;476,1
"d75885b537a312c667e41d5afe3bee27",0;0108809662838729,0;0522251449586827,0;208347268207322,0,0;0217619325677458,0;784846399642785,0;467,1
"273881ea7601aa7c034c59b7f40b5736",0;00950224018798294,0;039427444303787,0;241005734857388,0;0190044803759659,0,0;794842976590423,0;608,1
"4a1a4c83702a6c44562e2daa13bf3514",0;00905908019818516,0;0451780457362417,0;200519523378099,0;0181181603963703,0,0;804373338955973,1,1
"b77627ad049c7569beb5e5bb351b9a50",0;00823421398734244,0;0408540977250949,0;201551727876847,0;0164600831473497,1;06052636044322e-05,0;813035922946628,1,1
"a158cb84cd379842d99cf6726247efcd",0;00782290299263675,0;0335834776794635,0;232939038276566,0;0156447302132726,1;74812950143347e-06,0;82126579823632,0;53,1
"fd6ff46f1b85f9ed17f80fe98868119c",0;0077763644773358,0;0373240529825316,0;208347268207322,0,0;0155527289546716,0;829446713929113,0;476,1
"18922236506583e7320e776be6c2463a",0;00768100909074898,0;0311260433144733,0;24677113673415,0;015362018181498,0,0;8375273135448,1,1
"344a99c4890ae9d218c68b7173d0389c",0;00689160758545161,0;0330775039420911,0;208347268207322,0,0;0137832151709032,0;844777444477926,0;484,1
"33be679a5c7b7bff076243989c33712f",0;00602478462868253,0;0183838291831076,0;327721965248598,0;00582846149133224,0;00670681289031051,0;851115657566849,0;473,1
"0fa5da88bc26c3d497597b2ecbf33634",0;0059073758097384,0;0206255369311926,0;2864107649389,0;00491440977778547,0;00730987598984013,0;857330353856609,0;482,1
"b5f3ca43eee20152738a029642f31149",0;00586967936957415,0;0291217834345866,0;20155631549004,0;0116572095689158,9;1785748688148e-05,0;863505392617481,0;733,1
"f7b11f46a4c69e77e82476e16e9df760",0;00561912617067003,0;0147047297713455,0;382130529295397,0;00628712197995914,0;005527129031938,0;869416843605072,0;519,1
"8e6ecb2cb834391984e82c3a076e43c2",0;00544694050687123,0;0272228093407006,0;200087376681126,0;0108938810137425,0,0;87514715128294,1,1
"fb4b6d91dda35da5c766e6747c71efdb",0;00543758670901315,0;0272097449673825,0;199839679332953,0;0108751734180263,0,0;880867618548632,1,1
"a7f842cf2e6b177dd52becebda1de83a",0;00539971547077357,0;0227399296497236,0;237455240801029,0;00138604022800359,0;00952889406587718,0;886548244393809,0;427,1
"cca78c21045111a15b3ccadddf52b971",0;00519301586817846,0;0205202147063706,0;253068300818814,0;0103838562976688,2;82807029451524e-06,0;892011417465586,0;739,1
"de7864dafea9b68a565a62c31bc8339e",0;00517650682175152,0;0149509612674448,0;346232374571339,0;00965545522350843,0;000906825945992993,0;897457222637829,0;739,1
"da513503b2ff56009fc8a578c819ebcb",0;00511202664417483,0;0245360867371103,0;208347268207322,0,0;0102240532883497,0;902835193168556,0;467,1
"45c35d69f417bd7d4cbe61dd5a0f083e",0;00491444667525696,0;0245919463625089,0;199839679332953,0;00982889335051392,0,0;908005304991913,1,1
"9d066026ffeef60c8c0e44158075b186",0;00479652896117496,0;0151787875353259,0;31600211479421,0;00023518035531203,0;0094166726558659,0;913051364646624,0;106,1
"99d56121b201885e2327e1aaefee27e0",0;00437775608271629,0;0184521556087929,0;237249033420798,0;00863382676197559,0;000206118122726347,0;917656865525691,0;527,1
"53c621cb35a1c35186d82a7c60de1bf0",0;00437244165647759,0;0218797471606861,0;199839679332953,0;00874488331295519,0,0;922256775505162,1,1
"e87dc9cc994d0c5c48a42ee91aae6eae",0;00393264777127333,0;0192789014567831,0;203987129665506,0;00776751004043809,0;000110675713584403,0;926394012122608,1,1
"e3eb7f52eef0ad7aec4db88af12eb3cd",0;00387616073303899,0;0175320159635464,0;221090417730541,0;00742260670379296,0;000401444602233022,0;930471823066415,0;931,1
"f159675a1296aa9d383e4ab3f9407619",0;00356773145705972,0;0162123576669995,0;220062469033847,0;000392251313441713,0;00677589921013121,0;934225159262242,0;473,1
"8cb3b318760da2e5f9815653cbc4bf83",0;00348693596018445,0;0130792520224649,0;266600563563979,0;000716997127582998,0;00639861715294013,0;93789349672245,0;133,1
"2ffde79d725e60b058bde836132af683",0;00344683036851782,0;0093269902388978,0;369554409325204,0;00522154386001454,0;00197613812738858,0;941519642170543,0;873,1
"2bf8231073721bfc54aa8ebeb6912a20",0;00316156275005947,0;0151744862184297,0;208347268207322,0,0;00632312550011895,0;944845679471276,0;467,1
"c8d5fdc244ae17e9558f5025b812d6eb",0;00282058202304958,0;0129385104656958,0;217998975270597,0;00518832709655036,0;000490573362011198,0;947812997142976,0;736,1
"0c0cca5bec99fb78e2bb61c3935b025d",0;00277520814061055,0;0133201081275949,0;208347268207322,0,0;00555041628122109,0;950732580438545,0;476,1
"60ae902a3e046edce4cc5f9cc1ac73ea",0;00273922952262687,0;0136929215204147,0;200047120590224,0;00547396269958071,5;01086968243454e-06,0;953614313393981,0;749,1
"5f3b8380fd0ae0e537a43b002c4e7a67",0;00260773208687866,0;0122386149436598,0;213074118181125,0,0;00521546417375731,0;956357707998789,0;109,1
"b6d488bfbf30ff5ee3e75bbefccb6032",0;00207181042844186,0;00726599903348181,0;285137724199374,0;00245423776868145,0;00183016501221912,0;95853730059581,1,1
"de3ca8116321fa3b3ecaa5fc40c08cc5",0;00198181582864169,0;00951207973924393,0;208347268207322,0,0;00396363165728337,0;96062221678769,0;486,1
"ee0d28cca895e4a213be07178c2fefba",0;00169684497510344,0;00814431112873987,0;208347268207322,0,0;00339368995020689,0;962407337035786,0;476,1
"643e1fe5e4374e56b15854c0ab8bd517",0;00132634835358961,0;00262262254583086,0;505733604592885,0;0024758943636604,0;000628793078749011,0;963802686249627,0;518,1
"7d2ea1f51c60d58d0660446d4774a59a",0;00130260710155709,0;00557352578410753,0;23371329962649,0;00222387610086297,0;000413116277438811,0;965173059115987,1,1
"a692aae1c416358d582103d64b3774f2",0;00129398636846148,0;00596378308856169,0;216974083269946,0;000105324135025541,0;00249142561314955,0;966534362771296,0;486,1
"872b2757f7ef15b1ef26b3f9936bcf31",0;00125949406997993,0;00159353816195719,0;790375844173707,0;00160327704260171,0;0019818578768381,0;967859379729041,0;579,1
"5cce1abb68c73f8fd159aaf92e2afde9",0;00120361678152581,0;00538262398443053,0;223611529433846,0;000170600039953009,0;0022508501930947,0;96912561248405,0;484,1
"abb48f98cc76cbfd884b85cb99cf2af1",0;00115616071317248,0;00559983616687587,0;206463310482438,0;00229127787796791,3;45666458767375e-05,0;970341920355081,0;923,1
"8d3e983e728259a88863f948e5dbe94b",0;0010680111852981,0;00173347010356711,0;61611168436096,0;00171987267395761,0;000864603365330645,0;971465492879407,0;9,1
"6b6c4cf41b7f49acaa5081bc5f234029",0;00105081498244955,0;00476596786316275,0;2204830188998,0;000119595243026285,0;00199200099212501,0;972570974599715,0;474,1
"9e6878f45a5eb2ea642bc92e840afdf7",0;00102904250318172,0;00514934024422263,0;199839679332953,0;00205808500636344,0,0;973653551167128,1,1
"d3ab276830b02edd6977f850f0ef8caa",0;00101247794531938,0;00419316331153584,0;241459220663777,0;00166339798067843,0;000391687735790361,0;97471870143569,1,1
"ea4f3d7471d698fb962e28a5f213caf2",0;00100666192189073,0;00503734756406174,0;199839679332953,0;00201332384378146,0,0;975777733112785,1,1
"1b0539acdc7399feee3aaebdd5e61067",0;00100595092079695,0;00441383208379896,0;227908742720256,0,0;0020119018415939,0;976836016800248,0;224,1
"d8fc54bcadbf7fcc5cd3d7c2bf678f8f",0;000994645539287066,0;00497721745054388,0;199839679332953,0;00198929107857413,0,0;977882406964294,1,1
"325f464ad49685c1e5420d17aa147d15",0;000927906391545043,0;00445365278618246,0;208347268207322,0,0;00185581278309009,0;978858585997846,0;482,1
"e36a239a30b387e78c09e274444e016c",0;000869653535109881,0;0043517560577194,0;199839679332953,0;00173930707021976,0,0;979773481676078,1,1
"3d0a205de99f5295bc4b374649c57575",0;000865455067818108,0;00318954889046057,0;27134090040336,0;00173091013563622,0,0;980683960469395,0;75,1
"409649957a882957ee87339338a7c07f",0;000854048339861028,0;00354307467319305,0;241047231186734,0;00144927101200441,0;000283673247886018,0;981582439120484,1,1
"a4977746f215ec32e61883e81da46126",0;000806856957455298,0;00308674581564992,0;261394039432889,0;00118675881635513,0;000462534690101758,0;982431271343347,1,1
"f8549988d995f078ce28eccc60deff7b",0;00072775834469391,0;00348806596780519,0;208642368410205,2;06024509852975e-06,0;00145362813138083,0;983196889992012,0;488,1
"adba26ac34bc5a82de3fd3fb5efbd33e",0;000688740208462935,0;00344646373914274,0;199839679332953,0;00137748041692587,0,0;98392146065689,1,1
"75e58ea69a10ad870d4811cf0d4fdb61",0;000687134869359394,0;00278208954340723,0;246985173783393,0;00109709418505376,0;000300273516470448,0;984644342467817,1,1
"299a98fef4b37a7f125b41049760c6d7",0;000655586118784329,0;00328056030200117,0;199839679332953,0;00131117223756866,0,0;985334034261813,1,1
"4673065a2d04c05374a89d2cfdcf68c2",0;00062963633422569,0;000876133613750926,0;718653324497019,0;00108006349574026,0;000681174519694555,0;985996426280916,0;943,1
"c1c7dac2c6665e89f90cda95c53e086e",0;000613715632937288,0;00307103992052938,0;199839679332953,0;00122743126587458,0,0;986642069353208,1,1
"939f95ffa67d45b18f810411c9e35571",0;000546803773055614,0;00262448256586451,0;208347268207322,0,0;00109360754611123,0;987217319597831,0;476,1
"511bd796069111a3a3e99c2d13907211",0;0005328591652449,0;00238328414511497,0;223581886506108,0;00105284159300949,1;54841221387554e-05,0;98777789979179,0;863,1
"d61038bd0af574cc1fb1f9ecef204bbf",0;00053264654834579,0;00235157241124842,0;226506547618074,8;98984147912859e-05,0;000982886216466235,0;988338256307843,0;476,1
"481b5086d4014f57b2ff1517825ee7d1",0;000484843926539716,0;00178589417534483,0;271485249928708,0;00020688327453404,0;000785086663360889,0;98884832335765,0;32,1
"7ff01134216b54c40a3d44f59c565338",0;00046834675165515,0;0023406981901562,0;200088483694643,0;000935617731309418,1;16541966762231e-06,0;989341034997061,1,1
"760b5cda1cd383fa43af2dd6f6b06672",0;000442310216227074,0;0011350323901383,0;389689510246645,0;000362153695382955,0;00057948707264908,0;989806355597653,0;391,1
"175a157b503cdbac0149f491726d55a0",0;000438191465487666,0;00219271501510766,0;199839679332953,0;000876382930975332,0,0;990267343176991,1,1
"5ae8bbf464d292ab3b75086ef4ff2fb1",0;000423535360014489,0;00211937569870114,0;199839679332953,0;000847070720028978,0,0;99071291219363,1,1
"e71fb4db708f786a39f0bf2bd9b6e50b",0;000422282035544871,0;00179340267672995,0;235464149253335,0;000714803479381443,0;000140573974350656,0;991157162683874,1,1
