"","V1"
"X4bdc300e2a73d2456d8f5f301cd79b24",-0;0638032844991221
"X5d5ed43144a7e9922f567567cca6edb7",-0;0471589494123946
"a418705a2b62c68553ceec65922142a4",-0;00277405584778792
"X9d066026ffeef60c8c0e44158075b186",0;0471589494123946
"X135cd9f50ac1631b9e504edeb830d683",-0;0748995078902738
"X0c0cca5bec99fb78e2bb61c3935b025d",-0;0360627260212429
"X299a98fef4b37a7f125b41049760c6d7",-0;0610292286513342
"X77d225e6605a71a9a33a9aeb33bdb890",0;0721254520424859
"de7864dafea9b68a565a62c31bc8339e",-0;0943178988247892
"X2b59d468bbdb1f86c22fcebd61f5d5cb",-0;0110962233911517
"X2ea15125b3c28f70f4e9b2011fb1b32e",-0;210828244431882
"a692aae1c416358d582103d64b3774f2",-0;0443848935646067
"X1a3bb25b7d08acf0c021cca6623e477e",-0;0305146143256671
"fd7880a6988b84aaaf0c433708c2efa6",-0;0305146143256671
"X33be679a5c7b7bff076243989c33712f",-0;0610292286513342
"cf16828665dee40dfa4b6bade4cf21ef",-0;0194183909345154
"da513503b2ff56009fc8a578c819ebcb",-0;00832216754336376
"X22c4ee4deafd2a50e123031f9e973ddd",-0;135928736541608
"ca8c1cc094272e70ff21f563a2af81c3",-0;0998660105203651
"X643e1fe5e4374e56b15854c0ab8bd517",0;0554811169557584
"e5750ae962ff61732a057356b169fd21",-0;0859957312814255
"X5cce1abb68c73f8fd159aaf92e2afde9",-0;0554811169557584
"X31415f8d3595a43846a89317548511ce",-0;0138702792389396
"d40cb52e5d7086fee99ae0907fd334f9",-0;0915438429770013
"X22358af799b12718b2413db582b1a6af",0;0443848935646067
"X539265e101086f2e7d8aa51c05152c1b",-0;0360627260212429
"X542b8274cc0abe38ef023b02b57dbf9b",-0;0554811169557584
"c10027370c67bc9ee9b945c53d20ab5c",-0;0388367818690309
"X30526a7a4d826edd9b043b56bd8e847a",-0;0499330052601826
"X5bf5a35fbf5c2c129b31a4aaa02679bd",0
"fd6ff46f1b85f9ed17f80fe98868119c",-0;0360627260212429
"X99d56121b201885e2327e1aaefee27e0",-0;241342858757549
"db927f3e3abb74321d0262b8624b01c7",0;0110962233911517
"X939f95ffa67d45b18f810411c9e35571",0;00277405584778792
"X1b0539acdc7399feee3aaebdd5e61067",0;0138702792389396
"e71fb4db708f786a39f0bf2bd9b6e50b",-0;0665773403469101
"X18922236506583e7320e776be6c2463a",-0;0471589494123946
"X187ab8462b8b440e1def5212412d9e06",-0;0554811169557584
"bb33b229f3d1ca9a24f2615fab635d38",-0;244116914605337
"ccba5d69de041201ee8e163c1c4b23bb",-0;0443848935646067
"b2b2ae51b868a14c0e2efb9693ed8f75",-0;0471589494123946
"bd26e97e57ceb47cf6ab7d5b5e947f62",-0;0138702792389396
"X76dc3809d214159c017b2f987364f7e0",-0;0305146143256671
"f5a2b8967fd8d135803af8c0601cd4e0",0;00277405584778792
"X92e7c471bf50233a39a459ff5b204b3e",-0;110962233911517
"X526fa77d5328b0a41df33317dfe135e2",0;00277405584778792
"b4b232f214f775bcc3308653d7741f1a",-0;00832216754336376
"X4be810915c915c3f6f34bb4fedab9ad0",-0;0416108377168188
"e87dc9cc994d0c5c48a42ee91aae6eae",-0;0443848935646067
"X3d0a205de99f5295bc4b374649c57575",-0;13315468069382
"c1f96ac17ac6c32cbf88341fce4c8d9d",0;00277405584778792
"a135d244d0364d5d06535e56882a84a5",-0;0388367818690309
"c8d5fdc244ae17e9558f5025b812d6eb",-0;0610292286513342
"e36a239a30b387e78c09e274444e016c",-0;0554811169557584
"X2e3c54c72de596f4c4009971b90895d7",0;00554811169557584
"X5ae8bbf464d292ab3b75086ef4ff2fb1",-0;0610292286513342
"X2130ca17584e2024351e25847b07de48",-0;0305146143256671
"X97e3be015d0ad3c9c56ccbd57f9c0feb",-0;122058457302668
"X1760e66b93ff7aa728b6898fa572bc2d",-0;00554811169557584
"X4a8dbbec00787fa2cc2ee08274f8ce4c",-0;00832216754336376
"b47360a961b32fd49a797faf00c4d3de",0;0138702792389396
"ee121b5310faf3d1c9e119e3ac6048ba",-0;0360627260212429
"c0c4bc43d1ba371268726299b45b754a",-0;0416108377168188
"X9b05f9d3b68356c051503c00d6b3d333",-0;0194183909345154
"d6992915e0c28999e8d466f1592d8b7a",0;0360627260212429
"X2ffde79d725e60b058bde836132af683",0;0471589494123946
"X9e58e4736ae679b38ae8de9b3fc3d7ee",-0;0832216754336376
"X8e6ecb2cb834391984e82c3a076e43c2",-0;105414122215941
"f9fd90420aaf24633adee0901df06f08",-0;0665773403469101
"e0db0916d5f4bc79913c096d6f7f23e0",-0;0443848935646067
"b6d488bfbf30ff5ee3e75bbefccb6032",-0;0194183909345154
"X8512a0ed11476e591ffa9a713b8d9df3",-0;0554811169557584
"X983cf9a4e7016105283f24743d919f25",-0;00554811169557584
"fb4b6d91dda35da5c766e6747c71efdb",-0;0527070611079705
"X7e3a3bdd9958e1b458ec4e0db97683ea",-0;0721254520424859
"X175a157b503cdbac0149f491726d55a0",-0;102640066368153
"X5e317160f53054af730b0a3123e7e9b6",0;0305146143256671
"f159675a1296aa9d383e4ab3f9407619",-0;0416108377168188
"adba26ac34bc5a82de3fd3fb5efbd33e",-0;0554811169557584
"X60ae902a3e046edce4cc5f9cc1ac73ea",-0;0748995078902738
"X325f464ad49685c1e5420d17aa147d15",0;00277405584778792
"X760b5cda1cd383fa43af2dd6f6b06672",0
"X7d2ea1f51c60d58d0660446d4774a59a",-0;00832216754336376
"b663b0cd551ba980221251a789b6e206",0;33288670173455
"d75885b537a312c667e41d5afe3bee27",-0;00832216754336376
"de3ca8116321fa3b3ecaa5fc40c08cc5",-0;0277405584778792
"X08d77d3861ee0c24205b9a999144495f",-0;033288670173455
"c1c7dac2c6665e89f90cda95c53e086e",-0;0582551728035463
"X2bf8231073721bfc54aa8ebeb6912a20",-0;00832216754336376
"X18ff3ee57c402652b7156ed14071d0ab",0;0138702792389396
"X8dcb1c66dadcbfce80141ab20ccf1ea1",-0;0638032844991221
"X22aea799615e8e1467f7b56605053545",-0;0665773403469101
