"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4bdc300e2a73d2456d8f5f301cd79b24",1;35512309977167,-0;320323695442147,0;322286057631623,-0;992364671734133,0;32101966601733,NA
"a418705a2b62c68553ceec65922142a4",3;60556010416713,-0;544004523223674,0;366548986626202,-1;48223567376242,0;138277597531748,0;219987086982327
"9880373d82d00984bcfd9dddced13e34",1;18425156869923,4;71987536409816,0;241090368991059,-0;0200635236134085,0;983992698223924,NA
"78974ea98df25e5c1ba04801cfcee414",1;16266128321591,5;97950954119459,0;146486234562268,-0;149421001581019,0;881221440889135,NA
"135cd9f50ac1631b9e504edeb830d683",3;50862666218156,-0;312928196486274,0;357648859441702,-0;874641313164212,0;381769101423475,0;460755812062814
"0c0cca5bec99fb78e2bb61c3935b025d",1;16259142068107,-4;69973726199455,0;238947848536789,0;114401169419023,0;908919787020722,NA
"299a98fef4b37a7f125b41049760c6d7",1;18425156869923,-4;11473405165833,0;123188672485337,-0;0200635236134085,0;983992698223924,NA
"77d225e6605a71a9a33a9aeb33bdb890",1;81086444135558,0;917233812649385,0;314132977066998,0;718808993185181,0;472258615787294,0;550968385085176
"de7864dafea9b68a565a62c31bc8339e",1;56840321327412,0;584179146364817,0;331217052515661,1;75394777314213,0;0794394566071751,0;162363528981557
"2b59d468bbdb1f86c22fcebd61f5d5cb",1;18425156869923,-0;91686903550967,0;298207164750289,-0;0200635236134085,0;983992698223924,NA
"2ea15125b3c28f70f4e9b2011fb1b32e",2;79261090675373,0;427713486247112,0;339310191571191,1;25888138685181,0;20807317778047,0;296647957044454
"a692aae1c416358d582103d64b3774f2",1;16259478450912,3;37949367328386,0;252380468043,-0;14944558737398,0;881202042068994,NA
"2bc5d4320e54797a39359dc0676cf450",1;59496060251526,0;610246110863944,0;332599571000314,1;82411664674316,0;0681344393766214,0;149044086136359
"1a3bb25b7d08acf0c021cca6623e477e",1;16263530376154,-8;86067883482695,0;218705940126075,0;114384364024425,0;908933108340421,NA
"fd7880a6988b84aaaf0c433708c2efa6",60;6579098212874,-4;13600148969349,0;429937991071549,-8;41697631763589,3;86325735696055e-17,8;11284044961715e-16
"cf16828665dee40dfa4b6bade4cf21ef",1;35664027657433,-0;681108149196507,0;132397876768188,1;14244153421155,0;253270535214894,NA
"da513503b2ff56009fc8a578c819ebcb",1;3142124568082,-9;87629541639836,0;220150232952417,-0;765736352906429,0;443833191892211,NA
"22c4ee4deafd2a50e123031f9e973ddd",1;18425156869923,6;68290685796663,0;229890226297463,-0;0200635236134085,0;983992698223924,NA
"ea16290abb78a15048ba32ff78200ec5",1;44417334491716,-0;450084321073766,0;324558535595999,-1;38270946844177,0;166753967488563,NA
"9c1d747424d14efaa95f8e742a4cdf37",1;18425156869923,-1;67262023001263,0;277907196141295,-0;0200635236134085,0;983992698223924,NA
