"","V1"
"X4bdc300e2a73d2456d8f5f301cd79b24",0;029783942458195
"a418705a2b62c68553ceec65922142a4",0;00229107249678423
"X9880373d82d00984bcfd9dddced13e34",0;105389334852075
"X78974ea98df25e5c1ba04801cfcee414",0;05956788491639
"X135cd9f50ac1631b9e504edeb830d683",0;137464349807054
"X0c0cca5bec99fb78e2bb61c3935b025d",-0;0137464349807054
"X299a98fef4b37a7f125b41049760c6d7",0;05956788491639
"X77d225e6605a71a9a33a9aeb33bdb890",0;123717914826348
"de7864dafea9b68a565a62c31bc8339e",0;109971479845643
"X2b59d468bbdb1f86c22fcebd61f5d5cb",0;0481125224324688
"X2ea15125b3c28f70f4e9b2011fb1b32e",0;116844697335996
"a692aae1c416358d582103d64b3774f2",0;10309826235529
"X2bc5d4320e54797a39359dc0676cf450",0;123717914826348
"X1a3bb25b7d08acf0c021cca6623e477e",0;0229107249678423
"fd7880a6988b84aaaf0c433708c2efa6",-0;0939339723681534
"cf16828665dee40dfa4b6bade4cf21ef",0;0985161173617218
"da513503b2ff56009fc8a578c819ebcb",-0;0320750149549792
"X22c4ee4deafd2a50e123031f9e973ddd",0;0893518273745849
"ea16290abb78a15048ba32ff78200ec5",0;0252017974646265
"X9c1d747424d14efaa95f8e742a4cdf37",0;0252017974646265
"ca8c1cc094272e70ff21f563a2af81c3",-0;0389482324453319
"X643e1fe5e4374e56b15854c0ab8bd517",0;0962250448649376
"e4a8d89e330d04f29688c61cc275c501",0;137464349807054
"X1cc1bac06496093e1f4903bb981b67a4",0;0664411024067426
"d40cb52e5d7086fee99ae0907fd334f9",0;0274928699614107
"X104d07a34368d9f652c61bbb84e59327",0;0435303774389003
"X22358af799b12718b2413db582b1a6af",0;0962250448649376
"bc1d8d569b4547c1c5c74417dca42c12",0;10309826235529
"X539265e101086f2e7d8aa51c05152c1b",0;0137464349807054
"X542b8274cc0abe38ef023b02b57dbf9b",0;0526946674260373
"c10027370c67bc9ee9b945c53d20ab5c",0;116844697335996
"X30526a7a4d826edd9b043b56bd8e847a",0;105389334852075
"X034aaec3b477baaaad7676a87004e735",0;146628639794191
"X5bf5a35fbf5c2c129b31a4aaa02679bd",-0;0916428998713692
"fd6ff46f1b85f9ed17f80fe98868119c",0;0206196524710581
"X4446d2a211e0a41b6b526dd4940fe073",0;0962250448649376
"X0c5de29041b1bcfe2010ba9bde32f320",0;0252017974646265
"X99d56121b201885e2327e1aaefee27e0",0;0481125224324688
"f5f092fdfbb1dcc0827bf409ad96e634",0;0435303774389003
"X2b3c915c3bce80b053b118bfac9819c6",0;0962250448649376
"db927f3e3abb74321d0262b8624b01c7",0;029783942458195
"X37e6c524ce699f13fe323a63bc20adf9",-0;080187537387448
"X1b0539acdc7399feee3aaebdd5e61067",-0;0435303774389003
"X7ef0412f12032fcc6224d8d98783f44f",0;0229107249678423
"e71fb4db708f786a39f0bf2bd9b6e50b",0;0572768124196057
"X92c359d5fc0b3cd4cf326768b8132a41",0;0137464349807054
"X62da65200185b257193a5e6d38677242",0;0756053923938796
"X0df685ffc0887a530be9364c346bad5e",0;050403594929253
"ccba5d69de041201ee8e163c1c4b23bb",0;0962250448649376
"da230b788ed11070ab619cf95eec6577",0;0435303774389003
"X68f6f56543e7b4195061892a90ea0315",0;0572768124196057
"bd26e97e57ceb47cf6ab7d5b5e947f62",-0;00458214499356846
"e5c7942ab79294bf4c19761c8bbbf920",0;00229107249678423
"X76dc3809d214159c017b2f987364f7e0",0;0893518273745849
"f5a2b8967fd8d135803af8c0601cd4e0",0;0893518273745849
"X92e7c471bf50233a39a459ff5b204b3e",0;0962250448649376
"X526fa77d5328b0a41df33317dfe135e2",0;0664411024067426
"X2c18fa52b1be278e8fbf731b531e3174",0;00687321749035269
"X071be45c44bec0f49b498f73b15dd3d2",0;100807189858506
"b4b232f214f775bcc3308653d7741f1a",0;126008987323133
"X4be810915c915c3f6f34bb4fedab9ad0",0;300130497078734
"e87dc9cc994d0c5c48a42ee91aae6eae",0;105389334852075
"X3d0a205de99f5295bc4b374649c57575",0;0137464349807054
"X9c7970c0800382fbe01230164e6149fb",0;0412393049421161
