"","taxon","mean;difference (Infected - Healthy)","se (Infected - Healthy)","W","p;val","q;val","diff;abn"
"77d225e6605a71a9a33a9aeb33bdb890","77d225e6605a71a9a33a9aeb33bdb890"," 0;23710932","0;9689629"," 0;24470423","0;80668545","0;9693984","FALSE"
"643e1fe5e4374e56b15854c0ab8bd517","643e1fe5e4374e56b15854c0ab8bd517"," 0;03636683","0;6411853"," 0;05671813","0;95476973","0;9693984","FALSE"
"d40cb52e5d7086fee99ae0907fd334f9","d40cb52e5d7086fee99ae0907fd334f9","-1;16365966","0;9493148","-1;22578907","0;22027806","0;6057647","FALSE"
"4be810915c915c3f6f34bb4fedab9ad0","4be810915c915c3f6f34bb4fedab9ad0"," 2;02824082","1;0458219"," 1;93937499","0;05245569","0;2885063","FALSE"
"a158cb84cd379842d99cf6726247efcd","a158cb84cd379842d99cf6726247efcd"," 0;78842815","1;0481274"," 0;75222550","0;45191546","0;8285117","FALSE"
"4673065a2d04c05374a89d2cfdcf68c2","4673065a2d04c05374a89d2cfdcf68c2","-0;02004954","0;5226295","-0;03836282","0;96939841","0;9693984","FALSE"
"872b2757f7ef15b1ef26b3f9936bcf31","872b2757f7ef15b1ef26b3f9936bcf31","-0;62817449","0;5888303","-1;06681754","0;28605424","0;6293193","FALSE"
"8d3e983e728259a88863f948e5dbe94b","8d3e983e728259a88863f948e5dbe94b","-0;99305531","0;5710933","-1;73886696","0;08205817","0;3008799","FALSE"
"b53ede99325c8616840fa8e938464d7e","b53ede99325c8616840fa8e938464d7e"," 0;11928120","0;5789506"," 0;20603001","0;83676747","0;9693984","FALSE"
"116156fee4dfb6a544121c9b98a23c74","116156fee4dfb6a544121c9b98a23c74"," 1;92503637","0;9799010"," 1;96452124","0;04946968","0;2885063","FALSE"
"abb48f98cc76cbfd884b85cb99cf2af1","abb48f98cc76cbfd884b85cb99cf2af1"," 0;14591392","0;4930893"," 0;29591781","0;76729285","0;9693984","FALSE"
"2ea15125b3c28f70f4e9b2011fb1b32e","2ea15125b3c28f70f4e9b2011fb1b32e"," 0;00000000","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"ca8c1cc094272e70ff21f563a2af81c3","ca8c1cc094272e70ff21f563a2af81c3"," 0;82068280","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"99d56121b201885e2327e1aaefee27e0","99d56121b201885e2327e1aaefee27e0","-2;48016777","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"76dc3809d214159c017b2f987364f7e0","76dc3809d214159c017b2f987364f7e0"," 0;00000000","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"a135d244d0364d5d06535e56882a84a5","a135d244d0364d5d06535e56882a84a5"," 0;84743183","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"97e3be015d0ad3c9c56ccbd57f9c0feb","97e3be015d0ad3c9c56ccbd57f9c0feb"," 0;00000000","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"8888c9b2d3933081f63651b9bfdbe480","8888c9b2d3933081f63651b9bfdbe480"," 0;83283213","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"bdf8ede33b2c7001840621a6f72229dd","bdf8ede33b2c7001840621a6f72229dd"," 1;04101079","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"f7b11f46a4c69e77e82476e16e9df760","f7b11f46a4c69e77e82476e16e9df760","-2;07799866","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"e3eb7f52eef0ad7aec4db88af12eb3cd","e3eb7f52eef0ad7aec4db88af12eb3cd"," 1;19857591","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"17211eba768f47a1041935f3ee102e20","17211eba768f47a1041935f3ee102e20"," 0;63037398","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
