"","cnth","unobh","cntd","unobd","fisher_p_both","padj"
"04fee52d3a95545eea1c45e2e63ce362",2,20,0,20,0.488966318234611,0.960043624826492
"071be45c44bec0f49b498f73b15dd3d2",0,22,1,19,0.476190476190476,0.960043624826492
"08d77d3861ee0c24205b9a999144495f",0,22,1,19,0.476190476190476,0.960043624826492
"0c0cca5bec99fb78e2bb61c3935b025d",1,21,0,20,1,1
"0c5de29041b1bcfe2010ba9bde32f320",0,22,1,19,0.476190476190476,0.960043624826492
"0df685ffc0887a530be9364c346bad5e",1,21,0,20,1,1
"116156fee4dfb6a544121c9b98a23c74",11,11,13,7,0.366452050062566,0.960043624826492
"135cd9f50ac1631b9e504edeb830d683",2,20,2,18,1,1
"17211eba768f47a1041935f3ee102e20",3,19,7,13,0.15203517642542,0.960043624826492
"1760e66b93ff7aa728b6898fa572bc2d",1,21,0,20,1,1
"18922236506583e7320e776be6c2463a",0,22,2,18,0.220673635307782,0.960043624826492
"18ff3ee57c402652b7156ed14071d0ab",1,21,0,20,1,1
"1b0539acdc7399feee3aaebdd5e61067",0,22,3,17,0.0993031358885017,0.960043624826492
"1c9a25f511df933eb3476dbbbb46a199",1,21,0,20,1,1
"1cc1bac06496093e1f4903bb981b67a4",0,22,1,19,0.476190476190476,0.960043624826492
"1eff341aa2b49ec383d0a118f73f9cb6",1,21,0,20,1,1
"211d2dbbc4c623c2e960bb29d37d40fa",1,21,1,19,1,1
"223bd77c5c34f4e9e40c3dfd53dffafc",2,20,0,20,0.488966318234611,0.960043624826492
"22aea799615e8e1467f7b56605053545",3,19,2,18,1,1
"273881ea7601aa7c034c59b7f40b5736",2,20,1,19,1,1
"2b59d468bbdb1f86c22fcebd61f5d5cb",1,21,0,20,1,1
"2bc5d4320e54797a39359dc0676cf450",0,22,2,18,0.220673635307782,0.960043624826492
"2c18fa52b1be278e8fbf731b531e3174",1,21,0,20,1,1
"2e3c54c72de596f4c4009971b90895d7",0,22,1,19,0.476190476190476,0.960043624826492
"2ea15125b3c28f70f4e9b2011fb1b32e",3,19,4,16,0.690896337237801,1
"2ffde79d725e60b058bde836132af683",0,22,2,18,0.220673635307782,0.960043624826492
"3123b5aa3c0f158260f64b2832af8167",1,21,1,19,1,1
"31415f8d3595a43846a89317548511ce",0,22,1,19,0.476190476190476,0.960043624826492
"319412737efae4ec36f93f4db011de0e",3,19,1,19,0.607879924953096,1
"325f464ad49685c1e5420d17aa147d15",0,22,2,18,0.220673635307782,0.960043624826492
"33be679a5c7b7bff076243989c33712f",0,22,1,19,0.476190476190476,0.960043624826492
"3595b98686ee678c017f6a39f2ba8e7e",1,21,0,20,1,1
"369977194325fa77afd733d37c92c63d",0,22,2,18,0.220673635307782,0.960043624826492
"371805a0d32985ff210ca9f1a7acad48",0,22,1,19,0.476190476190476,0.960043624826492
"399dce84cd757a93a8527510b06e307a",1,21,0,20,1,1
"3a12705bdb700b87026ea27254e8fa89",2,20,1,19,1,1
"3afe92f292286577802cddba507f140e",0,22,1,19,0.476190476190476,0.960043624826492
"3d6595ba0dd3b1779363e84e947fc1c4",0,22,2,18,0.220673635307782,0.960043624826492
"3e0f023636975b57382d70fe0a52bf1e",0,22,1,19,0.476190476190476,0.960043624826492
"409649957a882957ee87339338a7c07f",1,21,0,20,1,1
"41155fc81ea0571a02817ce0e39861e2",1,21,0,20,1,1
"4446d2a211e0a41b6b526dd4940fe073",1,21,1,19,1,1
"450fb80a8aa341cdf33eee2dac5fe23b",1,21,0,20,1,1
"45c35d69f417bd7d4cbe61dd5a0f083e",1,21,1,19,1,1
"461c2b20bd5c233dcac34fc89ce1a66f",0,22,2,18,0.220673635307782,0.960043624826492
"4673065a2d04c05374a89d2cfdcf68c2",13,9,15,5,0.337614378533828,0.960043624826492
"481b5086d4014f57b2ff1517825ee7d1",0,22,2,18,0.220673635307782,0.960043624826492
"4a1a4c83702a6c44562e2daa13bf3514",1,21,1,19,1,1
"4bdc300e2a73d2456d8f5f301cd79b24",1,21,1,19,1,1
"4be810915c915c3f6f34bb4fedab9ad0",9,13,13,7,0.137311377969491,0.960043624826492
"4f59249301b989a2e45240235f71f3d2",1,21,1,19,1,1
"511bd796069111a3a3e99c2d13907211",2,20,1,19,1,1
"542b8274cc0abe38ef023b02b57dbf9b",1,21,2,18,0.597560975609756,1
"543d211dd0ff4f6d0066ec3850ed5082",0,22,1,19,0.476190476190476,0.960043624826492
"54936af7fc659bb8a76615f1ae6f6993",1,21,0,20,1,1
"579e5bbf5706c28209744c33484c4b8c",0,22,1,19,0.476190476190476,0.960043624826492
"596153e78a4c251da43033285b61a7b3",1,21,2,18,0.597560975609756,1
"59788ef0375e4756a83b5a60f29a3303",1,21,1,19,1,1
"5ae1f1acc18efc7823c3415d779b0385",0,22,1,19,0.476190476190476,0.960043624826492
"5bf5a35fbf5c2c129b31a4aaa02679bd",1,21,1,19,1,1
"5cce1abb68c73f8fd159aaf92e2afde9",1,21,1,19,1,1
"5d5ed43144a7e9922f567567cca6edb7",1,21,3,17,0.33270794246404,0.960043624826492
"5e317160f53054af730b0a3123e7e9b6",1,21,1,19,1,1
"5efce6b21a9c05541f7e777341156e96",1,21,2,18,0.597560975609756,1
"62da65200185b257193a5e6d38677242",1,21,0,20,1,1
"633743f58b6a9fabc8612a844746d9aa",4,18,0,20,0.108639328151523,0.960043624826492
"643e1fe5e4374e56b15854c0ab8bd517",13,9,16,4,0.19003444829566,0.960043624826492
"66784a97073d9affb5b9dd057c7d5195",0,22,2,18,0.220673635307782,0.960043624826492
"6915ce702b5bac12f5018e69a2bca72e",1,21,0,20,1,1
"6a7a5b8592e878c6065ab49055907e1a",3,19,0,20,0.233449477351916,0.960043624826492
"71d1bd285cdf78ebfd3ef9d9c9a40241",1,21,0,20,1,1
"760b5cda1cd383fa43af2dd6f6b06672",2,20,2,18,1,1
"76dc3809d214159c017b2f987364f7e0",4,18,3,17,1,1
"77d225e6605a71a9a33a9aeb33bdb890",5,17,7,13,0.499361951761637,0.968641858236429
"7815ca3b2d75f9ff6a3589a9dea5b8c6",0,22,1,19,0.476190476190476,0.960043624826492
"78e3be9fa222d3a314799a1a883f6b66",0,22,2,18,0.220673635307782,0.960043624826492
"79211df1215da97e2f8277d6b2222fe2",4,18,0,20,0.108639328151523,0.960043624826492
"79a7291065adc3f595551e420369acde",0,22,2,18,0.220673635307782,0.960043624826492
"7c4c61a0c83567367786e514df40a21b",2,20,2,18,1,1
"7d2ea1f51c60d58d0660446d4774a59a",0,22,1,19,0.476190476190476,0.960043624826492
