"","pval","pseudo","padj"
"X4bdc300e2a73d2456d8f5f301cd79b24",0;803,0;8031,1
"X5d5ed43144a7e9922f567567cca6edb7",0;43,0;4301,1
"a418705a2b62c68553ceec65922142a4",1,1;0001,1
"X9880373d82d00984bcfd9dddced13e34",0;538,0;5381,1
"X135cd9f50ac1631b9e504edeb830d683",0;687,0;6871,1
"X0c0cca5bec99fb78e2bb61c3935b025d",0;859,0;8591,1
"X77d225e6605a71a9a33a9aeb33bdb890",0;184,0;1841,1
"de7864dafea9b68a565a62c31bc8339e",0;945,0;9451,1
"X2b59d468bbdb1f86c22fcebd61f5d5cb",0;951,0;9511,1
"X2ea15125b3c28f70f4e9b2011fb1b32e",0;516,0;5161,1
"a692aae1c416358d582103d64b3774f2",0;319,0;3191,1
"X2bc5d4320e54797a39359dc0676cf450",0;334,0;3341,1
"X33be679a5c7b7bff076243989c33712f",0;499,0;4991,1
"cf16828665dee40dfa4b6bade4cf21ef",0;478,0;4781,1
"da513503b2ff56009fc8a578c819ebcb",0;765,0;7651,1
"ea16290abb78a15048ba32ff78200ec5",0;994,0;9941,1
"ca8c1cc094272e70ff21f563a2af81c3",0;279,0;2791,1
"X643e1fe5e4374e56b15854c0ab8bd517",0;328,0;3281,1
"e5750ae962ff61732a057356b169fd21",0;369,0;3691,1
"X5cce1abb68c73f8fd159aaf92e2afde9",0;871,0;8711,1
"X1cc1bac06496093e1f4903bb981b67a4",0;423,0;4231,1
"X31415f8d3595a43846a89317548511ce",0;441,0;4411,1
"d40cb52e5d7086fee99ae0907fd334f9",0;614,0;6141,1
"X542b8274cc0abe38ef023b02b57dbf9b",0;662,0;6621,1
"X5bf5a35fbf5c2c129b31a4aaa02679bd",1,1;0001,1
"fd6ff46f1b85f9ed17f80fe98868119c",0;946,0;9461,1
"X4446d2a211e0a41b6b526dd4940fe073",0;565,0;5651,1
"X0c5de29041b1bcfe2010ba9bde32f320",0;375,0;3751,1
"X99d56121b201885e2327e1aaefee27e0",0;13,0;1301,1
"X939f95ffa67d45b18f810411c9e35571",0;474,0;4741,1
"X1b0539acdc7399feee3aaebdd5e61067",0;331,0;3311,1
"e71fb4db708f786a39f0bf2bd9b6e50b",0;909,0;9091,1
"X18922236506583e7320e776be6c2463a",0;352,0;3521,1
"X62da65200185b257193a5e6d38677242",0;899,0;8991,1
"X0df685ffc0887a530be9364c346bad5e",0;948,0;9481,1
"bb33b229f3d1ca9a24f2615fab635d38",0;959,0;9591,1
"da230b788ed11070ab619cf95eec6577",0;543,0;5431,1
"b2b2ae51b868a14c0e2efb9693ed8f75",0;462,0;4621,1
"bd26e97e57ceb47cf6ab7d5b5e947f62",0;717,0;7171,1
"X76dc3809d214159c017b2f987364f7e0",0;819,0;8191,1
"X92e7c471bf50233a39a459ff5b204b3e",0;735,0;7351,1
"X2c18fa52b1be278e8fbf731b531e3174",0;951,0;9511,1
"X071be45c44bec0f49b498f73b15dd3d2",0;513,0;5131,1
"X4be810915c915c3f6f34bb4fedab9ad0",0;112,0;1121,1
"e87dc9cc994d0c5c48a42ee91aae6eae",0;43,0;4301,1
"X9c7970c0800382fbe01230164e6149fb",0;91,0;9101,1
"c1f96ac17ac6c32cbf88341fce4c8d9d",0;461,0;4611,1
"a135d244d0364d5d06535e56882a84a5",0;143,0;1431,1
"e36a239a30b387e78c09e274444e016c",0;538,0;5381,1
"X2e3c54c72de596f4c4009971b90895d7",0;452,0;4521,1
"X97e3be015d0ad3c9c56ccbd57f9c0feb",0;764,0;7641,1
"X1760e66b93ff7aa728b6898fa572bc2d",0;644,0;6441,1
"X89ca3ef7f9011b78e1e0a3895fb3ff7f",0;907,0;9071,1
"c0c4bc43d1ba371268726299b45b754a",0;865,0;8651,1
"X2ffde79d725e60b058bde836132af683",0;462,0;4621,1
"X9e58e4736ae679b38ae8de9b3fc3d7ee",0;605,0;6051,1
"X8512a0ed11476e591ffa9a713b8d9df3",0;357,0;3571,1
"X983cf9a4e7016105283f24743d919f25",0;914,0;9141,1
"X5e317160f53054af730b0a3123e7e9b6",0;562,0;5621,1
"f159675a1296aa9d383e4ab3f9407619",0;938,0;9381,1
"af7a6845c73f4a26d0abf34aef9a2a64",0;412,0;4121,1
"X325f464ad49685c1e5420d17aa147d15",0;429,0;4291,1
"X760b5cda1cd383fa43af2dd6f6b06672",0;46,0;4601,1
"X7d2ea1f51c60d58d0660446d4774a59a",0;425,0;4251,1
"b663b0cd551ba980221251a789b6e206",0;979,0;9791,1
"d75885b537a312c667e41d5afe3bee27",0;226,0;2261,1
"faef5307d71a48c6d6d40336c90c8d60",0;894,0;8941,1
"X399dce84cd757a93a8527510b06e307a",0;987,0;9871,1
"X08d77d3861ee0c24205b9a999144495f",0;562,0;5621,1
"c1c7dac2c6665e89f90cda95c53e086e",0;524,0;5241,1
"X18ff3ee57c402652b7156ed14071d0ab",0;959,0;9591,1
"X8dcb1c66dadcbfce80141ab20ccf1ea1",0;833,0;8331,1
"a294a6334e4208490c478e9073d7270c",0;688,0;6881,1
"X22aea799615e8e1467f7b56605053545",0;79,0;7901,1
"X96e8d503a1148ba899683ec5ab9b05d9",1,1;0001,1
"X371805a0d32985ff210ca9f1a7acad48",0;451,0;4511,1
"b0155a887805143545218ffe760eda06",0;374,0;3741,1
"a4bbfb428c8d35739d668a60656037fc",0;425,0;4251,1
"ea4f3d7471d698fb962e28a5f213caf2",0;542,0;5421,1
"ee0d28cca895e4a213be07178c2fefba",0;941,0;9411,1
"X3d6595ba0dd3b1779363e84e947fc1c4",0;338,0;3381,1
"a158cb84cd379842d99cf6726247efcd",0;059,0;0591,1
"X8e2824f6a1b188b220b9361c612674b6",0;621,0;6211,1
"X633743f58b6a9fabc8612a844746d9aa",0;956,0;9561,1
"X211d2dbbc4c623c2e960bb29d37d40fa",0;788,0;7881,1
"X8888c9b2d3933081f63651b9bfdbe480",0;012,0;0121,1
"bdf8ede33b2c7001840621a6f72229dd",0;111,0;1111,1
"dfaaa901a526111d492d3d2f61435275",0;934,0;9341,1
"X59788ef0375e4756a83b5a60f29a3303",0;561,0;5611,1
"X319412737efae4ec36f93f4db011de0e",0;823,0;8231,1
"X223bd77c5c34f4e9e40c3dfd53dffafc",0;993,0;9931,1
"cca78c21045111a15b3ccadddf52b971",0;39,0;3901,1
"e74ee435c566d594cc9526383adf5792",0;944,0;9441,1
"X1c9a25f511df933eb3476dbbbb46a199",0;823,0;8231,1
"X3afe92f292286577802cddba507f140e",0;529,0;5291,1
"db7d937668dd436e5a4c657b8cd5329f",0;393,0;3931,1
"X273881ea7601aa7c034c59b7f40b5736",0;86,0;8601,1
"X4a1a4c83702a6c44562e2daa13bf3514",0;788,0;7881,1
"f7b11f46a4c69e77e82476e16e9df760",0;716,0;7161,1
"b84ffd3d3404ece823346fd8ed2df099",0;43,0;4301,1
"X596153e78a4c251da43033285b61a7b3",0;532,0;5321,1
"X9e6878f45a5eb2ea642bc92e840afdf7",0;526,0;5261,1
"X54936af7fc659bb8a76615f1ae6f6993",0;773,0;7731,1
"X6915ce702b5bac12f5018e69a2bca72e",0;773,0;7731,1
"X481b5086d4014f57b2ff1517825ee7d1",0;359,0;3591,1
"ee297847e00487e7f148dc495efc4ebe",0;631,0;6311,1
"e3eb7f52eef0ad7aec4db88af12eb3cd",0;338,0;3381,1
"X1eff341aa2b49ec383d0a118f73f9cb6",0;952,0;9521,1
"X17211eba768f47a1041935f3ee102e20",0;268,0;2681,1
"d61038bd0af574cc1fb1f9ecef204bbf",0;75,0;7501,1
"a4e3412f19bae543184b7ee353711e30",0;22,0;2201,1
"X3e0f023636975b57382d70fe0a52bf1e",0;419,0;4191,1
"X450fb80a8aa341cdf33eee2dac5fe23b",0;905,0;9051,1
"X3123b5aa3c0f158260f64b2832af8167",0;927,0;9271,1
"X7f6f04cff14b6c730f64324e546e2d6b",0;554,0;5541,1
"X579e5bbf5706c28209744c33484c4b8c",0;536,0;5361,1
"X7ff01134216b54c40a3d44f59c565338",0;991,0;9911,1
"X86a9b8a55479938e1b6b804cd653155b",0;585,0;5851,1
"X45c35d69f417bd7d4cbe61dd5a0f083e",0;84,0;8401,1
"X41155fc81ea0571a02817ce0e39861e2",0;821,0;8211,1
"X9bfd7d6705ff77f170d74bd7d21e15c7",0;899,0;8991,1
"X4673065a2d04c05374a89d2cfdcf68c2",0;328,0;3281,1
"a7f842cf2e6b177dd52becebda1de83a",0;342,0;3421,1
"X6a7a5b8592e878c6065ab49055907e1a",0;673,0;6731,1
"X99bf847cdf4b42889ec796b79dff8c25",0;819,0;8191,1
"X5efce6b21a9c05541f7e777341156e96",0;68,0;6801,1
"a992aa1cc0c433a9e86e33cbc0489c4b",0;994,0;9941,1
"X409649957a882957ee87339338a7c07f",0;742,0;7421,1
"fe1557e7eea603d3e9a1356de4c894f1",0;681,0;6811,1
"X872b2757f7ef15b1ef26b3f9936bcf31",0;874,0;8741,1
"X7815ca3b2d75f9ff6a3589a9dea5b8c6",0;401,0;4011,1
"X4f59249301b989a2e45240235f71f3d2",0;779,0;7791,1
"X511bd796069111a3a3e99c2d13907211",0;882,0;8821,1
"X3a12705bdb700b87026ea27254e8fa89",0;866,0;8661,1
"X369977194325fa77afd733d37c92c63d",0;58,0;5801,1
"X78e3be9fa222d3a314799a1a883f6b66",0;357,0;3571,1
"X79211df1215da97e2f8277d6b2222fe2",0;609,0;6091,1
"X3595b98686ee678c017f6a39f2ba8e7e",0;701,0;7011,1
"X8886b2b13e2ddffa6f24c3ba02bde095",0;521,0;5211,1
"X79a7291065adc3f595551e420369acde",0;338,0;3381,1
"b7b6c3fd8f90372ec9ab4e7bd7df8507",0;527,0;5271,1
"X8d3e983e728259a88863f948e5dbe94b",0;543,0;5431,1
"b53ede99325c8616840fa8e938464d7e",0;269,0;2691,1
"X116156fee4dfb6a544121c9b98a23c74",0;032,0;0321,1
"abb48f98cc76cbfd884b85cb99cf2af1",0;186,0;1861,1
"X66784a97073d9affb5b9dd057c7d5195",0;363,0;3631,1
"d8fc54bcadbf7fcc5cd3d7c2bf678f8f",0;988,0;9881,1
"X04fee52d3a95545eea1c45e2e63ce362",0;922,0;9221,1
"X7c4c61a0c83567367786e514df40a21b",0;617,0;6171,1
"fe69850846e2271a5906e8d2d8c09040",0;799,0;7991,1
"X71d1bd285cdf78ebfd3ef9d9c9a40241",0;99,0;9901,1
"d9b3a569d44a34c6a764a5a298219d08",0;655,0;6551,1
"ba01d82683535dedddbe18c540d309be",0;869,0;8691,1
"X890b0fb43b36350b30ca02829f3e91ad",0;538,0;5381,1
"X543d211dd0ff4f6d0066ec3850ed5082",0;617,0;6171,1
"a767696bf9e2e1a5f9e63fd6d39e88f3",0;993,0;9931,1
"X461c2b20bd5c233dcac34fc89ce1a66f",0;308,0;3081,1
"b88919456fa9bc9afe13c91708403a1b",0;493,0;4931,1
"X5ae1f1acc18efc7823c3415d779b0385",0;609,0;6091,1
"f8549988d995f078ce28eccc60deff7b",0;993,0;9931,1
"d0663dc6e98d4272e5c13d317fed72cc",0;631,0;6311,1
